Time,Frequency 09B35150 (Hgr Walikale - Lab),Frequency 64B734C2 (Hgr Walikale - Cabane),Voltage 09B35150 (Hgr Walikale - Lab),Voltage 64B734C2 (Hgr Walikale - Cabane),Generator_ON
1/22/23 4:24,50,50,229,227,FALSE
1/22/23 4:26,50,50,229,226,FALSE
1/22/23 4:28,50.1,50,230,226,FALSE
1/22/23 4:30,50,50,230,226,FALSE
1/22/23 4:32,50,50,229,226,FALSE
1/22/23 4:34,50,50,229,227,FALSE
1/22/23 4:36,50,50,230,227,FALSE
1/22/23 4:38,50,50,229,226,FALSE
1/22/23 4:40,50,50,229,227,FALSE
1/22/23 4:42,50,50,230,226,FALSE
1/22/23 4:44,50,50,229,226,FALSE
1/22/23 4:46,49.9,50,229,226,FALSE
1/22/23 4:48,50,50,229,226,FALSE
1/22/23 4:50,50,50,229,227,FALSE
1/22/23 4:52,50,50,229,226,FALSE
1/22/23 4:54,50,50.1,229,226,FALSE
1/22/23 4:56,50,50,230,226,FALSE
1/22/23 4:58,50,50,229,227,FALSE
1/22/23 5:00,50.1,50,229,226,FALSE
1/22/23 5:02,50,50,229,226,FALSE
1/22/23 5:04,50,50,229,227,FALSE
1/22/23 5:06,50,50,230,227,FALSE
1/22/23 5:08,50,50,229,226,FALSE
1/22/23 5:10,50,50,229,227,FALSE
1/22/23 5:12,50,50,229,226,FALSE
1/22/23 5:14,50,50,229,226,FALSE
1/22/23 5:16,50,50,229,226,FALSE
1/22/23 5:18,50,50,229,226,FALSE
1/22/23 5:20,50,50,230,226,FALSE
1/22/23 5:22,50,50,228,226,FALSE
1/22/23 5:24,50,50,229,227,FALSE
1/22/23 5:26,50,50,228,226,FALSE
1/22/23 5:28,50,50,229,227,FALSE
1/22/23 5:30,50,50,229,227,FALSE
1/22/23 5:32,50,50,228,227,FALSE
1/22/23 5:34,50,50,229,227,FALSE
1/22/23 5:36,50,50,229,226,FALSE
1/22/23 5:38,50,50,229,226,FALSE
1/22/23 5:40,50,50,229,226,FALSE
1/22/23 5:42,50,50,229,226,FALSE
1/22/23 5:44,50.1,50,229,226,FALSE
1/22/23 5:46,50,50,229,227,FALSE
1/22/23 5:48,50,50,229,226,FALSE
1/22/23 5:50,50,50,229,226,FALSE
1/22/23 5:52,50,50,229,226,FALSE
1/22/23 5:54,50,50,229,226,FALSE
1/22/23 5:56,50,50,229,227,FALSE
1/22/23 5:58,50,50,229,226,FALSE
1/22/23 6:00,50,50,229,227,FALSE
1/22/23 6:02,50,50,229,226,FALSE
1/22/23 6:04,50,50,229,226,FALSE
1/22/23 6:06,50,50,229,227,FALSE
1/22/23 6:08,50,49.8,229,223,FALSE
1/22/23 6:10,50,,230,,FALSE
1/22/23 6:12,50,50,229,226,FALSE
1/22/23 6:14,50.1,50,229,227,FALSE
1/22/23 6:16,50,50.1,229,226,FALSE
1/22/23 6:18,50,50,229,226,FALSE
1/22/23 6:20,50,50,230,227,FALSE
1/22/23 6:22,50,50,230,226,FALSE
1/22/23 6:24,50,50,230,226,FALSE
1/22/23 6:26,50.1,50,229,226,FALSE
1/22/23 6:28,50,50,230,226,FALSE
1/22/23 6:30,50,50,229,226,FALSE
1/22/23 6:32,50,50,230,226,FALSE
1/22/23 6:34,50,50,230,226,FALSE
1/22/23 6:36,50,50,229,227,FALSE
1/22/23 6:38,50,50,229,227,FALSE
1/22/23 6:40,50,50,230,227,FALSE
1/22/23 6:42,50,50,230,227,FALSE
1/22/23 6:44,50,50,230,226,FALSE
1/22/23 6:46,50,50,230,226,FALSE
1/22/23 6:48,50,50,230,226,FALSE
1/22/23 6:50,49.9,50,230,226,FALSE
1/22/23 6:52,50,50,230,226,FALSE
1/22/23 6:54,50,50,229,226,FALSE
1/22/23 6:56,50,50,229,226,FALSE
1/22/23 6:58,50,50.1,225,225,FALSE
1/22/23 7:00,50,50,225,225,FALSE
1/22/23 7:02,50,50,229,225,FALSE
1/22/23 7:04,50,50,229,226,FALSE
1/22/23 7:06,50,50,229,226,FALSE
1/22/23 7:08,50,50,229,226,FALSE
1/22/23 7:10,50.1,50,229,226,FALSE
1/22/23 7:12,50,50,230,226,FALSE
1/22/23 7:14,50,50,230,226,FALSE
1/22/23 7:16,50,50,230,226,FALSE
1/22/23 7:18,50,50,230,226,FALSE
1/22/23 7:20,50,50,230,226,FALSE
1/22/23 7:22,50,50,230,226,FALSE
1/22/23 7:24,50,50,230,226,FALSE
1/22/23 7:26,50,50,230,226,FALSE
1/22/23 7:28,50,50,230,226,FALSE
1/22/23 7:30,50,50,229,226,FALSE
1/22/23 7:32,50,50,230,226,FALSE
1/22/23 7:34,50,50,230,226,FALSE
1/22/23 7:36,50,50,230,226,FALSE
1/22/23 7:38,50,50,230,225,FALSE
1/22/23 7:40,50,50,228,226,FALSE
1/22/23 7:42,50,50,230,225,FALSE
1/22/23 7:44,50,50,229,226,FALSE
1/22/23 7:46,50,50,230,226,FALSE
1/22/23 7:48,50,50,229,226,FALSE
1/22/23 7:50,50,50,229,226,FALSE
1/22/23 7:52,50,50,228,226,FALSE
1/22/23 7:54,50,50,228,227,FALSE
1/22/23 7:56,50,50,228,226,FALSE
1/22/23 7:58,50.1,50,228,226,FALSE
1/22/23 8:00,49.9,50,228,226,FALSE
1/22/23 8:02,50,50,229,226,FALSE
1/22/23 8:04,50,50,228,226,FALSE
1/22/23 8:06,50,50,228,226,FALSE
1/22/23 8:08,50,50,228,226,FALSE
1/22/23 8:10,50,50,229,226,FALSE
1/22/23 8:12,50,50.1,228,226,FALSE
1/22/23 8:14,50,50,228,226,FALSE
1/22/23 8:16,50,50,229,226,FALSE
1/22/23 8:18,50,50,228,226,FALSE
1/22/23 8:20,50.1,50,229,225,FALSE
1/22/23 8:22,50,50,229,226,FALSE
1/22/23 8:24,50,50,228,226,FALSE
1/22/23 8:26,50,50,229,225,FALSE
1/22/23 8:28,50,50.1,229,226,FALSE
1/22/23 8:30,50,50,229,226,FALSE
1/22/23 8:32,50,50,229,226,FALSE
1/22/23 8:34,50,50.1,228,226,FALSE
1/22/23 8:36,50,50,228,226,FALSE
1/22/23 8:38,50,50.1,228,226,FALSE
1/22/23 8:40,50,50,230,225,FALSE
1/22/23 8:42,50,50,229,225,FALSE
1/22/23 8:44,50,50,229,225,FALSE
1/22/23 8:46,50,50,230,225,FALSE
1/22/23 8:48,50.1,50,229,225,FALSE
1/22/23 8:50,50,50,230,225,FALSE
1/22/23 8:52,50,50,230,225,FALSE
1/22/23 8:54,50,50,229,225,FALSE
1/22/23 8:56,50,50,229,225,FALSE
1/22/23 8:58,50,50,229,225,FALSE
1/22/23 9:00,50,50,229,225,FALSE
1/22/23 9:02,50,50,229,225,FALSE
1/22/23 9:04,50.1,50,229,225,FALSE
1/22/23 9:06,50,50,229,225,FALSE
1/22/23 9:08,50,50,229,225,FALSE
1/22/23 9:10,50,50,229,225,FALSE
1/22/23 9:12,50,50,230,225,FALSE
1/22/23 9:14,50,50,230,225,FALSE
1/22/23 9:16,49.9,50,229,225,FALSE
1/22/23 9:18,50.1,50,230,225,FALSE
1/22/23 9:20,50,50,229,226,FALSE
1/22/23 9:22,50,50,229,225,FALSE
