"Time","Frequency C30F2E03 (Ch Cbca Bethesda Ndosho - clinique)","Voltage C30F2E03 (Ch Cbca Bethesda Ndosho - clinique)"
2025-03-12 00:00:00,49.6,225
2025-03-12 00:02:00,49.7,225
2025-03-12 00:04:00,49.8,226
2025-03-12 00:06:00,49.7,226
2025-03-12 00:08:00,49.9,224
2025-03-12 00:10:00,49.6,225
2025-03-12 00:12:00,49.7,225
2025-03-12 00:14:00,49.7,224
2025-03-12 00:16:00,49.7,224
2025-03-12 00:18:00,49.7,225
2025-03-12 00:20:00,49.7,225
2025-03-12 00:22:00,49.6,225
2025-03-12 00:24:00,49.8,224
2025-03-12 00:26:00,49.6,223
2025-03-12 00:28:00,49.6,226
2025-03-12 00:30:00,49.6,225
2025-03-12 00:32:00,49.3,224
2025-03-12 00:34:00,49.9,225
2025-03-12 00:36:00,49.5,226
2025-03-12 00:38:00,49.5,226
2025-03-12 00:40:00,49.8,228
2025-03-12 00:42:00,49.7,227
2025-03-12 00:44:00,49.9,227
2025-03-12 00:46:00,49.9,228
2025-03-12 00:48:00,49.9,228
2025-03-12 00:50:00,49.9,227
2025-03-12 00:52:00,49.6,228
2025-03-12 00:54:00,49.8,227
2025-03-12 00:56:00,49.9,228
2025-03-12 00:58:00,49.7,227
2025-03-12 01:00:00,49.9,227
2025-03-12 01:02:00,49.7,227
2025-03-12 01:04:00,49.6,227
2025-03-12 01:06:00,49.7,228
2025-03-12 01:08:00,49.7,228
2025-03-12 01:10:00,49.8,228
2025-03-12 01:12:00,49.7,229
2025-03-12 01:14:00,49.8,224
2025-03-12 01:16:00,49.8,227
2025-03-12 01:18:00,49.7,225
2025-03-12 01:20:00,49.8,225
2025-03-12 01:22:00,49.9,225
2025-03-12 01:24:00,50.0,229
2025-03-12 01:26:00,49.6,227
2025-03-12 01:28:00,49.6,227
2025-03-12 01:30:00,49.9,227
2025-03-12 01:32:00,49.9,226
2025-03-12 01:34:00,49.5,227
2025-03-12 01:36:00,49.7,226
2025-03-12 01:38:00,49.8,225
2025-03-12 01:40:00,49.7,225
2025-03-12 01:42:00,49.7,226
2025-03-12 01:44:00,49.8,226
2025-03-12 01:46:00,49.9,227
2025-03-12 01:48:00,49.7,226
2025-03-12 01:50:00,49.8,228
2025-03-12 01:52:00,49.5,227
2025-03-12 01:54:00,49.7,223
2025-03-12 01:56:00,49.7,224
2025-03-12 01:58:00,49.8,226
2025-03-12 02:00:00,49.7,228
2025-03-12 02:02:00,49.9,227
2025-03-12 02:04:00,49.8,227
2025-03-12 02:06:00,49.8,227
2025-03-12 02:08:00,49.5,226
2025-03-12 02:10:00,49.6,227
2025-03-12 02:12:00,49.9,227
2025-03-12 02:14:00,49.8,227
2025-03-12 02:16:00,49.8,226
2025-03-12 02:18:00,50.0,228
2025-03-12 02:20:00,50.0,228
2025-03-12 02:22:00,49.7,225
2025-03-12 02:24:00,49.8,227
2025-03-12 02:26:00,49.8,227
2025-03-12 02:28:00,49.7,228
2025-03-12 02:30:00,49.8,226
2025-03-12 02:32:00,49.9,227
2025-03-12 02:34:00,49.5,225
2025-03-12 02:36:00,49.7,227
2025-03-12 02:38:00,49.9,226
2025-03-12 02:40:00,49.8,228
2025-03-12 02:42:00,49.8,227
2025-03-12 02:44:00,50.2,228
2025-03-12 02:46:00,49.8,226
2025-03-12 02:48:00,49.7,226
2025-03-12 02:50:00,49.7,227
2025-03-12 02:52:00,49.8,227
2025-03-12 02:54:00,50.0,228
2025-03-12 02:56:00,49.8,227
2025-03-12 02:58:00,49.8,227
2025-03-12 03:00:00,49.8,227
2025-03-12 03:02:00,49.7,231
2025-03-12 03:04:00,49.7,229
2025-03-12 03:06:00,49.7,230
2025-03-12 03:08:00,49.8,229
2025-03-12 03:10:00,49.6,228
2025-03-12 03:12:00,49.8,229
2025-03-12 03:14:00,49.8,229
2025-03-12 03:16:00,49.7,229
2025-03-12 03:18:00,49.8,230
2025-03-12 03:20:00,49.8,230
2025-03-12 03:22:00,49.8,229
2025-03-12 03:24:00,49.5,230
2025-03-12 03:26:00,49.9,230
2025-03-12 03:28:00,49.6,229
2025-03-12 03:30:00,49.9,229
2025-03-12 03:32:00,49.9,228
2025-03-12 03:34:00,49.8,227
2025-03-12 03:36:00,49.7,228
2025-03-12 03:38:00,49.9,227
2025-03-12 03:40:00,49.8,225
2025-03-12 03:42:00,49.8,226
2025-03-12 03:44:00,49.7,228
2025-03-12 03:46:00,49.8,226
2025-03-12 03:48:00,49.8,226
2025-03-12 03:50:00,50.1,227
2025-03-12 03:52:00,49.7,228
2025-03-12 03:54:00,49.8,230
2025-03-12 03:56:00,49.9,230
2025-03-12 03:58:00,49.8,225
2025-03-12 04:00:00,49.6,222
2025-03-12 04:02:00,49.8,226
2025-03-12 04:04:00,49.7,226
2025-03-12 04:06:00,49.9,229
2025-03-12 04:08:00,49.9,230
2025-03-12 04:10:00,49.8,228
2025-03-12 04:12:00,49.8,228
2025-03-12 04:14:00,49.8,228
2025-03-12 04:16:00,49.7,227
2025-03-12 04:18:00,50.1,229
2025-03-12 04:20:00,49.5,228
2025-03-12 04:22:00,49.8,228
2025-03-12 04:24:00,49.9,228
2025-03-12 04:26:00,49.7,229
2025-03-12 04:28:00,49.8,228
2025-03-12 04:30:00,49.6,228
2025-03-12 04:32:00,49.8,227
2025-03-12 04:34:00,49.8,228
2025-03-12 04:36:00,49.7,228
2025-03-12 04:38:00,49.8,227
2025-03-12 04:40:00,49.7,227
2025-03-12 04:42:00,49.8,227
2025-03-12 04:44:00,49.6,225
2025-03-12 04:46:00,49.9,226
2025-03-12 04:48:00,49.8,227
2025-03-12 04:50:00,49.7,227
2025-03-12 04:52:00,49.7,228
2025-03-12 04:54:00,49.9,228
2025-03-12 04:56:00,49.8,229
2025-03-12 04:58:00,49.9,229
2025-03-12 05:00:00,49.8,229
2025-03-12 05:02:00,4255,1.06
2025-03-12 05:04:00,56.7,235
2025-03-12 05:06:00,57.0,235
2025-03-12 05:08:00,57.4,235
2025-03-12 05:10:00,57.2,235
2025-03-12 05:12:00,56.8,235
2025-03-12 05:14:00,57.4,234
2025-03-12 05:16:00,57.5,235
2025-03-12 05:18:00,57.3,235
2025-03-12 05:20:00,57.3,236
2025-03-12 05:22:00,56.9,239
2025-03-12 05:24:00,56.8,238
2025-03-12 05:26:00,56.7,238
2025-03-12 05:28:00,56.8,239
2025-03-12 05:30:00,57.0,233
2025-03-12 05:32:00,57.1,235
2025-03-12 05:34:00,57.1,234
2025-03-12 05:36:00,57.3,235
2025-03-12 05:38:00,57.1,235
