"Time","Frequency C30F2E03 (Ch Cbca Bethesda Ndosho - clinique)","Voltage C30F2E03 (Ch Cbca Bethesda Ndosho - clinique)"
2025-04-16 00:00:00,50,234
2025-04-16 00:02:00,50.1,234
2025-04-16 00:04:00,50.2,234
2025-04-16 00:06:00,50.1,234
2025-04-16 00:08:00,50.2,234
2025-04-16 00:10:00,50.0,234
2025-04-16 00:12:00,50.2,234
2025-04-16 00:14:00,50.2,234
2025-04-16 00:16:00,50.0,234
2025-04-16 00:18:00,50.1,234
2025-04-16 00:20:00,50.1,234
2025-04-16 00:22:00,50.1,234
2025-04-16 00:24:00,50.1,234
2025-04-16 00:26:00,50.1,234
2025-04-16 00:28:00,50.1,234
2025-04-16 00:30:00,50.3,235
2025-04-16 00:32:00,50.2,234
2025-04-16 00:34:00,49.9,234
2025-04-16 00:36:00,50.2,235
2025-04-16 00:38:00,49.9,234
2025-04-16 00:40:00,50.2,235
2025-04-16 00:42:00,50.2,234
2025-04-16 00:44:00,50,234
2025-04-16 00:46:00,50.1,235
2025-04-16 00:48:00,50.1,235
2025-04-16 00:50:00,50.2,235
2025-04-16 00:52:00,50.1,234
2025-04-16 00:54:00,50.1,236
2025-04-16 00:56:00,50.5,237
2025-04-16 00:58:00,49.8,236
2025-04-16 01:00:00,50.0,235
2025-04-16 01:02:00,50.0,234
2025-04-16 01:04:00,50.1,235
2025-04-16 01:06:00,50.2,236
2025-04-16 01:08:00,49.6,235
2025-04-16 01:10:00,49.6,235
2025-04-16 01:12:00,49.9,235
2025-04-16 01:14:00,49.8,235
2025-04-16 01:16:00,49.8,235
2025-04-16 01:18:00,49.7,235
2025-04-16 01:20:00,50.0,236
2025-04-16 01:22:00,49.6,236
2025-04-16 01:24:00,49.7,236
2025-04-16 01:26:00,49.7,233
2025-04-16 01:28:00,49.8,233
2025-04-16 01:30:00,49.9,233
2025-04-16 01:32:00,49.7,232
2025-04-16 01:34:00,49.8,233
2025-04-16 01:36:00,49.8,233
2025-04-16 01:38:00,49.9,232
2025-04-16 01:40:00,49.7,232
2025-04-16 01:42:00,50.0,233
2025-04-16 01:44:00,49.6,232
2025-04-16 01:46:00,49.9,233
2025-04-16 01:48:00,49.7,233
2025-04-16 01:50:00,49.7,233
2025-04-16 01:52:00,49.7,233
2025-04-16 01:54:00,50.0,234
2025-04-16 01:56:00,49.9,233
2025-04-16 01:58:00,49.7,234
2025-04-16 02:00:00,49.9,235
2025-04-16 02:02:00,50.0,233
2025-04-16 02:04:00,49.7,232
2025-04-16 02:06:00,49.8,232
2025-04-16 02:08:00,49.8,232
2025-04-16 02:10:00,49.8,232
2025-04-16 02:12:00,50.0,232
2025-04-16 02:14:00,49.9,232
2025-04-16 02:16:00,49.9,233
2025-04-16 02:18:00,49.7,233
2025-04-16 02:20:00,50.0,233
2025-04-16 02:22:00,49.7,234
2025-04-16 02:24:00,50.0,235
