"Time","Frequency C30F2E03 (Ch Cbca Bethesda Ndosho - clinique)","Voltage C30F2E03 (Ch Cbca Bethesda Ndosho - clinique)"
2025-06-25 00:00:00,51.0,236
2025-06-25 00:02:00,50.7,235
2025-06-25 00:04:00,50.3,234
2025-06-25 00:06:00,50.0,234
2025-06-25 00:08:00,50.2,234
2025-06-25 00:10:00,51.0,235
2025-06-25 00:12:00,50.8,235
2025-06-25 00:14:00,50.0,234
2025-06-25 00:16:00,50.0,234
2025-06-25 00:18:00,50.3,235
2025-06-25 00:20:00,50.9,236
2025-06-25 00:22:00,50.7,235
2025-06-25 00:24:00,49.9,234
2025-06-25 00:26:00,50.3,235
2025-06-25 00:28:00,50.6,234
2025-06-25 00:30:00,50.9,235
2025-06-25 00:32:00,50.1,234
2025-06-25 00:34:00,50.4,234
2025-06-25 00:36:00,50.4,235
2025-06-25 00:38:00,49.8,234
2025-06-25 00:40:00,49.9,234
2025-06-25 00:42:00,50.3,236
2025-06-25 00:44:00,50.5,236
2025-06-25 00:46:00,50.7,236
2025-06-25 00:48:00,50.7,237
2025-06-25 00:50:00,50.6,236
2025-06-25 00:52:00,50,234
2025-06-25 00:54:00,50.0,235
2025-06-25 00:56:00,49.7,235
2025-06-25 00:58:00,50.0,235
2025-06-25 01:00:00,100.0,235
2025-06-25 01:02:00,50.3,235
2025-06-25 01:04:00,50.7,236
2025-06-25 01:06:00,50.8,236
2025-06-25 01:08:00,50.7,236
2025-06-25 01:10:00,50.6,236
2025-06-25 01:12:00,50.7,236
2025-06-25 01:14:00,50.0,235
2025-06-25 01:16:00,49.9,235
2025-06-25 01:18:00,49.3,233
2025-06-25 01:20:00,50.5,235
2025-06-25 01:22:00,50.1,235
2025-06-25 01:24:00,49.9,235
2025-06-25 01:26:00,50.7,236
2025-06-25 01:28:00,50.2,236
2025-06-25 01:30:00,50.5,236
2025-06-25 01:32:00,50.3,236
2025-06-25 01:34:00,50.0,235
2025-06-25 01:36:00,49.8,235
2025-06-25 01:38:00,49.7,235
2025-06-25 01:40:00,49.7,234
2025-06-25 01:42:00,49.9,235
2025-06-25 01:44:00,50.4,236
2025-06-25 01:46:00,50.3,235
2025-06-25 01:48:00,49.7,235
2025-06-25 01:50:00,50.3,236
2025-06-25 01:52:00,50.2,236
2025-06-25 01:54:00,49.9,235
2025-06-25 01:56:00,50.4,236
2025-06-25 01:58:00,50.3,235
2025-06-25 02:00:00,50.5,238
2025-06-25 02:02:00,50.3,236
2025-06-25 02:04:00,50.1,236
2025-06-25 02:06:00,49.9,236
2025-06-25 02:08:00,50.1,236
2025-06-25 02:10:00,49.9,234
2025-06-25 02:12:00,50.1,235
2025-06-25 02:14:00,50.5,236
2025-06-25 02:16:00,50.5,236
2025-06-25 02:18:00,50.6,236
2025-06-25 02:20:00,50.2,236
2025-06-25 02:22:00,49.6,235
2025-06-25 02:24:00,50.2,236
2025-06-25 02:26:00,50.5,236
2025-06-25 02:28:00,50.8,237
2025-06-25 02:30:00,49.8,235
2025-06-25 02:32:00,50.2,236
2025-06-25 02:34:00,50.4,236
2025-06-25 02:36:00,50.2,236
2025-06-25 02:38:00,50.3,235
2025-06-25 02:40:00,50.7,236
2025-06-25 02:42:00,50.6,236
2025-06-25 02:44:00,50.5,236
2025-06-25 02:46:00,50.5,236
2025-06-25 02:48:00,50.2,237
2025-06-25 02:50:00,50.4,236
2025-06-25 02:52:00,50.6,237
2025-06-25 02:54:00,50.3,236
2025-06-25 02:56:00,50.3,236
2025-06-25 02:58:00,50.2,235
2025-06-25 03:00:00,50.3,236
2025-06-25 03:02:00,50.3,236
2025-06-25 03:04:00,50.2,235
2025-06-25 03:06:00,50.3,236
2025-06-25 03:08:00,50.4,236
2025-06-25 03:10:00,50.5,237
2025-06-25 03:12:00,50.7,237
2025-06-25 03:14:00,50.4,236
2025-06-25 03:16:00,50.2,236
2025-06-25 03:18:00,49.9,236
2025-06-25 03:20:00,49.8,236
2025-06-25 03:22:00,50.4,236
2025-06-25 03:24:00,50.7,237
2025-06-25 03:26:00,50.3,236
2025-06-25 03:28:00,50.6,236
2025-06-25 03:30:00,50.6,236
2025-06-25 03:32:00,50.4,236
2025-06-25 03:34:00,50.2,236
2025-06-25 03:36:00,50.0,236
2025-06-25 03:38:00,49.8,235
2025-06-25 03:40:00,50.4,236
2025-06-25 03:42:00,50.1,236
2025-06-25 03:44:00,50.7,237
