"Time","Frequency C30F2E03 (Ch Cbca Bethesda Ndosho - clinique)","Voltage C30F2E03 (Ch Cbca Bethesda Ndosho - clinique)"
2025-04-09 00:00:00,49.9,235
2025-04-09 00:02:00,50.1,236
2025-04-09 00:04:00,50.1,236
2025-04-09 00:06:00,50.3,237
2025-04-09 00:08:00,50.1,236
2025-04-09 00:10:00,50.3,236
2025-04-09 00:12:00,50.1,235
2025-04-09 00:14:00,50.1,237
2025-04-09 00:16:00,50.3,237
2025-04-09 00:18:00,50.1,236
2025-04-09 00:20:00,50.4,236
2025-04-09 00:22:00,50.1,237
2025-04-09 00:24:00,50.1,236
2025-04-09 00:26:00,50.3,236
2025-04-09 00:28:00,50.3,235
2025-04-09 00:30:00,50.3,236
2025-04-09 00:32:00,50.2,237
2025-04-09 00:34:00,50.2,236
2025-04-09 00:36:00,50.3,236
2025-04-09 00:38:00,50.2,237
2025-04-09 00:40:00,50.3,237
2025-04-09 00:42:00,50.1,236
2025-04-09 00:44:00,50.2,236
2025-04-09 00:46:00,50.2,236
2025-04-09 00:48:00,50.4,237
2025-04-09 00:50:00,49.9,235
2025-04-09 00:52:00,50.2,236
2025-04-09 00:54:00,50.2,236
2025-04-09 00:56:00,50.3,236
2025-04-09 00:58:00,50.0,234
2025-04-09 01:00:00,50.2,235
2025-04-09 01:02:00,50.3,236
2025-04-09 01:04:00,50.1,235
2025-04-09 01:06:00,50.2,234
2025-04-09 01:08:00,49.9,234
2025-04-09 01:10:00,50.1,235
2025-04-09 01:12:00,50.1,235
2025-04-09 01:14:00,50.1,235
2025-04-09 01:16:00,50.2,234
2025-04-09 01:18:00,50.1,234
2025-04-09 01:20:00,50.3,234
2025-04-09 01:22:00,50.0,234
2025-04-09 01:24:00,50.4,234
2025-04-09 01:26:00,50.2,235
2025-04-09 01:28:00,50.1,234
2025-04-09 01:30:00,50.3,235
2025-04-09 01:32:00,50.2,236
2025-04-09 01:34:00,50.3,236
2025-04-09 01:36:00,50.1,235
2025-04-09 01:38:00,50.2,235
2025-04-09 01:40:00,50,235
2025-04-09 01:42:00,50.3,236
2025-04-09 01:44:00,50.0,235
2025-04-09 01:46:00,50.2,235
2025-04-09 01:48:00,50,235
2025-04-09 01:50:00,50.1,236
2025-04-09 01:52:00,50.2,235
2025-04-09 01:54:00,50.3,235
2025-04-09 01:56:00,50.2,236
2025-04-09 01:58:00,49.9,235
2025-04-09 02:00:00,50.1,236
2025-04-09 02:02:00,50.1,235
2025-04-09 02:04:00,50.1,235
2025-04-09 02:06:00,50.3,236
2025-04-09 02:08:00,50.2,236
2025-04-09 02:10:00,50.1,235
2025-04-09 02:12:00,50.3,235
2025-04-09 02:14:00,50.1,235
2025-04-09 02:16:00,50.3,235
2025-04-09 02:18:00,50.3,236
2025-04-09 02:20:00,50.4,236
2025-04-09 02:22:00,50.1,236
2025-04-09 02:24:00,50.3,235
2025-04-09 02:26:00,50.2,235
2025-04-09 02:28:00,50.3,235
2025-04-09 02:30:00,50.2,236
2025-04-09 02:32:00,50.3,236
2025-04-09 02:34:00,50.2,235
2025-04-09 02:36:00,50.2,236
2025-04-09 02:38:00,50.1,235
2025-04-09 02:40:00,50.2,236
2025-04-09 02:42:00,50.3,235
2025-04-09 02:44:00,50.1,235
2025-04-09 02:46:00,50.3,235
2025-04-09 02:48:00,50.0,235
2025-04-09 02:50:00,50.2,235
2025-04-09 02:52:00,50.2,235
2025-04-09 02:54:00,50.2,235
2025-04-09 02:56:00,50.1,235
2025-04-09 02:58:00,50.3,237
2025-04-09 03:00:00,50.2,239
2025-04-09 03:02:00,50.5,240
2025-04-09 03:04:00,50.2,239
2025-04-09 03:06:00,50.3,239
2025-04-09 03:08:00,50.1,239
2025-04-09 03:10:00,50.3,240
2025-04-09 03:12:00,50.3,239
2025-04-09 03:14:00,50.4,240
2025-04-09 03:16:00,50.2,240
2025-04-09 03:18:00,50.4,240
2025-04-09 03:20:00,50.1,240
2025-04-09 03:22:00,50.3,240
2025-04-09 03:24:00,50.2,240
2025-04-09 03:26:00,50.4,241
2025-04-09 03:28:00,50.2,240
2025-04-09 03:30:00,50.0,239
2025-04-09 03:32:00,50.3,238
2025-04-09 03:34:00,50.3,239
2025-04-09 03:36:00,50.1,238
2025-04-09 03:38:00,50.3,239
2025-04-09 03:40:00,50.2,239
2025-04-09 03:42:00,50.2,238
2025-04-09 03:44:00,50.1,238
2025-04-09 03:46:00,50.2,238
2025-04-09 03:48:00,50.3,238
2025-04-09 03:50:00,50.2,239
2025-04-09 03:52:00,50.1,238
2025-04-09 03:54:00,50.1,238
2025-04-09 03:56:00,50.3,237
2025-04-09 03:58:00,50.3,237
2025-04-09 04:00:00,50.0,237
2025-04-09 04:02:00,50.2,239
2025-04-09 04:04:00,50.2,239
2025-04-09 04:06:00,50.1,238
2025-04-09 04:08:00,50.2,239
2025-04-09 04:10:00,50.0,238
2025-04-09 04:12:00,50.2,238
2025-04-09 04:14:00,50.1,239
2025-04-09 04:16:00,50.1,237
2025-04-09 04:18:00,50.0,237
2025-04-09 04:20:00,50.2,237
2025-04-09 04:22:00,50.1,237
2025-04-09 04:24:00,50.2,237
2025-04-09 04:26:00,50.1,237
2025-04-09 04:28:00,50.4,238
2025-04-09 04:30:00,50.0,238
2025-04-09 04:32:00,50.2,237
2025-04-09 04:34:00,50.2,237
2025-04-09 04:36:00,50.3,237
2025-04-09 04:38:00,50.1,238
2025-04-09 04:40:00,50.2,237
2025-04-09 04:42:00,50.2,238
2025-04-09 04:44:00,50.2,238
2025-04-09 04:46:00,50.1,239
2025-04-09 04:48:00,50.1,238
2025-04-09 04:50:00,50.2,239
2025-04-09 04:52:00,50.2,240
2025-04-09 04:54:00,50.2,239
2025-04-09 04:56:00,50.2,238
2025-04-09 04:58:00,50.1,239
2025-04-09 05:00:00,50.0,237
2025-04-09 05:02:00,50.2,237
2025-04-09 05:04:00,50.3,238
2025-04-09 05:06:00,50.1,235
2025-04-09 05:08:00,50.0,234
2025-04-09 05:10:00,50.2,234
2025-04-09 05:12:00,50.0,233
2025-04-09 05:14:00,50.1,237
2025-04-09 05:16:00,50.0,237
2025-04-09 05:18:00,50.1,236
2025-04-09 05:20:00,50.2,236
2025-04-09 05:22:00,50.5,239
2025-04-09 05:24:00,50.1,239
2025-04-09 05:26:00,50.1,239
2025-04-09 05:28:00,50.1,240
2025-04-09 05:30:00,50.1,239
2025-04-09 05:32:00,50.1,238
2025-04-09 05:34:00,50.2,238
2025-04-09 05:36:00,50.1,236
2025-04-09 05:38:00,50.5,235
2025-04-09 05:40:00,50.3,235
2025-04-09 05:42:00,50.3,235
2025-04-09 05:44:00,50.3,235
2025-04-09 05:46:00,50.3,235
2025-04-09 05:48:00,50.2,235
2025-04-09 05:50:00,50.3,233
2025-04-09 05:52:00,50.3,233
2025-04-09 05:54:00,50.2,233
2025-04-09 05:56:00,50.2,230
2025-04-09 05:58:00,50.1,233
2025-04-09 06:00:00,50.3,233
2025-04-09 06:02:00,49.9,233
2025-04-09 06:04:00,49.9,233
2025-04-09 06:06:00,50.1,234
2025-04-09 06:08:00,50.1,234
2025-04-09 06:10:00,50.1,233
2025-04-09 06:12:00,50.1,231
2025-04-09 06:14:00,50.0,231
2025-04-09 06:16:00,49.8,231
2025-04-09 06:18:00,50.1,232
2025-04-09 06:20:00,49.7,230
2025-04-09 06:22:00,49.8,230
2025-04-09 06:24:00,49.6,230
2025-04-09 06:26:00,49.9,229
2025-04-09 06:28:00,49.7,230
2025-04-09 06:30:00,49.6,231
2025-04-09 06:32:00,49.9,230
2025-04-09 06:34:00,49.5,230
2025-04-09 06:36:00,49.8,230
2025-04-09 06:38:00,49.8,224
2025-04-09 06:40:00,66.3,230
2025-04-09 06:42:00,49.9,231
2025-04-09 06:44:00,49.6,229
2025-04-09 06:46:00,50,232
2025-04-09 06:48:00,50.0,232
2025-04-09 06:50:00,49.7,233
2025-04-09 06:52:00,49.9,232
2025-04-09 06:54:00,49.8,232
2025-04-09 06:56:00,49.8,232
2025-04-09 06:58:00,49.8,232
2025-04-09 07:00:00,49.5,232
2025-04-09 07:02:00,49.6,231
2025-04-09 07:04:00,99.6,230
2025-04-09 07:06:00,49.8,231
2025-04-09 07:08:00,49.7,230
2025-04-09 07:10:00,50.0,230
2025-04-09 07:12:00,49.7,230
2025-04-09 07:14:00,49.8,225
2025-04-09 07:16:00,49.6,224
2025-04-09 07:18:00,49.9,230
2025-04-09 07:20:00,49.8,230
2025-04-09 07:22:00,49.8,230
2025-04-09 07:24:00,49.7,230
2025-04-09 07:26:00,49.8,230
2025-04-09 07:28:00,50.1,232
2025-04-09 07:30:00,49.9,229
2025-04-09 07:32:00,49.6,232
2025-04-09 07:34:00,49.8,233
2025-04-09 07:36:00,49.7,232
2025-04-09 07:38:00,49.5,221
2025-04-09 07:40:00,49.7,222
2025-04-09 07:42:00,49.7,221
2025-04-09 07:44:00,49.5,222
2025-04-09 07:46:00,50.0,232
2025-04-09 07:48:00,49.6,231
2025-04-09 07:50:00,49.7,229
2025-04-09 07:52:00,49.8,230
2025-04-09 07:54:00,49.5,231
2025-04-09 07:56:00,49.8,232
2025-04-09 07:58:00,49.6,231
2025-04-09 08:00:00,49.6,232
2025-04-09 08:02:00,49.9,233
2025-04-09 08:04:00,49.7,230
2025-04-09 08:06:00,49.6,231
2025-04-09 08:08:00,50.2,232
2025-04-09 08:10:00,49.7,230
2025-04-09 08:12:00,49.8,232
2025-04-09 08:14:00,49.5,231
2025-04-09 08:16:00,49.6,230
2025-04-09 08:18:00,49.5,230
2025-04-09 08:20:00,49.7,229
