Time,Frequency 1C712FB8 (Hgr Katwa - Labo),Frequency AEBA416D (Hgr Katwa - Cabine),Voltage 1C712FB8 (Hgr Katwa - Labo),Voltage AEBA416D (Hgr Katwa - Cabine),Generator_ON
1/8/23 0:00,50,49.9,217,223,FALSE
1/8/23 0:02,49.8,49.8,219,223,FALSE
1/8/23 0:04,49.8,49.8,219,222,FALSE
1/8/23 0:06,50.1,50.1,216,223,FALSE
1/8/23 0:08,50.1,50.1,214,223,FALSE
1/8/23 0:10,50,50,216,223,FALSE
1/8/23 0:12,49.9,49.9,217,223,FALSE
1/8/23 0:14,50,49.9,212,224,FALSE
1/8/23 0:16,49.9,49.9,211,225,FALSE
1/8/23 0:18,49.9,49.9,214,225,FALSE
1/8/23 0:20,50,50,215,225,FALSE
1/8/23 0:22,49.9,49.9,215,224,FALSE
1/8/23 0:24,50,50,214,225,FALSE
1/8/23 0:26,50,50,214,226,FALSE
1/8/23 0:28,50.1,50.1,215,225,FALSE
1/8/23 0:30,50.2,50.2,215,225,FALSE
1/8/23 0:32,50,50,220,223,FALSE
1/8/23 0:34,49.9,49.9,219,223,FALSE
1/8/23 0:36,50,50,221,223,FALSE
1/8/23 0:38,49.9,49.9,221,222,FALSE
1/8/23 0:40,49.8,49.9,220,223,FALSE
1/8/23 0:42,49.9,49.8,219,223,FALSE
1/8/23 0:44,50,49.9,221,223,FALSE
1/8/23 0:46,49.8,49.9,219,223,FALSE
1/8/23 0:48,50,50,219,223,FALSE
1/8/23 0:50,49.9,49.9,216,223,FALSE
1/8/23 0:52,50,50,218,223,FALSE
1/8/23 0:54,50.1,50.1,219,223,FALSE
1/8/23 0:56,49.9,49.9,216,223,FALSE
1/8/23 0:58,50,50,216,223,FALSE
1/8/23 1:00,49.9,49.9,220,223,FALSE
1/8/23 1:02,49.8,49.9,219,223,FALSE
1/8/23 1:04,49.9,49.9,219,223,FALSE
1/8/23 1:06,50,49.9,221,223,FALSE
1/8/23 1:08,50,50,221,223,FALSE
1/8/23 1:10,50,50,221,223,FALSE
1/8/23 1:12,49.9,49.9,220,223,FALSE
1/8/23 1:14,50,50,221,223,FALSE
1/8/23 1:16,50,50,221,223,FALSE
1/8/23 1:18,50,50,221,222,FALSE
1/8/23 1:20,49.9,49.9,220,223,FALSE
1/8/23 1:22,49.9,49.9,220,223,FALSE
1/8/23 1:24,49.9,49.9,221,222,FALSE
1/8/23 1:26,50.1,50.1,219,223,FALSE
1/8/23 1:28,49.9,49.9,219,223,FALSE
1/8/23 1:30,49.9,50,218,223,FALSE
1/8/23 1:32,50,49.9,220,222,FALSE
1/8/23 1:34,50.1,50.1,220,222,FALSE
1/8/23 1:36,50,50,220,222,FALSE
1/8/23 1:38,49.9,49.9,218,223,FALSE
1/8/23 1:40,50,50,222,222,FALSE
1/8/23 1:42,50,50,221,222,FALSE
1/8/23 1:44,50.3,50.3,221,222,FALSE
1/8/23 1:46,50.1,50.1,220,222,FALSE
1/8/23 1:48,49.9,50,220,223,FALSE
1/8/23 1:50,50.2,50.2,220,223,FALSE
1/8/23 1:52,50,50,222,222,FALSE
1/8/23 1:54,50,50.1,221,223,FALSE
1/8/23 1:56,50,50,220,223,FALSE
1/8/23 1:58,50,50,221,223,FALSE
1/8/23 2:00,49.9,49.9,221,222,FALSE
1/8/23 2:02,49.9,49.9,221,222,FALSE
1/8/23 2:04,49.9,49.9,221,222,FALSE
1/8/23 2:06,49.9,50,218,223,FALSE
1/8/23 2:08,50.1,50,219,223,FALSE
1/8/23 2:10,50,50.1,220,222,FALSE
1/8/23 2:12,50.1,50,219,222,FALSE
1/8/23 2:14,49.9,49.9,219,223,FALSE
1/8/23 2:16,50,50,220,222,FALSE
1/8/23 2:18,49.9,50,220,222,FALSE
1/8/23 2:20,50,50,222,222,FALSE
1/8/23 2:22,50,50,221,223,FALSE
1/8/23 2:24,50.1,50,222,222,FALSE
1/8/23 2:26,49.9,50,223,222,FALSE
1/8/23 2:28,50,49.9,223,222,FALSE
1/8/23 2:30,50,50,221,222,FALSE
