Time,Frequency 1C712FB8 (Hgr Katwa - Labo),Frequency AEBA416D (Hgr Katwa - Cabine),Voltage 1C712FB8 (Hgr Katwa - Labo),Voltage AEBA416D (Hgr Katwa - Cabine),Generator_ON
1/1/23 0:00,50,49.9,225,224,FALSE
1/1/23 0:02,49.7,49.9,225,224,FALSE
1/1/23 0:04,50.1,49.8,226,223,FALSE
1/1/23 0:06,50.2,49.9,226,224,FALSE
1/1/23 0:08,49.7,50,226,223,FALSE
1/1/23 0:10,50,50,226,223,FALSE
1/1/23 0:12,49.9,49.9,226,223,FALSE
1/1/23 0:14,50.1,49.8,226,223,FALSE
1/1/23 0:16,49.9,49.8,226,223,FALSE
1/1/23 0:18,49.6,50,224,223,FALSE
1/1/23 0:20,49.9,49.8,226,223,FALSE
1/1/23 0:22,50,49.9,226,223,FALSE
1/1/23 0:24,50,49.9,226,224,FALSE
1/1/23 0:26,50.1,50,223,208,FALSE
1/1/23 0:28,49.8,49.9,223,208,FALSE
1/1/23 0:30,50.1,50,223,208,FALSE
1/1/23 0:32,49.9,49.9,223,208,FALSE
1/1/23 0:34,49.9,50.1,223,208,FALSE
1/1/23 0:36,49.9,49.8,223,208,FALSE
1/1/23 0:38,49.9,49.8,222,208,FALSE
1/1/23 0:40,50,49.8,222,208,FALSE
1/1/23 0:42,50,50,224,209,FALSE
1/1/23 0:44,50.1,50,225,209,FALSE
1/1/23 0:46,49.9,50,224,209,FALSE
1/1/23 0:48,49.8,49.9,224,208,FALSE
1/1/23 0:50,49.8,49.8,224,208,FALSE
1/1/23 0:52,50,49.9,225,208,FALSE
1/1/23 0:54,49.7,49.9,225,208,FALSE
1/1/23 0:56,50,49.9,224,209,FALSE
1/1/23 0:58,49.9,49.9,224,208,FALSE
1/1/23 1:00,49.8,49.8,224,208,FALSE
1/1/23 1:02,49.7,49.7,224,208,FALSE
1/1/23 1:04,50,50,224,208,FALSE
1/1/23 1:06,49.9,49.9,224,209,FALSE
1/1/23 1:08,50,50,225,208,FALSE
1/1/23 1:10,49.9,49.7,225,208,FALSE
1/1/23 1:12,50.1,50,223,209,FALSE
1/1/23 1:14,49.9,49.9,223,208,FALSE
1/1/23 1:16,50,50,223,209,FALSE
1/1/23 1:18,50,49.9,223,209,FALSE
1/1/23 1:20,50,50,223,209,FALSE
1/1/23 1:22,49.8,49.9,223,209,FALSE
1/1/23 1:24,49.7,49.7,222,209,FALSE
1/1/23 1:26,49.8,50.1,223,209,FALSE
1/1/23 1:28,50,50,226,208,FALSE
1/1/23 1:30,49.8,50.1,225,209,FALSE
1/1/23 1:32,50,49.8,226,208,FALSE
1/1/23 1:34,49.9,50,226,208,FALSE
1/1/23 1:36,50,50,226,208,FALSE
1/1/23 1:38,50,50.1,226,209,FALSE
1/1/23 1:40,50.1,49.9,226,208,FALSE
1/1/23 1:42,50,50.1,226,208,FALSE
1/1/23 1:44,49.7,49.8,225,208,FALSE
1/1/23 1:46,49.8,50.1,225,209,FALSE
1/1/23 1:48,49.9,49.8,225,209,FALSE
1/1/23 1:50,50,50.2,226,209,FALSE
1/1/23 1:52,49.8,49.8,225,209,FALSE
1/1/23 1:54,49.9,50.1,225,209,FALSE
1/1/23 1:56,50.3,50.2,226,209,FALSE
1/1/23 1:58,49.8,50.3,222,209,FALSE
1/1/23 2:00,49.8,49.8,223,209,FALSE
1/1/23 2:02,49.8,49.9,221,209,FALSE
1/1/23 2:04,49.9,50.1,223,209,FALSE
1/1/23 2:06,50,49.9,222,209,FALSE
1/1/23 2:08,49.7,49.9,221,209,FALSE
1/1/23 2:10,50.1,49.8,221,209,FALSE
1/1/23 2:12,50,50,223,209,FALSE
1/1/23 2:14,50.1,50.1,226,209,FALSE
1/1/23 2:16,50,50,226,209,FALSE
1/1/23 2:18,50,50,226,209,FALSE
1/1/23 2:20,50.1,50.2,225,209,FALSE
1/1/23 2:22,49.9,49.9,225,209,FALSE
1/1/23 2:24,50,49.9,225,209,FALSE
1/1/23 2:26,50,50,225,209,FALSE
1/1/23 2:28,50.1,49.9,224,209,FALSE
1/1/23 2:30,50.1,49.8,224,209,FALSE
1/1/23 2:32,49.9,49.8,224,209,FALSE
1/1/23 2:34,49.9,49.8,224,209,FALSE
