Time,Frequency 1C712FB8 (Hgr Katwa - Labo),Frequency AEBA416D (Hgr Katwa - Cabine),Voltage 1C712FB8 (Hgr Katwa - Labo),Voltage AEBA416D (Hgr Katwa - Cabine),Generator_ON
1/15/23 0:00,49.9,49.9,219,216,FALSE
1/15/23 0:02,50,50,220,216,FALSE
1/15/23 0:04,49.9,49.9,219,216,FALSE
1/15/23 0:06,49.8,49.9,216,216,FALSE
1/15/23 0:08,50,50.1,217,216,FALSE
1/15/23 0:10,49.8,49.8,217,215,FALSE
1/15/23 0:12,49.8,49.7,217,216,FALSE
1/15/23 0:14,50,50,216,216,FALSE
1/15/23 0:16,49.8,49.8,216,216,FALSE
1/15/23 0:18,50,50,218,216,FALSE
1/15/23 0:20,50,49.9,220,216,FALSE
1/15/23 0:22,49.8,49.8,219,216,FALSE
1/15/23 0:24,50,49.9,219,217,FALSE
1/15/23 0:26,50.1,50.1,220,216,FALSE
1/15/23 0:28,50,50,220,217,FALSE
1/15/23 0:30,50.1,50,220,216,FALSE
1/15/23 0:32,49.8,49.8,219,217,FALSE
1/15/23 0:34,50,49.9,220,216,FALSE
1/15/23 0:36,49.9,49.9,220,216,FALSE
1/15/23 0:38,50.1,50.1,220,217,FALSE
1/15/23 0:40,49.7,49.7,219,218,FALSE
1/15/23 0:42,49.9,49.8,220,218,FALSE
1/15/23 0:44,49.9,49.9,220,217,FALSE
1/15/23 0:46,50,49.9,219,218,FALSE
1/15/23 0:48,50.1,50.1,216,218,FALSE
1/15/23 0:50,49.9,50,217,218,FALSE
1/15/23 0:52,50,50,217,217,FALSE
1/15/23 0:54,49.9,50,218,217,FALSE
1/15/23 0:56,49.8,49.8,216,217,FALSE
1/15/23 0:58,49.9,49.9,216,217,FALSE
1/15/23 1:00,49.8,49.8,220,217,FALSE
1/15/23 1:02,49.8,49.8,219,217,FALSE
1/15/23 1:04,49.9,49.9,220,218,FALSE
1/15/23 1:06,49.8,49.8,219,218,FALSE
1/15/23 1:08,49.9,49.9,221,217,FALSE
1/15/23 1:10,49.9,49.8,220,218,FALSE
1/15/23 1:12,50,49.9,219,218,FALSE
1/15/23 1:14,50,49.9,219,218,FALSE
1/15/23 1:16,50,49.9,220,217,FALSE
1/15/23 1:18,50.1,50.1,220,218,FALSE
1/15/23 1:20,50.1,50.1,219,218,FALSE
1/15/23 1:22,50,49.9,219,219,FALSE
1/15/23 1:24,50.2,50.2,220,218,FALSE
1/15/23 1:26,49.9,49.9,217,218,FALSE
1/15/23 1:28,50,49.9,217,218,FALSE
1/15/23 1:30,50,50,216,219,FALSE
1/15/23 1:32,49.9,49.9,217,218,FALSE
1/15/23 1:34,49.9,49.9,217,218,FALSE
1/15/23 1:36,49.9,49.8,217,218,FALSE
