"Time","Frequency 3E2F4FD3 (Ch Cbca Bethesda Ndosho - laboratoire)","Frequency C30F2E03 (Ch Cbca Bethesda Ndosho - clinique)","Voltage 3E2F4FD3 (Ch Cbca Bethesda Ndosho - laboratoire)","Voltage C30F2E03 (Ch Cbca Bethesda Ndosho - clinique)"
2024-02-19 00:00:00,50.1,50.1,204,216
2024-02-19 00:02:00,50.2,50.2,205,216
2024-02-19 00:04:00,50.1,50.1,204,216
2024-02-19 00:06:00,50.0,50.0,203,216
2024-02-19 00:08:00,50.3,50.3,204,217
2024-02-19 00:10:00,50.1,50.1,204,216
2024-02-19 00:12:00,50.0,50.0,202,216
2024-02-19 00:14:00,50.2,50.2,204,216
2024-02-19 00:16:00,50.3,50.3,207,216
2024-02-19 00:18:00,50.1,50.2,207,216
2024-02-19 00:20:00,50.3,50.3,204,214
2024-02-19 00:22:00,50.3,50.3,205,213
2024-02-19 00:24:00,50.0,50.0,204,213
2024-02-19 00:26:00,50.0,50.0,202,213
2024-02-19 00:28:00,49.9,49.9,205,211
2024-02-19 00:30:00,50.1,50.0,203,214
2024-02-19 00:32:00,50.2,50.2,205,214
2024-02-19 00:34:00,50.0,49.9,205,214
2024-02-19 00:36:00,50.2,50.2,207,214
2024-02-19 00:38:00,50.1,50.1,207,215
2024-02-19 00:40:00,50.2,50.2,205,214
2024-02-19 00:42:00,50.3,50.4,207,216
2024-02-19 00:44:00,50.2,50.2,207,214
2024-02-19 00:46:00,50.1,50.1,206,214
2024-02-19 00:48:00,50.1,50.1,203,216
2024-02-19 00:50:00,50.1,50.2,205,216
2024-02-19 00:52:00,50.0,49.9,205,215
2024-02-19 00:54:00,50.1,50.1,207,215
2024-02-19 00:56:00,50.1,50.0,208,214
2024-02-19 00:58:00,50.1,50.2,207,214
2024-02-19 01:00:00,50.0,50,205,214
2024-02-19 01:02:00,50.1,50.1,207,214
2024-02-19 01:04:00,50.0,50.0,207,215
2024-02-19 01:06:00,50.3,50.2,205,216
2024-02-19 01:08:00,50.6,50.6,207,217
2024-02-19 01:10:00,50.3,50.4,207,217
2024-02-19 01:12:00,50.0,50.0,205,216
2024-02-19 01:14:00,50.0,50.0,206,216
