"Time","Frequency 3E2F4FD3 (Ch Cbca Bethesda Ndosho - laboratoire)","Frequency C30F2E03 (Ch Cbca Bethesda Ndosho - clinique)","Voltage 3E2F4FD3 (Ch Cbca Bethesda Ndosho - laboratoire)","Voltage C30F2E03 (Ch Cbca Bethesda Ndosho - clinique)"
2024-01-29 00:00:00,49.8,49.8,202,212
2024-01-29 00:02:00,49.9,49.9,202,212
2024-01-29 00:04:00,49.9,49.9,202,211
2024-01-29 00:06:00,50.2,50.2,202,214
2024-01-29 00:08:00,49.9,49.9,202,212
2024-01-29 00:10:00,50.0,50.0,202,213
2024-01-29 00:12:00,49.9,49.9,202,211
2024-01-29 00:14:00,49.9,49.9,201,214
2024-01-29 00:16:00,50.0,50.0,202,213
2024-01-29 00:18:00,50.0,50.0,202,211
2024-01-29 00:20:00,50.0,49.9,202,213
2024-01-29 00:22:00,49.9,49.9,201,213
2024-01-29 00:24:00,49.9,49.9,200,211
2024-01-29 00:26:00,50.1,50.1,200,213
2024-01-29 00:28:00,49.9,49.9,200,214
2024-01-29 00:30:00,50.2,50.2,202,215
2024-01-29 00:32:00,50.1,50.0,202,216
2024-01-29 00:34:00,50.0,49.9,201,215
2024-01-29 00:36:00,50.1,50.1,202,216
2024-01-29 00:38:00,50.0,50.1,201,216
2024-01-29 00:40:00,50.2,50.2,201,216
2024-01-29 00:42:00,49.9,50.0,201,216
2024-01-29 00:44:00,50.1,50.2,202,215
2024-01-29 00:46:00,49.9,50.0,201,216
2024-01-29 00:48:00,50.1,50.1,202,215
2024-01-29 00:50:00,50.0,50.0,202,216
2024-01-29 00:52:00,50.0,50.0,202,216
2024-01-29 00:54:00,50.0,50.0,202,216
2024-01-29 00:56:00,50.0,50.0,202,216
2024-01-29 00:58:00,50.1,50.1,203,215
2024-01-29 01:00:00,50.0,50.0,202,215
2024-01-29 01:02:00,50.1,50.0,202,216
2024-01-29 01:04:00,50.0,50.0,202,215
2024-01-29 01:06:00,49.8,49.8,202,216
2024-01-29 01:08:00,50.1,50.1,203,212
2024-01-29 01:10:00,49.7,49.7,202,214
2024-01-29 01:12:00,50.1,50.1,204,216
2024-01-29 01:14:00,50.0,50.0,204,217
2024-01-29 01:16:00,50.1,50.0,204,216
2024-01-29 01:18:00,50.0,50.0,204,216
2024-01-29 01:20:00,50.2,50.2,204,217
2024-01-29 01:22:00,50.2,50.1,204,218
2024-01-29 01:24:00,50.2,50.2,205,218
2024-01-29 01:26:00,50.2,50.3,205,219
2024-01-29 01:28:00,49.9,50.0,204,219
2024-01-29 01:30:00,50.1,50.1,204,219
2024-01-29 01:32:00,50.1,50.2,204,220
2024-01-29 01:34:00,50.2,50.2,204,219
2024-01-29 01:36:00,50.1,50.2,205,221
2024-01-29 01:38:00,50.0,50.0,204,220
2024-01-29 01:40:00,49.9,49.9,205,217
2024-01-29 01:42:00,50.0,50.1,206,219
2024-01-29 01:44:00,50.1,50.2,204,221
2024-01-29 01:46:00,50.2,50.2,204,221
2024-01-29 01:48:00,50.1,50.2,206,223
2024-01-29 01:50:00,50.2,50.2,205,221
2024-01-29 01:52:00,50.4,50.3,205,217
2024-01-29 01:54:00,50.1,50.2,205,219
2024-01-29 01:56:00,50.3,50.3,205,219
2024-01-29 01:58:00,50.1,50.2,204,222
2024-01-29 02:00:00,50.2,50.2,204,221
2024-01-29 02:02:00,50.1,50.0,205,223
2024-01-29 02:04:00,50.0,50.0,206,224
2024-01-29 02:06:00,50.2,50.2,206,225
2024-01-29 02:08:00,50.1,50.2,202,228
2024-01-29 02:10:00,50.2,50.2,202,228
2024-01-29 02:12:00,50.2,50.3,204,228
2024-01-29 02:14:00,50.4,50.3,204,228
2024-01-29 02:16:00,50.3,50.4,205,227
2024-01-29 02:18:00,50.2,50.3,204,228
2024-01-29 02:20:00,50.3,50.3,204,228
2024-01-29 02:22:00,50.3,50.3,204,229
2024-01-29 02:24:00,50.2,50.2,204,229
2024-01-29 02:26:00,50.0,50.0,204,228
2024-01-29 02:28:00,50.3,50.3,204,228
2024-01-29 02:30:00,50.2,50.2,204,229
2024-01-29 02:32:00,50.4,50.3,205,230
2024-01-29 02:34:00,50.2,50.2,205,227
2024-01-29 02:36:00,50.4,50.4,206,228
2024-01-29 02:38:00,50.4,50.4,205,228
2024-01-29 02:40:00,50.3,50.3,205,229
2024-01-29 02:42:00,50.3,50.3,206,228
2024-01-29 02:44:00,50.3,50.2,206,229
2024-01-29 02:46:00,50.2,50.1,205,229
2024-01-29 02:48:00,50.0,50.0,208,230
2024-01-29 02:50:00,50.2,50.1,207,228
2024-01-29 02:52:00,50.4,50.4,205,228
2024-01-29 02:54:00,50.3,50.3,204,228
2024-01-29 02:56:00,50.4,50.4,204,229
2024-01-29 02:58:00,50.3,50.3,205,229
2024-01-29 03:00:00,50.2,50.2,208,230
2024-01-29 03:02:00,50.3,50.3,207,229
2024-01-29 03:04:00,50.3,50.3,204,230
2024-01-29 03:06:00,50.1,50.1,204,230
2024-01-29 03:08:00,50.3,50.3,207,229
2024-01-29 03:10:00,50.2,50.3,207,229
2024-01-29 03:12:00,50.2,50.2,204,231
2024-01-29 03:14:00,50.3,50.2,205,231
2024-01-29 03:16:00,50.2,50.3,208,226
2024-01-29 03:18:00,50.1,50.1,208,226
2024-01-29 03:20:00,50.4,50.4,207,228
2024-01-29 03:22:00,50.0,50.1,204,228
2024-01-29 03:24:00,50.5,50.4,204,229
2024-01-29 03:26:00,50.1,50.2,208,228
2024-01-29 03:28:00,50.2,50.3,207,228
