"Time","Frequency 3E2F4FD3 (Ch Cbca Bethesda Ndosho - laboratoire)","Frequency C30F2E03 (Ch Cbca Bethesda Ndosho - clinique)","Voltage 3E2F4FD3 (Ch Cbca Bethesda Ndosho - laboratoire)","Voltage C30F2E03 (Ch Cbca Bethesda Ndosho - clinique)"
2022-08-13 00:00:00,50.6,50.6,214,216
2022-08-13 00:02:00,50.4,50.5,215,217
2022-08-13 00:04:00,50.6,50.6,213,216
2022-08-13 00:06:00,50.5,50.5,213,216
2022-08-13 00:08:00,50.5,50.5,216,219
2022-08-13 00:10:00,50.7,50.8,214,216
2022-08-13 00:12:00,50.6,50.6,214,216
2022-08-13 00:14:00,50.6,50.6,216,218
2022-08-13 00:16:00,50.5,50.6,216,217
2022-08-13 00:18:00,50.8,50.8,214,217
2022-08-13 00:20:00,50.6,50.6,214,216
2022-08-13 00:22:00,50.6,50.5,216,217
2022-08-13 00:24:00,50.7,50.6,214,217
2022-08-13 00:26:00,50.5,50.7,216,219
2022-08-13 00:28:00,50.6,50.6,217,219
2022-08-13 00:30:00,51.1,51.2,219,220
2022-08-13 00:32:00,50.6,50.6,216,219
2022-08-13 00:34:00,50.6,50.6,214,217
2022-08-13 00:36:00,50.5,50.6,217,219
2022-08-13 00:38:00,50.7,50.7,216,219
2022-08-13 00:40:00,50.5,50.5,216,219
2022-08-13 00:42:00,50.6,50.6,218,219
2022-08-13 00:44:00,50.9,51.0,218,219
2022-08-13 00:46:00,50.5,50.5,216,219
2022-08-13 00:48:00,50.7,50.7,216,219
2022-08-13 00:50:00,50.9,50.8,217,219
2022-08-13 00:52:00,50.7,50.7,216,219
2022-08-13 00:54:00,50.6,50.6,216,219
2022-08-13 00:56:00,50.5,50.5,218,219
2022-08-13 00:58:00,50.6,50.6,216,218
2022-08-13 01:00:00,50.6,50.5,214,217
2022-08-13 01:02:00,50.9,50.8,215,217
2022-08-13 01:04:00,50.6,50.5,216,217
2022-08-13 01:06:00,50.5,50.5,215,217
2022-08-13 01:08:00,50.7,50.7,216,218
2022-08-13 01:10:00,50.7,50.7,217,219
2022-08-13 01:12:00,50.7,50.8,218,219
2022-08-13 01:14:00,50.8,50.7,216,219
2022-08-13 01:16:00,50.6,50.6,216,219
2022-08-13 01:18:00,50.7,50.6,217,219
2022-08-13 01:20:00,50.6,50.6,216,219
2022-08-13 01:22:00,50.9,50.9,217,219
2022-08-13 01:24:00,50.7,50.7,219,221
2022-08-13 01:26:00,50.8,50.8,219,220
2022-08-13 01:28:00,50.7,50.6,217,219
2022-08-13 01:30:00,50.5,50.6,217,219
2022-08-13 01:32:00,50.7,50.6,220,221
2022-08-13 01:34:00,50.4,50.5,218,220
2022-08-13 01:36:00,50.6,50.6,218,220
2022-08-13 01:38:00,50.7,50.7,221,222
2022-08-13 01:40:00,50.5,50.5,221,223
2022-08-13 01:42:00,50.8,50.7,220,223
2022-08-13 01:44:00,50.7,50.7,221,223
2022-08-13 01:46:00,50.7,50.7,221,223
2022-08-13 01:48:00,50.7,50.7,219,221
2022-08-13 01:50:00,51.1,51.0,219,221
2022-08-13 01:52:00,50.6,50.7,220,221
