"Time","Frequency 3E2F4FD3 (Ch Cbca Bethesda Ndosho - laboratoire)","Frequency C30F2E03 (Ch Cbca Bethesda Ndosho - clinique)","Voltage 3E2F4FD3 (Ch Cbca Bethesda Ndosho - laboratoire)","Voltage C30F2E03 (Ch Cbca Bethesda Ndosho - clinique)"
2022-12-10 00:00:00,50.8,50.8,216,218
2022-12-10 00:02:00,50.6,50.6,215,217
2022-12-10 00:04:00,50.8,50.8,219,220
2022-12-10 00:06:00,50.4,50.4,219,220
2022-12-10 00:08:00,50.8,50.8,218,220
2022-12-10 00:10:00,50.7,50.7,219,221
2022-12-10 00:12:00,50.5,50.5,219,221
2022-12-10 00:14:00,50.8,50.7,219,221
2022-12-10 00:16:00,50.6,50.6,220,221
2022-12-10 00:18:00,50.3,50.3,219,221
2022-12-10 00:20:00,50.8,50.7,219,221
2022-12-10 00:22:00,50.8,50.9,220,221
2022-12-10 00:24:00,50.7,50.7,219,220
2022-12-10 00:26:00,50.7,50.7,218,220
2022-12-10 00:28:00,50.5,50.5,219,221
2022-12-10 00:30:00,50.2,50.2,219,221
2022-12-10 00:32:00,50.8,50.8,219,221
2022-12-10 00:34:00,50.7,50.6,221,221
2022-12-10 00:36:00,50.5,50.4,220,221
2022-12-10 00:38:00,50.4,50.4,218,220
2022-12-10 00:40:00,50.6,50.5,218,221
2022-12-10 00:42:00,50.3,50.3,220,221
2022-12-10 00:44:00,50.6,50.6,219,221
2022-12-10 00:46:00,50.6,50.6,219,221
2022-12-10 00:48:00,50.5,50.4,216,218
2022-12-10 00:50:00,50.6,50.6,215,217
2022-12-10 00:52:00,50.5,50.5,216,218
2022-12-10 00:54:00,50.4,50.4,220,221
2022-12-10 00:56:00,50.3,50.4,219,221
2022-12-10 00:58:00,50.7,50.8,221,223
2022-12-10 01:00:00,50.5,50.6,221,222
2022-12-10 01:02:00,50.6,50.6,220,222
2022-12-10 01:04:00,50.8,50.7,221,223
2022-12-10 01:06:00,50.6,50.5,221,223
2022-12-10 01:08:00,50.5,50.5,220,222
2022-12-10 01:10:00,50.5,50.5,220,223
2022-12-10 01:12:00,50.5,50.6,222,223
2022-12-10 01:14:00,50.7,50.8,221,223
2022-12-10 01:16:00,50.5,50.5,220,223
2022-12-10 01:18:00,50.6,50.6,221,223
2022-12-10 01:20:00,50.5,50.5,220,223
2022-12-10 01:22:00,50.5,50.6,221,223
2022-12-10 01:24:00,50.5,50.5,222,224
2022-12-10 01:26:00,50.7,50.7,215,218
2022-12-10 01:28:00,50.6,50.5,216,219
2022-12-10 01:30:00,50.5,50.5,218,219
2022-12-10 01:32:00,50.5,50.5,221,224
2022-12-10 01:34:00,50.6,50.7,222,225
2022-12-10 01:36:00,50.4,50.3,223,224
2022-12-10 01:38:00,50.6,50.6,221,224
2022-12-10 01:40:00,50.7,50.6,221,224
2022-12-10 01:42:00,50.4,50.3,223,225
2022-12-10 01:44:00,50.7,50.7,223,226
2022-12-10 01:46:00,50.6,50.5,223,225
2022-12-10 01:48:00,50.4,50.5,223,226
2022-12-10 01:50:00,50.7,50.7,224,226
2022-12-10 01:52:00,50.4,50.5,222,224
2022-12-10 01:54:00,50.5,50.5,223,225
2022-12-10 01:56:00,50.7,50.7,224,226
2022-12-10 01:58:00,50.6,50.5,221,223
2022-12-10 02:00:00,50.5,50.5,223,224
2022-12-10 02:02:00,50.7,50.8,223,225
2022-12-10 02:04:00,50.5,50.5,221,223
2022-12-10 02:06:00,50.6,50.6,224,226
2022-12-10 02:08:00,50.5,50.5,224,226
2022-12-10 02:10:00,50.5,50.5,222,224
2022-12-10 02:12:00,50.5,50.5,223,225
2022-12-10 02:14:00,50.5,50.5,223,225
2022-12-10 02:16:00,50.6,50.6,222,225
2022-12-10 02:18:00,50.3,50.3,223,226
2022-12-10 02:20:00,50.7,50.7,224,226
2022-12-10 02:22:00,50.5,50.5,222,225
2022-12-10 02:24:00,50.3,50.2,223,223
2022-12-10 02:26:00,50.5,50.5,222,224
2022-12-10 02:28:00,50.4,50.5,221,223
2022-12-10 02:30:00,50.6,50.6,223,225
2022-12-10 02:32:00,50.7,50.7,223,225
2022-12-10 02:34:00,50.8,50.8,223,226
2022-12-10 02:36:00,50.5,50.4,224,226
2022-12-10 02:38:00,50.6,50.5,225,226
2022-12-10 02:40:00,50.6,50.6,223,225
2022-12-10 02:42:00,50.4,50.4,225,226
2022-12-10 02:44:00,50.6,50.6,224,226
2022-12-10 02:46:00,50.8,50.7,223,225
2022-12-10 02:48:00,50.5,50.5,224,226
2022-12-10 02:50:00,50.7,50.6,225,226
2022-12-10 02:52:00,50.6,50.6,224,226
2022-12-10 02:54:00,50.5,50.4,225,226
2022-12-10 02:56:00,50.7,50.7,225,226
2022-12-10 02:58:00,50.5,50.5,223,226
2022-12-10 03:00:00,50.4,50.4,225,226
