"Time","Frequency 3E2F4FD3 (Ch Cbca Bethesda Ndosho - laboratoire)","Frequency C30F2E03 (Ch Cbca Bethesda Ndosho - clinique)","Voltage 3E2F4FD3 (Ch Cbca Bethesda Ndosho - laboratoire)","Voltage C30F2E03 (Ch Cbca Bethesda Ndosho - clinique)"
2022-08-20 00:00:00,51.0,51.0,217,219
2022-08-20 00:02:00,50.9,50.9,216,219
2022-08-20 00:04:00,50.9,51.0,219,220
2022-08-20 00:06:00,50.1,50.2,216,218
2022-08-20 00:08:00,50.1,50.1,216,219
2022-08-20 00:10:00,50.2,50.3,215,217
2022-08-20 00:12:00,50.3,50.3,218,220
2022-08-20 00:14:00,50.4,50.4,217,219
2022-08-20 00:16:00,50.5,50.4,217,220
2022-08-20 00:18:00,50.3,50.3,219,221
2022-08-20 00:20:00,50.2,50.3,219,221
2022-08-20 00:22:00,50.2,50.3,217,219
2022-08-20 00:24:00,50.2,50.2,215,218
2022-08-20 00:26:00,50.3,50.3,218,220
2022-08-20 00:28:00,50.4,50.4,217,220
2022-08-20 00:30:00,50.2,50.2,217,220
2022-08-20 00:32:00,50.3,50.3,219,220
2022-08-20 00:34:00,50.3,50.3,217,219
2022-08-20 00:36:00,50.1,50.1,217,220
2022-08-20 00:38:00,50.2,50.3,219,221
2022-08-20 00:40:00,50.2,50.3,219,221
2022-08-20 00:42:00,50.2,50.2,218,221
2022-08-20 00:44:00,50.2,50.2,216,219
2022-08-20 00:46:00,50.1,50.1,219,221
2022-08-20 00:48:00,50.1,50.2,219,221
2022-08-20 00:50:00,49.9,49.8,216,219
2022-08-20 00:52:00,50.3,50.3,216,218
2022-08-20 00:54:00,50.3,50.4,219,221
2022-08-20 00:56:00,50.3,50.3,218,221
2022-08-20 00:58:00,50.4,50.4,219,221
2022-08-20 01:00:00,50.2,50.3,221,222
2022-08-20 01:02:00,50.1,50.1,219,221
2022-08-20 01:04:00,50.4,50.4,219,221
2022-08-20 01:06:00,50.2,50.2,221,222
2022-08-20 01:08:00,50.3,50.3,220,222
2022-08-20 01:10:00,50.2,50.2,219,221
2022-08-20 01:12:00,50.2,50.2,219,221
2022-08-20 01:14:00,50.4,50.4,220,222
2022-08-20 01:16:00,50.3,50.4,218,221
2022-08-20 01:18:00,50.2,50.2,219,221
2022-08-20 01:20:00,50.0,50.1,219,221
2022-08-20 01:22:00,50.3,50.3,219,221
2022-08-20 01:24:00,50.1,50.2,218,220
2022-08-20 01:26:00,50.4,50.4,219,221
2022-08-20 01:28:00,50.2,50.2,221,222
2022-08-20 01:30:00,50.3,50.3,219,221
2022-08-20 01:32:00,50.2,50.2,219,221
2022-08-20 01:34:00,50.1,50.1,220,222
2022-08-20 01:36:00,50.3,50.2,219,221
2022-08-20 01:38:00,50.2,50.2,219,222
2022-08-20 01:40:00,50.5,50.5,221,223
2022-08-20 01:42:00,50.2,50.2,221,223
2022-08-20 01:44:00,50.1,50.1,219,222
2022-08-20 01:46:00,50.4,50.4,221,223
2022-08-20 01:48:00,50.0,50.1,221,223
2022-08-20 01:50:00,50.3,50.3,219,222
2022-08-20 01:52:00,50.4,50.4,220,223
2022-08-20 01:54:00,50.2,50.3,221,223
2022-08-20 01:56:00,50.3,50.3,221,223
2022-08-20 01:58:00,50.2,50.2,219,221
2022-08-20 02:00:00,50.3,50.3,221,223
2022-08-20 02:02:00,50.0,50.0,221,224
2022-08-20 02:04:00,50.2,50.2,220,223
2022-08-20 02:06:00,50.0,50.1,220,223
2022-08-20 02:08:00,50.2,50.2,221,223
2022-08-20 02:10:00,50.3,50.3,219,223
2022-08-20 02:12:00,50.2,50.1,219,221
2022-08-20 02:14:00,50.2,50.2,221,223
2022-08-20 02:16:00,50.4,50.4,222,224
2022-08-20 02:18:00,50.2,50.2,219,222
2022-08-20 02:20:00,50.4,50.3,219,222
2022-08-20 02:22:00,50.3,50.3,220,223
2022-08-20 02:24:00,50.0,50.0,219,222
2022-08-20 02:26:00,50.2,50.3,217,221
2022-08-20 02:28:00,50.1,50.1,219,221
2022-08-20 02:30:00,50.2,50.3,219,221
2022-08-20 02:32:00,50.3,50.3,219,222
2022-08-20 02:34:00,50.2,50.2,220,223
2022-08-20 02:36:00,50.2,50.2,220,222
2022-08-20 02:38:00,50.3,50.3,219,222
2022-08-20 02:40:00,50.3,50.3,219,222
2022-08-20 02:42:00,50.1,50.0,220,222
2022-08-20 02:44:00,50.2,50.2,220,223
2022-08-20 02:46:00,50.3,50.3,219,222
2022-08-20 02:48:00,50.2,50.1,221,223
2022-08-20 02:50:00,,50.4,,223
2022-08-20 02:52:00,50.3,50.3,219,222
2022-08-20 02:54:00,50.3,50.3,219,222
2022-08-20 02:56:00,50.1,50.1,221,223
2022-08-20 02:58:00,50.3,50.3,219,222
2022-08-20 03:00:00,50.2,50.2,219,222
2022-08-20 03:02:00,50.3,50.3,220,223
2022-08-20 03:04:00,50.4,50.4,221,223
2022-08-20 03:06:00,50.1,50.1,220,223
2022-08-20 03:08:00,50.2,50.1,221,223
2022-08-20 03:10:00,50.4,50.4,221,224
2022-08-20 03:12:00,50.2,50.1,220,223
2022-08-20 03:14:00,50.3,50.3,220,223
2022-08-20 03:16:00,50.3,50.3,222,224
2022-08-20 03:18:00,50.2,50.2,222,224
2022-08-20 03:20:00,50.3,50.3,221,223
2022-08-20 03:22:00,50.4,50.4,222,225
2022-08-20 03:24:00,50.2,50.2,223,226
2022-08-20 03:26:00,50.6,50.6,223,226
2022-08-20 03:28:00,50.2,50.2,222,225
2022-08-20 03:30:00,50.3,50.3,224,226
2022-08-20 03:32:00,50.2,50.2,223,225
2022-08-20 03:34:00,50.2,50.2,221,224
2022-08-20 03:36:00,50.2,50.3,224,226
2022-08-20 03:38:00,50.3,50.3,223,225
2022-08-20 03:40:00,50.1,50.2,221,223
2022-08-20 03:42:00,50.3,50.3,221,223
2022-08-20 03:44:00,50.4,50.3,223,224
2022-08-20 03:46:00,50.4,50.3,223,223
2022-08-20 03:48:00,50.2,50.2,221,223
2022-08-20 03:50:00,50.3,50.3,223,225
2022-08-20 03:52:00,50.2,50.3,223,225
2022-08-20 03:54:00,50.2,50.2,221,223
2022-08-20 03:56:00,50.3,50.3,221,224
2022-08-20 03:58:00,50.3,50.4,223,225
2022-08-20 04:00:00,50.1,50.1,221,223
2022-08-20 04:02:00,50.3,50.4,221,223
2022-08-20 04:04:00,50.3,50.3,223,224
2022-08-20 04:06:00,50.3,50.3,223,226
2022-08-20 04:08:00,50.3,50.4,222,225
2022-08-20 04:10:00,50.3,50.3,222,224
2022-08-20 04:12:00,50.1,50.2,223,224
2022-08-20 04:14:00,50.2,50.2,222,225
2022-08-20 04:16:00,50.3,50.4,221,224
2022-08-20 04:18:00,50.2,50.2,223,224
2022-08-20 04:20:00,50.3,50.3,222,223
2022-08-20 04:22:00,50.3,50.3,221,223
2022-08-20 04:24:00,50.2,50.3,223,224
2022-08-20 04:26:00,50.2,50.2,223,224
2022-08-20 04:28:00,50.4,50.4,222,224
2022-08-20 04:30:00,50.1,50.1,221,223
2022-08-20 04:32:00,50.3,50.3,223,224
2022-08-20 04:34:00,50.3,50.3,223,225
2022-08-20 04:36:00,50.2,50.2,221,224
2022-08-20 04:38:00,50.2,50.2,223,226
2022-08-20 04:40:00,50.3,50.4,223,226
2022-08-20 04:42:00,50.4,50.4,222,225
2022-08-20 04:44:00,50.1,50.0,222,224
2022-08-20 04:46:00,50.3,50.3,223,226
2022-08-20 04:48:00,50.1,50.1,221,223
2022-08-20 04:50:00,50.3,50.3,221,224
2022-08-20 04:52:00,50.3,50.3,223,225
2022-08-20 04:54:00,50.3,50.1,223,225
2022-08-20 04:56:00,50.1,50.1,221,224
2022-08-20 04:58:00,50.2,50.3,221,224
2022-08-20 05:00:00,50.2,50.2,223,225
2022-08-20 05:02:00,50.2,50.2,221,224
2022-08-20 05:04:00,50.4,50.3,221,224
2022-08-20 05:06:00,50.2,50.2,223,224
2022-08-20 05:08:00,50.1,50.1,223,224
2022-08-20 05:10:00,50.2,50.2,221,223
2022-08-20 05:12:00,50.1,50.2,221,223
2022-08-20 05:14:00,50.0,50.0,222,224
2022-08-20 05:16:00,50.3,50.3,221,223
2022-08-20 05:18:00,50.2,50.1,221,223
2022-08-20 05:20:00,50.1,50.1,222,223
2022-08-20 05:22:00,50.2,50.2,221,223
2022-08-20 05:24:00,50.2,50.2,220,223
2022-08-20 05:26:00,50.1,50.0,221,223
2022-08-20 05:28:00,50.1,50.1,223,224
2022-08-20 05:30:00,50.1,50.0,223,226
2022-08-20 05:32:00,50.2,50.2,223,225
2022-08-20 05:34:00,50.3,50.4,227,228
2022-08-20 05:36:00,50.2,50.1,227,228
2022-08-20 05:38:00,50.0,50.1,223,226
2022-08-20 05:40:00,50.3,50.3,225,227
2022-08-20 05:42:00,50.2,50.2,226,228
2022-08-20 05:44:00,50.3,50.3,224,227
2022-08-20 05:46:00,50.3,50.3,223,226
2022-08-20 05:48:00,50.1,50.2,226,228
2022-08-20 05:50:00,50.2,50.2,223,226
2022-08-20 05:52:00,50.2,50.2,223,225
2022-08-20 05:54:00,50.2,50.2,224,226
2022-08-20 05:56:00,50.2,50.2,222,224
2022-08-20 05:58:00,50.4,50.5,219,222
2022-08-20 06:00:00,50.1,50.2,220,223
2022-08-20 06:02:00,50.2,50.2,221,223
2022-08-20 06:04:00,50.4,50.3,219,221
2022-08-20 06:06:00,50.3,50.3,219,221
2022-08-20 06:08:00,50.3,50.3,220,221
2022-08-20 06:10:00,50.2,50.1,218,219
2022-08-20 06:12:00,50.1,50.1,215,217
2022-08-20 06:14:00,50.0,50.1,216,219
2022-08-20 06:16:00,50.1,50.1,218,220
2022-08-20 06:18:00,50.2,50.2,217,220
2022-08-20 06:20:00,50.3,50.3,217,220
2022-08-20 06:22:00,50.3,50.4,218,220
2022-08-20 06:24:00,49.8,49.8,217,219
2022-08-20 06:26:00,50.1,50.2,213,218
2022-08-20 06:28:00,50.1,50.1,211,216
2022-08-20 06:30:00,50.2,50.3,212,216
2022-08-20 06:32:00,50.1,50.1,211,216
2022-08-20 06:34:00,50.2,50.2,216,218
2022-08-20 06:36:00,50.4,50.3,218,219
2022-08-20 06:38:00,50.2,50.2,211,216
2022-08-20 06:40:00,50.1,50.2,209,215
2022-08-20 06:42:00,50.1,50.1,210,215
2022-08-20 06:44:00,50.5,50.5,210,214
2022-08-20 06:46:00,50.1,50.1,214,216
2022-08-20 06:48:00,50.0,50.1,213,216
2022-08-20 06:50:00,50.4,50.4,211,214
2022-08-20 06:52:00,50.4,50.3,213,215
2022-08-20 06:54:00,50.2,50.2,209,211
2022-08-20 06:56:00,50.2,50.1,211,212
2022-08-20 06:58:00,,50.2,,215
2022-08-20 07:00:00,50.4,50.4,207,210
2022-08-20 07:02:00,50.1,50.1,207,209
2022-08-20 07:04:00,49.9,50.0,206,207
2022-08-20 07:06:00,50.1,50.1,207,208
2022-08-20 07:08:00,50.0,50.0,209,212
2022-08-20 07:10:00,50.2,50.2,210,212
2022-08-20 07:12:00,50.0,50.1,211,213
2022-08-20 07:14:00,50.2,50.3,209,211
2022-08-20 07:16:00,50.0,50.1,208,210
2022-08-20 07:18:00,49.8,49.8,210,211
2022-08-20 07:20:00,50.0,50.0,210,212
2022-08-20 07:22:00,49.8,49.8,209,211
2022-08-20 07:24:00,50.0,50.0,209,209
2022-08-20 07:26:00,50.0,50.1,209,211
2022-08-20 07:28:00,50.2,50.2,208,210
2022-08-20 07:30:00,50.2,50.3,204,207
2022-08-20 07:32:00,49.9,50.0,203,204
2022-08-20 07:34:00,50.1,50.1,206,209
2022-08-20 07:36:00,49.9,49.9,206,209
2022-08-20 07:38:00,49.8,49.8,204,207
2022-08-20 07:40:00,49.9,49.9,205,207
2022-08-20 07:42:00,49.9,49.9,202,205
2022-08-20 07:44:00,50.0,50.0,204,205
2022-08-20 07:46:00,50.2,50.2,199,202
2022-08-20 07:48:00,50.0,50.1,202,204
2022-08-20 07:50:00,50.2,50.1,203,206
2022-08-20 07:52:00,50.2,50.2,207,208
2022-08-20 07:54:00,50.0,50.0,207,209
2022-08-20 07:56:00,50.0,50.0,206,209
2022-08-20 07:58:00,50.0,50.0,205,207
2022-08-20 08:00:00,50.3,50.0,205,206
2022-08-20 08:02:00,50,50.0,204,207
2022-08-20 08:04:00,49.8,49.9,202,205
2022-08-20 08:06:00,49.9,49.9,204,205
2022-08-20 08:08:00,50.0,50.1,203,206
2022-08-20 08:10:00,49.9,50.0,201,203
2022-08-20 08:12:00,50.4,50.4,203,205
2022-08-20 08:14:00,50.1,50.1,201,202
2022-08-20 08:16:00,50.0,50.0,199,202
2022-08-20 08:18:00,50.0,50.0,196,198
2022-08-20 08:20:00,49.8,49.8,199,200
2022-08-20 08:22:00,50.0,50.0,197,199
2022-08-20 08:24:00,50.1,50.1,197,199
2022-08-20 08:26:00,50.2,50.1,195,197
2022-08-20 08:28:00,50.1,50.1,197,199
2022-08-20 08:30:00,49.9,49.9,199,202
2022-08-20 08:32:00,50.3,50.3,197,199
2022-08-20 08:34:00,49.8,49.7,201,202
2022-08-20 08:36:00,50.1,50.1,203,204
2022-08-20 08:38:00,49.9,49.9,200,203
2022-08-20 08:40:00,50.0,50.0,203,205
2022-08-20 08:42:00,50.0,49.9,199,202
2022-08-20 08:44:00,49.9,50.0,197,200
2022-08-20 08:46:00,50.0,50.1,199,202
2022-08-20 08:48:00,49.8,49.8,199,202
2022-08-20 08:50:00,50.0,49.9,201,203
2022-08-20 08:52:00,49.8,49.8,200,203
2022-08-20 08:54:00,50.2,50.2,202,205
2022-08-20 08:56:00,49.9,49.9,197,199
2022-08-20 08:58:00,49.9,49.9,191,194
2022-08-20 09:00:00,49.9,49.9,192,195
2022-08-20 09:02:00,50.1,50.1,192,194
2022-08-20 09:04:00,50,50.0,190,192
2022-08-20 09:06:00,49.8,49.8,189,192
2022-08-20 09:08:00,49.8,49.8,190,192
2022-08-20 09:10:00,50.1,50.1,190,192
2022-08-20 09:12:00,49.8,49.7,192,195
2022-08-20 09:14:00,50,50.0,190,193
2022-08-20 09:16:00,50.2,50.2,185,190
2022-08-20 09:18:00,49.8,49.9,186,192
2022-08-20 09:20:00,49.6,49.6,185,191
2022-08-20 09:22:00,50.1,50.1,185,191
2022-08-20 09:24:00,50,49.9,182,187
2022-08-20 09:26:00,50.0,50.0,182,187
2022-08-20 09:28:00,49.9,49.9,178,184
2022-08-20 09:30:00,49.9,49.9,190,193
2022-08-20 09:32:00,50.0,50.0,190,194
2022-08-20 09:34:00,49.7,49.7,186,191
2022-08-20 09:36:00,49.9,49.9,190,194
2022-08-20 09:38:00,49.9,49.9,190,194
2022-08-20 09:40:00,49.9,49.9,187,192
2022-08-20 09:42:00,50.0,50.0,185,190
2022-08-20 09:44:00,49.9,50.0,187,191
2022-08-20 09:46:00,49.9,49.7,189,194
2022-08-20 09:48:00,49.8,49.8,188,192
2022-08-20 09:50:00,49.6,49.6,190,194
2022-08-20 09:52:00,50.1,50.1,192,197
2022-08-20 09:54:00,49.8,49.8,185,189
2022-08-20 09:56:00,49.7,49.7,176,183
2022-08-20 09:58:00,49.8,49.8,174,182
2022-08-20 10:00:00,50.1,50.2,172,181
2022-08-20 10:02:00,50.0,50.0,176,181
