"Time","Frequency 3E2F4FD3 (Ch Cbca Bethesda Ndosho - laboratoire)","Frequency C30F2E03 (Ch Cbca Bethesda Ndosho - clinique)","Voltage 3E2F4FD3 (Ch Cbca Bethesda Ndosho - laboratoire)","Voltage C30F2E03 (Ch Cbca Bethesda Ndosho - clinique)"
2022-12-31 00:00:00,50.9,50.9,203,205
2022-12-31 00:02:00,50.9,50.9,206,208
2022-12-31 00:04:00,50.8,50.8,207,208
2022-12-31 00:06:00,50.8,50.8,206,208
2022-12-31 00:08:00,51.0,51.0,206,208
2022-12-31 00:10:00,50.8,50.8,207,208
2022-12-31 00:12:00,50.7,50.7,206,207
2022-12-31 00:14:00,50.8,50.7,207,209
2022-12-31 00:16:00,50.9,50.9,207,209
2022-12-31 00:18:00,50.7,50.7,208,209
2022-12-31 00:20:00,51.0,50.9,208,210
2022-12-31 00:22:00,50.9,50.9,209,210
2022-12-31 00:24:00,50.8,50.7,209,210
2022-12-31 00:26:00,50.9,50.9,207,209
2022-12-31 00:28:00,50.9,50.8,208,209
2022-12-31 00:30:00,50.4,50.4,208,209
2022-12-31 00:32:00,50.6,50.6,209,210
2022-12-31 00:34:00,50.7,50.7,208,210
2022-12-31 00:36:00,50.6,50.5,209,211
2022-12-31 00:38:00,50.4,50.3,209,210
2022-12-31 00:40:00,50.6,50.6,209,210
2022-12-31 00:42:00,50.4,50.4,209,210
2022-12-31 00:44:00,50.7,50.7,208,210
2022-12-31 00:46:00,50.4,50.4,209,210
2022-12-31 00:48:00,50.3,50.3,208,210
2022-12-31 00:50:00,50.6,50.5,209,211
2022-12-31 00:52:00,50.6,50.6,209,211
2022-12-31 00:54:00,50.2,50.1,208,210
2022-12-31 00:56:00,50.5,50.6,209,211
2022-12-31 00:58:00,50.6,50.6,209,211
2022-12-31 01:00:00,50.4,50.4,209,211
2022-12-31 01:02:00,50.6,50.6,211,212
2022-12-31 01:04:00,50.5,50.6,208,209
2022-12-31 01:06:00,50.5,50.5,208,209
2022-12-31 01:08:00,50.6,50.6,207,209
2022-12-31 01:10:00,50.4,50.4,207,208
2022-12-31 01:12:00,50.7,50.8,207,209
2022-12-31 01:14:00,50.5,50.5,207,209
2022-12-31 01:16:00,50.4,50.4,210,211
2022-12-31 01:18:00,50.6,50.7,211,212
2022-12-31 01:20:00,50.9,51.0,212,214
2022-12-31 01:22:00,50.5,50.5,211,213
2022-12-31 01:24:00,50.6,50.6,211,213
2022-12-31 01:26:00,50.6,50.7,211,212
2022-12-31 01:28:00,50.5,50.5,209,211
2022-12-31 01:30:00,50.7,50.7,210,211
2022-12-31 01:32:00,50.5,50.5,209,211
2022-12-31 01:34:00,50.6,50.5,207,209
2022-12-31 01:36:00,50.4,50.4,208,209
2022-12-31 01:38:00,50.7,50.7,211,212
2022-12-31 01:40:00,50.5,50.5,211,212
2022-12-31 01:42:00,50.6,50.5,211,213
2022-12-31 01:44:00,50.5,50.6,213,216
2022-12-31 01:46:00,50.5,50.5,212,214
2022-12-31 01:48:00,50.7,50.7,213,215
2022-12-31 01:50:00,50.6,50.5,214,216
2022-12-31 01:52:00,50.7,50.7,215,216
2022-12-31 01:54:00,50.6,50.6,215,216
2022-12-31 01:56:00,50.7,50.7,215,216
2022-12-31 01:58:00,50.4,50.5,214,216
2022-12-31 02:00:00,50.6,50.6,214,216
2022-12-31 02:02:00,50.7,50.7,214,216
2022-12-31 02:04:00,50.7,50.6,214,216
2022-12-31 02:06:00,50.6,50.5,214,216
2022-12-31 02:08:00,50.6,50.6,215,216
2022-12-31 02:10:00,50.6,50.5,215,216
2022-12-31 02:12:00,50.6,50.6,215,216
2022-12-31 02:14:00,50.6,50.7,214,216
2022-12-31 02:16:00,50.5,50.5,214,216
2022-12-31 02:18:00,50.7,50.7,214,216
2022-12-31 02:20:00,50.6,50.6,215,216
2022-12-31 02:22:00,50.6,50.6,214,215
2022-12-31 02:24:00,50.5,50.5,214,216
2022-12-31 02:26:00,50.7,50.7,215,216
2022-12-31 02:28:00,50.4,50.4,214,216
2022-12-31 02:30:00,50.7,50.7,214,216
2022-12-31 02:32:00,50.3,50.3,214,215
2022-12-31 02:34:00,50.4,50.5,214,215
2022-12-31 02:36:00,50.7,50.6,211,213
2022-12-31 02:38:00,50.9,50.9,211,213
2022-12-31 02:40:00,50.3,50.3,211,213
2022-12-31 02:42:00,50.6,50.6,216,217
2022-12-31 02:44:00,50.6,50.6,215,217
2022-12-31 02:46:00,50.6,50.6,216,217
2022-12-31 02:48:00,50.4,50.4,215,216
2022-12-31 02:50:00,50.9,50.9,216,217
2022-12-31 02:52:00,50.6,50.7,216,217
2022-12-31 02:54:00,50.7,50.7,216,217
2022-12-31 02:56:00,50.5,50.6,213,215
2022-12-31 02:58:00,50.5,50.5,213,214
2022-12-31 03:00:00,50.5,50.5,215,216
2022-12-31 03:02:00,50.8,50.8,216,218
2022-12-31 03:04:00,50.4,50.4,215,217
2022-12-31 03:06:00,50.6,50.6,216,217
2022-12-31 03:08:00,50.6,50.6,216,218
2022-12-31 03:10:00,50.6,50.6,216,217
2022-12-31 03:12:00,50.5,50.6,215,217
2022-12-31 03:14:00,50.5,50.5,215,217
2022-12-31 03:16:00,50.7,50.6,216,218
2022-12-31 03:18:00,50.5,50.6,216,218
2022-12-31 03:20:00,50.5,50.5,216,218
2022-12-31 03:22:00,50.5,50.5,216,217
2022-12-31 03:24:00,50.6,50.5,216,217
2022-12-31 03:26:00,50.7,50.8,217,219
2022-12-31 03:28:00,50.6,50.6,215,217
2022-12-31 03:30:00,50.6,50.6,216,217
2022-12-31 03:32:00,50.7,50.7,216,217
2022-12-31 03:34:00,50.6,50.5,216,218
2022-12-31 03:36:00,50.7,50.7,216,218
2022-12-31 03:38:00,50.6,50.7,216,218
2022-12-31 03:40:00,50.6,50.7,217,219
2022-12-31 03:42:00,50.6,50.7,216,219
2022-12-31 03:44:00,50.7,50.7,217,218
2022-12-31 03:46:00,50.6,50.7,217,219
2022-12-31 03:48:00,50.8,50.7,217,219
2022-12-31 03:50:00,50.4,50.4,216,218
2022-12-31 03:52:00,50.6,50.6,216,217
2022-12-31 03:54:00,50.6,50.6,216,218
2022-12-31 03:56:00,50.6,50.6,217,219
2022-12-31 03:58:00,50.7,50.7,216,218
2022-12-31 04:00:00,50.5,50.5,216,218
2022-12-31 04:02:00,50.7,50.6,216,219
2022-12-31 04:04:00,50.5,50.5,216,218
2022-12-31 04:06:00,50.7,50.7,216,219
2022-12-31 04:08:00,50.7,50.6,216,219
2022-12-31 04:10:00,50.4,50.4,215,217
2022-12-31 04:12:00,50.6,50.6,216,219
2022-12-31 04:14:00,50.5,50.5,216,218
2022-12-31 04:16:00,50.7,50.6,216,217
2022-12-31 04:18:00,50.5,50.5,216,217
2022-12-31 04:20:00,50.7,50.7,214,215
2022-12-31 04:22:00,50.6,50.6,214,216
2022-12-31 04:24:00,50.7,50.7,214,216
2022-12-31 04:26:00,50.4,50.3,216,217
2022-12-31 04:28:00,50.7,50.6,216,219
2022-12-31 04:30:00,50.6,50.5,216,218
2022-12-31 04:32:00,50.4,50.4,216,218
2022-12-31 04:34:00,50.4,50.4,214,216
2022-12-31 04:36:00,50.7,50.7,216,218
2022-12-31 04:38:00,50.7,50.7,216,218
2022-12-31 04:40:00,50.3,50.3,216,217
2022-12-31 04:42:00,50.5,50.5,216,218
2022-12-31 04:44:00,50.7,50.7,216,217
2022-12-31 04:46:00,50.7,50.7,217,219
2022-12-31 04:48:00,50.5,50.6,216,218
2022-12-31 04:50:00,50.7,50.6,216,219
2022-12-31 04:52:00,50.4,50.4,217,219
2022-12-31 04:54:00,50.6,50.7,216,219
2022-12-31 04:56:00,50.8,50.9,217,219
2022-12-31 04:58:00,50.6,50.6,211,213
2022-12-31 05:00:00,50.7,50.7,211,213
2022-12-31 05:02:00,50.3,50.3,211,213
2022-12-31 05:04:00,50.5,50.5,214,216
2022-12-31 05:06:00,50.7,50.6,214,216
2022-12-31 05:08:00,50.5,50.6,214,216
2022-12-31 05:10:00,50.5,50.5,214,216
2022-12-31 05:12:00,50.9,50.8,214,216
2022-12-31 05:14:00,50.4,50.4,214,215
2022-12-31 05:16:00,50.6,50.6,214,215
2022-12-31 05:18:00,50.5,50.5,214,216
2022-12-31 05:20:00,50.8,50.7,214,215
2022-12-31 05:22:00,50.4,50.4,211,214
2022-12-31 05:24:00,50.6,50.6,211,214
2022-12-31 05:26:00,50.4,50.5,212,214
2022-12-31 05:28:00,50.5,50.5,212,214
2022-12-31 05:30:00,50.5,50.5,212,214
2022-12-31 05:32:00,50.6,50.6,209,211
2022-12-31 05:34:00,50.6,50.5,209,211
2022-12-31 05:36:00,50.5,50.5,208,210
2022-12-31 05:38:00,50.7,50.7,209,210
2022-12-31 05:40:00,50.5,50.5,209,210
2022-12-31 05:42:00,50.5,50.6,208,210
2022-12-31 05:44:00,50.6,50.6,208,210
2022-12-31 05:46:00,50.5,50.5,209,210
2022-12-31 05:48:00,50.4,50.4,207,208
2022-12-31 05:50:00,50.6,50.6,207,209
2022-12-31 05:52:00,50.4,50.4,207,208
2022-12-31 05:54:00,50.6,50.6,206,207
2022-12-31 05:56:00,50.5,50.6,204,205
2022-12-31 05:58:00,50.3,50.3,205,207
2022-12-31 06:00:00,50.6,50.6,205,207
2022-12-31 06:02:00,50.7,50.7,208,209
2022-12-31 06:04:00,50.4,50.4,202,204
2022-12-31 06:06:00,50.7,50.7,203,204
2022-12-31 06:08:00,50.6,50.6,197,199
2022-12-31 06:10:00,50.5,50.5,201,202
2022-12-31 06:12:00,50.6,50.6,203,204
2022-12-31 06:14:00,50.3,50.3,200,202
2022-12-31 06:16:00,50.4,50.5,202,204
2022-12-31 06:18:00,50.5,50.5,202,203
2022-12-31 06:20:00,50.4,50.4,202,204
2022-12-31 06:22:00,50.4,50.4,204,206
2022-12-31 06:24:00,50.5,50.6,206,208
2022-12-31 06:26:00,50.4,50.4,203,205
2022-12-31 06:28:00,50.5,50.4,194,194
2022-12-31 06:30:00,50.7,50.7,197,197
2022-12-31 06:32:00,50.5,50.5,204,200
2022-12-31 06:34:00,50.5,50.5,205,202
2022-12-31 06:36:00,50.4,50.4,205,202
2022-12-31 06:38:00,50.5,50.5,204,200
2022-12-31 06:40:00,50.4,50.4,206,202
2022-12-31 06:42:00,50.5,50.5,204,200
2022-12-31 06:44:00,50.4,50.3,206,208
2022-12-31 06:46:00,50.5,50.4,206,208
2022-12-31 06:48:00,50.4,50.5,199,204
2022-12-31 06:50:00,50.4,50.4,197,202
2022-12-31 06:52:00,50.3,50.4,202,207
2022-12-31 06:54:00,50.3,50.4,202,206
2022-12-31 06:56:00,50.4,50.4,203,207
2022-12-31 06:58:00,50.4,50.4,201,205
2022-12-31 07:00:00,50.6,50.5,207,208
2022-12-31 07:02:00,50.5,50.5,208,210
2022-12-31 07:04:00,50.3,50.3,209,211
2022-12-31 07:06:00,50.4,50.4,211,214
2022-12-31 07:08:00,50.5,50.5,211,214
2022-12-31 07:10:00,50.4,50.5,204,207
2022-12-31 07:12:00,50.4,50.4,204,207
2022-12-31 07:14:00,50.3,50.4,202,205
2022-12-31 07:16:00,50.3,50.4,201,197
2022-12-31 07:18:00,50.4,50.4,200,197
2022-12-31 07:20:00,50.5,50.5,199,196
2022-12-31 07:22:00,50.3,50.2,199,196
2022-12-31 07:24:00,50.4,50.4,197,193
2022-12-31 07:26:00,50.2,50.2,194,192
2022-12-31 07:28:00,50.0,50.1,195,192
2022-12-31 07:30:00,50.3,50.3,194,190
2022-12-31 07:32:00,50.4,50.4,197,193
2022-12-31 07:34:00,50.3,50.4,192,192
2022-12-31 07:36:00,50.3,50.3,200,202
2022-12-31 07:38:00,50.3,50.3,191,195
2022-12-31 07:40:00,50.2,50.1,193,197
2022-12-31 07:42:00,50.0,50.0,192,196
2022-12-31 07:44:00,50.5,50.5,194,199
2022-12-31 07:46:00,50.2,50.2,193,196
2022-12-31 07:48:00,50.5,50.4,196,199
2022-12-31 07:50:00,50.3,50.4,192,194
2022-12-31 07:52:00,50.4,50.3,195,198
2022-12-31 07:54:00,50.2,50.2,195,198
2022-12-31 07:56:00,50.5,50.5,192,194
2022-12-31 07:58:00,50.2,50.2,192,196
2022-12-31 08:00:00,50.2,50.1,196,199
2022-12-31 08:02:00,50.2,50.2,196,199
2022-12-31 08:04:00,50.6,50.6,197,200
2022-12-31 08:06:00,50.2,50.2,198,201
2022-12-31 08:08:00,50.0,50.0,199,202
2022-12-31 08:10:00,50.4,50.4,199,202
2022-12-31 08:12:00,50.3,50.3,199,202
