"Time","Frequency 25F7F910 (Hgr Beni - Gen area)","Frequency D10C8B91 (Hgr Beni - Lab)","Voltage 25F7F910 (Hgr Beni - Gen area)","Voltage D10C8B91 (Hgr Beni - Lab)"
2023-01-22 03:58:00,6536,51.0,0.707,245
2023-01-22 04:00:00,3279,51.2,0.707,245
2023-01-22 04:02:00,7874,51.3,0.707,245
2023-01-22 04:04:00,4329,51.1,0.707,245
2023-01-22 04:06:00,2463,51.2,0.707,245
2023-01-22 04:08:00,1272,51.2,0.707,245
2023-01-22 04:10:00,1786,51.1,0.707,245
2023-01-22 04:12:00,5618,51.1,0.707,245
2023-01-22 04:14:00,2463,51.1,0,245
2023-01-22 04:16:00,3030,51.1,0.707,245
2023-01-22 04:18:00,2304,51.1,0.707,245
2023-01-22 04:20:00,7874,51.1,0.707,245
2023-01-22 04:22:00,3030,51.0,0.707,245
2023-01-22 04:24:00,1961,51.1,0.707,245
2023-01-22 04:26:00,3937,51.1,0.707,245
2023-01-22 04:28:00,2463,51.1,0.707,245
2023-01-22 04:30:00,3257,51.1,0.707,245
2023-01-22 04:32:00,3937,51.0,0.707,245
2023-01-22 04:34:00,2817,51.1,0,245
2023-01-22 04:36:00,3937,51.1,0.707,245
2023-01-22 04:38:00,7874,51.1,0.707,245
2023-01-22 04:40:00,966,51.1,0.707,245
2023-01-22 04:42:00,3279,51.1,0.707,245
2023-01-22 04:44:00,1642,51.0,0.707,245
2023-01-22 04:46:00,7874,51.1,0,245
2023-01-22 04:48:00,3279,51.1,0.707,246
2023-01-22 04:50:00,3021,51.1,0.707,246
2023-01-22 04:52:00,5556,51.1,0.707,245
2023-01-22 04:54:00,1517,51.1,0.707,245
2023-01-22 04:56:00,4329,51.1,0.707,245
2023-01-22 04:58:00,2320,51.1,0.707,245
2023-01-22 05:00:00,2611,51.1,0.707,245
2023-01-22 05:02:00,2304,51.0,0.707,245
2023-01-22 05:04:00,7874,51.0,0.707,245
2023-01-22 05:06:00,2188,51.1,0.707,245
2023-01-22 05:08:00,1230,51.1,0.707,245
2023-01-22 05:10:00,3279,50.9,0.707,245
2023-01-22 05:12:00,6369,51.0,0.707,245
2023-01-22 05:14:00,3906,51.1,0.707,245
2023-01-22 05:16:00,4386,51.1,0.707,245
2023-01-22 05:18:00,3922,51.1,0.707,245
2023-01-22 05:20:00,4367,51.1,0.707,246
2023-01-22 05:22:00,3906,51.0,0,245
2023-01-22 05:24:00,3268,51.1,0.707,246
2023-01-22 05:26:00,7874,51.0,0,246
2023-01-22 05:28:00,3937,51.0,0.707,244
2023-01-22 05:30:00,4367,51.2,0.707,246
2023-01-22 05:32:00,4329,51.1,0.707,245
2023-01-22 05:34:00,5556,51.1,0.707,246
2023-01-22 05:36:00,2445,51.1,0.707,246
2023-01-22 05:38:00,2817,51.2,0.707,246
2023-01-22 05:40:00,6536,51.1,0.707,246
2023-01-22 05:42:00,5618,51.1,0.707,246
2023-01-22 05:44:00,1456,51.1,0.707,246
2023-01-22 05:46:00,1063,51.0,0.707,246
2023-01-22 05:48:00,3584,51.1,0.707,245
2023-01-22 05:50:00,3030,51.1,0.707,245
2023-01-22 05:52:00,728,51.0,0.707,245
2023-01-22 05:54:00,4367,51.0,0.707,245
2023-01-22 05:56:00,4878,51.1,0.707,245
2023-01-22 05:58:00,4292,51.0,0.707,245
2023-01-22 06:00:00,4367,51.1,0.707,245
2023-01-22 06:02:00,4367,51.0,0.707,245
2023-01-22 06:04:00,7752,51.1,0.707,245
2023-01-22 06:06:00,3268,51.1,0.707,245
2023-01-22 06:08:00,2801,51.0,0.707,245
2023-01-22 06:10:00,1508,51.0,0.707,245
2023-01-22 06:12:00,3279,51.1,0.707,245
2023-01-22 06:14:00,959,51.1,0.707,245
2023-01-22 06:16:00,4367,51.2,0.707,244
2023-01-22 06:18:00,1309,51.2,0.707,244
2023-01-22 06:20:00,6536,51.0,0.707,244
2023-01-22 06:22:00,2179,51.1,0.707,244
2023-01-22 06:24:00,3922,51.1,0.707,244
2023-01-22 06:26:00,2451,51.1,0,244
2023-01-22 06:28:00,3257,51.1,0.707,243
2023-01-22 06:30:00,1972,51.0,0.707,243
2023-01-22 06:32:00,9804,51.1,0.707,242
2023-01-22 06:34:00,894,51.1,0.707,242
2023-01-22 06:36:00,6579,51.0,0.707,243
2023-01-22 06:38:00,3937,51.1,0.707,243
2023-01-22 06:40:00,4367,51.0,0.707,242
2023-01-22 06:42:00,5618,51.1,0.707,243
2023-01-22 06:44:00,2188,51.0,0.707,243
2023-01-22 06:46:00,2801,51.0,0.707,242
2023-01-22 06:48:00,1355,51.1,0.707,243
2023-01-22 06:50:00,1969,51.0,0.707,241
2023-01-22 06:52:00,6452,51.0,0.707,242
2023-01-22 06:54:00,4926,51.0,0.707,241
2023-01-22 06:56:00,3584,51.0,0.707,243
2023-01-22 06:58:00,4926,51.0,0.707,239
2023-01-22 07:00:00,3906,51.0,0.707,243
2023-01-22 07:02:00,2188,51.1,0.707,242
2023-01-22 07:04:00,5618,51.1,0.707,242
2023-01-22 07:06:00,5618,51.0,0.707,243
2023-01-22 07:08:00,2320,51.0,0.707,242
2023-01-22 07:10:00,6536,51.0,0.707,243
2023-01-22 07:12:00,2809,51.1,0.707,243
2023-01-22 07:14:00,4386,51.1,0,243
2023-01-22 07:16:00,4386,51.0,0.707,243
2023-01-22 07:18:00,4926,51.0,0,243
2023-01-22 07:20:00,2066,51.1,0.707,243
2023-01-22 07:22:00,1712,51.1,0.707,243
2023-01-22 07:24:00,7874,51.1,0.707,245
2023-01-22 07:26:00,757,51.0,0.707,245
2023-01-22 07:28:00,3937,51.1,0.707,245
2023-01-22 07:30:00,1792,51.1,0.707,244
2023-01-22 07:32:00,7874,51.1,0.707,245
2023-01-22 07:34:00,4367,50.7,0.707,244
2023-01-22 07:36:00,5618,50.6,0.707,240
2023-01-22 07:38:00,5618,50.5,0.707,240
2023-01-22 07:40:00,5618,50.6,0.707,240
2023-01-22 07:42:00,2451,50.6,0.707,240
2023-01-22 07:44:00,3584,50.7,0.707,240
2023-01-22 07:46:00,787,50.6,0.707,240
2023-01-22 07:48:00,1969,50.7,0.707,240
2023-01-22 07:50:00,4386,50.7,0.707,239
2023-01-22 07:52:00,5618,50.7,0.707,240
2023-01-22 07:54:00,1127,50.6,0.707,240
2023-01-22 07:56:00,1792,50.7,0.707,240
2023-01-22 07:58:00,4926,50.6,0.707,240
2023-01-22 08:00:00,3584,50.7,0,240
2023-01-22 08:02:00,2817,50.9,0.707,245
2023-01-22 08:04:00,1357,50.9,0.707,243
2023-01-22 08:06:00,2817,50.6,0.707,240
2023-01-22 08:08:00,1233,50.9,0.707,245
2023-01-22 08:10:00,3279,50.9,0.707,244
2023-01-22 08:12:00,789,50.9,0.707,245
2023-01-22 08:14:00,1637,50.9,0.707,245
2023-01-22 08:16:00,5618,50.7,0.707,240
2023-01-22 08:18:00,2315,50.9,0.707,245
2023-01-22 08:20:00,3584,50.9,0.707,245
2023-01-22 08:22:00,3268,50.6,0.707,240
2023-01-22 08:24:00,3584,50.9,0,245
2023-01-22 08:26:00,1456,50.9,0.707,245
2023-01-22 08:28:00,4926,50.9,0.707,244
2023-01-22 08:30:00,570,50.9,0.707,245
2023-01-22 08:32:00,1876,50.9,0.707,245
2023-01-22 08:34:00,1456,50.9,0.707,244
2023-01-22 08:36:00,3279,50.9,0,245
2023-01-22 08:38:00,2809,50.9,0.707,244
2023-01-22 08:40:00,2463,50.9,0.707,245
2023-01-22 08:42:00,1779,50.9,0.707,245
2023-01-22 08:44:00,1645,50.9,0.707,245
2023-01-22 08:46:00,3937,50.6,0.707,240
2023-01-22 08:48:00,5618,50.6,0.707,240
2023-01-22 08:50:00,2188,50.7,0.707,240
2023-01-22 08:52:00,3937,50.7,0,241
2023-01-22 08:54:00,6536,50.7,0.707,240
2023-01-22 08:56:00,2793,50.7,0.707,240
2023-01-22 08:58:00,1357,50.7,0.707,240
2023-01-22 09:00:00,1127,50.9,0.707,245
2023-01-22 09:02:00,679,50.9,0.707,245
2023-01-22 09:04:00,2315,50.9,0.707,244
2023-01-22 09:06:00,9804,50.8,0.707,242
2023-01-22 09:08:00,1093,50.7,0,243
2023-01-22 09:10:00,979,50.6,0.707,238
2023-01-22 09:12:00,1869,50.8,0,245
2023-01-22 09:14:00,1192,50.7,0,240
2023-01-22 09:16:00,691,50.9,0,245
2023-01-22 09:18:00,2817,50.6,0,240
2023-01-22 09:20:00,982,50.9,0,245
2023-01-22 09:22:00,3257,50.9,0.707,242
2023-01-22 09:24:00,1565,50.9,0,244
2023-01-22 09:26:00,4926,50.9,0,245
2023-01-22 09:28:00,4926,50.9,0.707,245
2023-01-22 09:30:00,2817,50.9,0.707,245
2023-01-22 09:32:00,3546,50.7,0.707,246
2023-01-22 09:34:00,1222,50.8,0.707,246
2023-01-22 09:36:00,656,50.9,0.707,244
2023-01-22 09:38:00,402,50.9,0.707,245
2023-01-22 09:40:00,1965,50.9,0.707,245
2023-01-22 09:42:00,1869,50.8,0,244
2023-01-22 09:44:00,4926,50.9,0,245
2023-01-22 09:46:00,786,50.8,0.707,245
2023-01-22 09:48:00,3012,50.9,0.707,245
2023-01-22 09:50:00,960,50.8,0,245
2023-01-22 09:52:00,1876,50.8,0.707,244
2023-01-22 09:54:00,1157,50.7,0.707,245
2023-01-22 09:56:00,1036,50.8,0.707,244
2023-01-22 09:58:00,1572,50.8,0.707,245
2023-01-22 10:00:00,1060,50.8,0,245
2023-01-22 10:02:00,3546,50.9,0,245
2023-01-22 10:04:00,4902,50.6,0.707,240
2023-01-22 10:06:00,2809,50.7,0,240
2023-01-22 10:08:00,9804,50.5,0.707,240
2023-01-22 10:10:00,2611,50.6,0,241
2023-01-22 10:12:00,3937,50.6,0.707,240
2023-01-22 10:14:00,1007,50.6,0.707,240
2023-01-22 10:16:00,937,50.6,0.707,240
2023-01-22 10:18:00,3906,50.6,0.707,240
2023-01-22 10:20:00,1351,50.7,1.41,240
2023-01-22 10:22:00,1168,50.7,0.707,240
2023-01-22 10:24:00,331,50.9,0.707,245
2023-01-22 10:26:00,1969,50.7,0.707,240
2023-01-22 10:28:00,3030,50.8,0.707,245
2023-01-22 10:30:00,895,50.6,0,240
2023-01-22 10:32:00,442,50.9,0.707,245
2023-01-22 10:34:00,7874,50.6,0,241
2023-01-22 10:36:00,1572,50.8,0,245
2023-01-22 10:38:00,2066,50.6,0.707,240
2023-01-22 10:40:00,2625,50.9,0.707,245
2023-01-22 10:42:00,2193,50.7,0,240
2023-01-22 10:44:00,605,50.9,0.707,245
2023-01-22 10:46:00,1869,50.9,0.707,245
2023-01-22 10:48:00,5618,50.9,0,245
2023-01-22 10:50:00,3584,50.8,0,245
2023-01-22 10:52:00,2320,50.9,0.707,244
2023-01-22 10:54:00,4878,50.9,0.707,245
2023-01-22 10:56:00,427,50.9,0.707,245
2023-01-22 10:58:00,463,50.9,0.707,244
2023-01-22 11:00:00,3559,50.9,0.707,245
2023-01-22 11:02:00,273,50.8,0.707,244
2023-01-22 11:04:00,2320,50.8,0.707,245
2023-01-22 11:06:00,1311,50.9,0.707,245
2023-01-22 11:08:00,1064,50.9,0.707,245
2023-01-22 11:10:00,4367,50.9,0.707,246
2023-01-22 11:12:00,1230,50.9,0.707,245
2023-01-22 11:14:00,2611,50.8,0.707,245
2023-01-22 11:16:00,49.6,50.9,238,245
2023-01-22 11:18:00,50.3,50.9,236,245
2023-01-22 11:20:00,49.8,50.9,233,245
2023-01-22 11:22:00,49.6,50.9,234,245
2023-01-22 11:24:00,49.7,50.8,232,245
2023-01-22 11:26:00,49.8,49.8,231,231
2023-01-22 11:28:00,49.5,49.6,228,230
2023-01-22 11:30:00,49.7,49.7,228,229
2023-01-22 11:32:00,49.7,49.7,224,226
2023-01-22 11:34:00,50.1,50.2,224,226
2023-01-22 11:36:00,49.9,50.0,225,226
2023-01-22 11:38:00,49.7,49.8,223,224
2023-01-22 11:40:00,49.9,50.1,223,224
2023-01-22 11:42:00,49.8,49.7,222,223
2023-01-22 11:44:00,49.5,49.5,221,222
2023-01-22 11:46:00,49.6,49.8,221,224
2023-01-22 11:48:00,50.0,50.1,221,222
2023-01-22 11:50:00,50.1,50.4,221,223
2023-01-22 11:52:00,50.1,50.2,220,221
2023-01-22 11:54:00,50.4,50.4,220,222
2023-01-22 11:56:00,50.1,50.2,221,224
2023-01-22 11:58:00,50.2,49.8,222,222
2023-01-22 12:00:00,49.9,49.8,219,222
2023-01-22 12:02:00,50.0,49.9,219,221
2023-01-22 12:04:00,49.9,49.9,219,221
2023-01-22 12:06:00,50.3,50.4,219,223
2023-01-22 12:08:00,50.0,50.2,218,221
2023-01-22 12:10:00,50.1,50.3,219,220
2023-01-22 12:12:00,50.3,50.4,218,221
2023-01-22 12:14:00,50.2,50.1,219,219
2023-01-22 12:16:00,49.8,49.6,218,219
2023-01-22 12:18:00,50.1,50.0,220,222
2023-01-22 12:20:00,50.2,50.4,219,222
2023-01-22 12:22:00,49.9,50.2,216,221
2023-01-22 12:24:00,49.9,50.1,220,221
2023-01-22 12:26:00,50.0,50.2,217,221
2023-01-22 12:28:00,50.1,50.3,220,223
2023-01-22 12:30:00,50.1,50.3,219,221
2023-01-22 12:32:00,50.1,50.2,218,221
2023-01-22 12:34:00,50.2,50.0,219,221
2023-01-22 12:36:00,49.9,49.8,218,219
2023-01-22 12:38:00,50.0,50.0,219,221
2023-01-22 12:40:00,49.8,49.6,218,219
2023-01-22 12:42:00,49.7,49.9,219,220
2023-01-22 12:44:00,49.9,50.0,219,221
2023-01-22 12:46:00,50.1,50.1,219,221
2023-01-22 12:48:00,50.1,50.1,219,219
2023-01-22 12:50:00,50.1,50.2,218,223
2023-01-22 12:52:00,50.0,49.9,219,221
2023-01-22 12:54:00,49.6,49.6,220,221
2023-01-22 12:56:00,49.8,49.8,217,220
2023-01-22 12:58:00,49.7,49.9,219,221
2023-01-22 13:00:00,49.7,49.9,222,221
2023-01-22 13:02:00,49.8,50.1,216,218
2023-01-22 13:04:00,50.2,50.3,219,223
2023-01-22 13:06:00,50.5,50.4,219,219
2023-01-22 13:08:00,50.2,50.2,218,222
2023-01-22 13:10:00,50.3,50.1,219,219
2023-01-22 13:12:00,49.9,49.8,219,221
2023-01-22 13:14:00,49.5,49.3,216,218
2023-01-22 13:16:00,49.8,49.8,213,218
2023-01-22 13:18:00,49.6,49.7,216,219
2023-01-22 13:20:00,49.6,49.9,219,219
2023-01-22 13:22:00,49.9,50.0,217,220
2023-01-22 13:24:00,50.1,50.1,218,220
2023-01-22 13:26:00,49.8,50.0,214,218
2023-01-22 13:28:00,50.1,50.2,220,219
2023-01-22 13:30:00,50.4,50.2,219,219
2023-01-22 13:32:00,50.2,50.1,221,221
2023-01-22 13:34:00,49.9,49.7,219,218
2023-01-22 13:36:00,49.6,49.8,216,219
2023-01-22 13:38:00,50.0,50.0,217,215
2023-01-22 13:40:00,50.0,50.1,217,211
2023-01-22 13:42:00,50.3,50.4,220,219
2023-01-22 13:44:00,50.0,49.9,214,216
2023-01-22 13:46:00,49.7,49.7,219,219
2023-01-22 13:48:00,49.8,49.9,221,220
2023-01-22 13:50:00,50.1,50.1,217,218
2023-01-22 13:52:00,50.1,50.0,216,217
2023-01-22 13:54:00,50.0,50.1,216,215
2023-01-22 13:56:00,50.1,50.2,219,219
2023-01-22 13:58:00,50.1,50.0,216,216
2023-01-22 14:00:00,49.9,49.9,214,216
2023-01-22 14:02:00,49.6,49.5,218,214
2023-01-22 14:04:00,49.8,49.7,216,216
2023-01-22 14:06:00,49.9,50.0,217,217
2023-01-22 14:08:00,50.3,50.4,214,214
2023-01-22 14:10:00,50.0,50.0,216,216
2023-01-22 14:12:00,49.8,49.7,214,219
2023-01-22 14:14:00,50.0,49.8,216,214
2023-01-22 14:16:00,49.9,49.7,216,217
2023-01-22 14:18:00,50.1,49.9,218,220
2023-01-22 14:20:00,50.1,49.7,220,219
2023-01-22 14:22:00,49.9,49.8,219,223
2023-01-22 14:24:00,49.7,49.8,217,218
2023-01-22 14:26:00,50.0,50.1,222,221
2023-01-22 14:28:00,50.3,50.2,215,214
2023-01-22 14:30:00,50.1,50.1,221,220
2023-01-22 14:32:00,49.9,49.9,216,220
2023-01-22 14:34:00,50.0,50.0,218,219
2023-01-22 14:36:00,50.1,50.2,216,213
2023-01-22 14:38:00,50.1,50.2,215,217
2023-01-22 14:40:00,50.2,50.1,211,216
2023-01-22 14:42:00,50.2,50.0,218,213
2023-01-22 14:44:00,50.1,50.0,217,216
2023-01-22 14:46:00,50.2,50.0,215,214
2023-01-22 14:48:00,50.0,49.8,216,218
2023-01-22 14:50:00,50.2,49.9,218,214
2023-01-22 14:52:00,50.4,50.0,219,214
2023-01-22 14:54:00,49.7,49.8,218,216
2023-01-22 14:56:00,49.7,49.8,219,217
2023-01-22 14:58:00,50.0,50.1,219,216
2023-01-22 15:00:00,50.0,50.0,218,218
2023-01-22 15:02:00,49.8,49.8,219,215
2023-01-22 15:04:00,49.9,50.0,216,216
2023-01-22 15:06:00,50.2,50.1,219,214
2023-01-22 15:08:00,50.0,50.1,219,218
2023-01-22 15:10:00,50.0,50.0,219,218
2023-01-22 15:12:00,49.9,49.8,220,219
2023-01-22 15:14:00,50.2,50.2,219,220
2023-01-22 15:16:00,50.2,50.2,219,219
2023-01-22 15:18:00,50.0,50.0,216,214
2023-01-22 15:20:00,50.1,49.9,214,216
2023-01-22 15:22:00,49.9,49.7,220,219
2023-01-22 15:24:00,49.7,49.6,219,220
2023-01-22 15:26:00,49.6,49.6,220,219
2023-01-22 15:28:00,49.9,50.0,221,221
2023-01-22 15:30:00,50.2,50.1,218,220
2023-01-22 15:32:00,50.0,49.9,221,221
2023-01-22 15:34:00,50.1,50.2,223,216
2023-01-22 15:36:00,50.0,49.9,217,217
2023-01-22 15:38:00,50.0,49.8,219,217
2023-01-22 15:40:00,49.9,49.9,216,219
2023-01-22 15:42:00,50.2,50.1,215,212
2023-01-22 15:44:00,49.9,49.8,213,216
2023-01-22 15:46:00,49.7,49.7,216,218
2023-01-22 15:48:00,49.9,50.0,219,220
2023-01-22 15:50:00,49.9,49.9,222,218
2023-01-22 15:52:00,49.7,49.7,221,219
2023-01-22 15:54:00,49.8,50.0,216,214
2023-01-22 15:56:00,50.0,50.1,221,218
2023-01-22 15:58:00,50.2,50.1,214,216
2023-01-22 16:00:00,50.1,49.9,220,219
2023-01-22 16:02:00,49.4,49.4,219,219
2023-01-22 16:04:00,49.6,49.8,219,217
2023-01-22 16:06:00,49.5,49.5,221,221
2023-01-22 16:08:00,49.6,49.7,219,221
2023-01-22 16:10:00,49.6,49.4,218,216
2023-01-22 16:12:00,49.5,49.6,214,214
2023-01-22 16:14:00,49.5,49.7,216,213
2023-01-22 16:16:00,50.0,50.1,216,215
2023-01-22 16:18:00,49.8,49.9,218,221
2023-01-22 16:20:00,50.0,50.2,221,221
2023-01-22 16:22:00,50.3,50.2,221,220
2023-01-22 16:24:00,50.0,49.9,222,219
2023-01-22 16:26:00,50.0,50.1,219,220
2023-01-22 16:28:00,49.8,49.9,220,220
2023-01-22 16:30:00,50.0,50.0,222,221
2023-01-22 16:32:00,50.2,50.2,221,223
2023-01-22 16:34:00,50.0,49.9,221,221
2023-01-22 16:36:00,49.6,49.4,222,221
2023-01-22 16:38:00,49.6,49.5,223,222
2023-01-22 16:40:00,49.9,50.0,223,221
2023-01-22 16:42:00,50.2,50.1,214,214
2023-01-22 16:44:00,50.1,50.0,219,219
2023-01-22 16:46:00,49.8,49.6,220,217
2023-01-22 16:48:00,49.5,49.8,216,216
2023-01-22 16:50:00,49.7,49.8,218,219
