"Time","Frequency 3E2F4FD3 (Ch Cbca Bethesda Ndosho - laboratoire)","Frequency C30F2E03 (Ch Cbca Bethesda Ndosho - clinique)","Voltage 3E2F4FD3 (Ch Cbca Bethesda Ndosho - laboratoire)","Voltage C30F2E03 (Ch Cbca Bethesda Ndosho - clinique)"
2022-07-30 00:00:00,50.3,50.3,211,214
2022-07-30 00:02:00,50.3,50.3,211,214
2022-07-30 00:04:00,50.2,50.2,209,212
2022-07-30 00:06:00,50.3,50.3,209,212
2022-07-30 00:08:00,50.3,50.3,211,213
2022-07-30 00:10:00,50.2,50.3,213,216
2022-07-30 00:12:00,50.2,50.3,214,214
2022-07-30 00:14:00,50.2,50.2,215,217
2022-07-30 00:16:00,50.4,50.4,216,217
2022-07-30 00:18:00,50.2,50.2,214,217
2022-07-30 00:20:00,50.7,50.6,215,218
2022-07-30 00:22:00,50.0,50.1,215,218
2022-07-30 00:24:00,50.3,50.3,214,217
2022-07-30 00:26:00,50.4,50.3,214,217
2022-07-30 00:28:00,50.4,50.4,217,219
2022-07-30 00:30:00,50.7,50.7,217,219
2022-07-30 00:32:00,50.3,50.2,218,223
2022-07-30 00:34:00,50.2,50.1,215,218
2022-07-30 00:36:00,50.4,50.5,217,219
2022-07-30 00:38:00,50.3,50.4,218,220
2022-07-30 00:40:00,50.2,50.3,216,219
2022-07-30 00:42:00,50.4,50.4,216,219
2022-07-30 00:44:00,50.2,50.1,216,217
2022-07-30 00:46:00,50.5,50.4,214,218
2022-07-30 00:48:00,50.5,50.4,215,218
2022-07-30 00:50:00,50.3,50.3,217,219
2022-07-30 00:52:00,50.7,50.7,217,219
2022-07-30 00:54:00,50.0,50.0,215,217
2022-07-30 00:56:00,50.3,50.4,215,218
2022-07-30 00:58:00,50.5,50.5,216,219
2022-07-30 01:00:00,50.4,50.5,216,219
2022-07-30 01:02:00,50.7,50.6,216,219
2022-07-30 01:04:00,50.1,50.1,217,219
2022-07-30 01:06:00,50.5,50.5,217,219
2022-07-30 01:08:00,50.4,50.4,216,219
2022-07-30 01:10:00,50.4,50.4,216,219
2022-07-30 01:12:00,50.6,50.5,218,219
2022-07-30 01:14:00,50.3,50.3,217,219
2022-07-30 01:16:00,50.3,50.3,216,219
2022-07-30 01:18:00,50.1,50.1,217,219
2022-07-30 01:20:00,50.2,50.2,217,219
2022-07-30 01:22:00,50.5,50.5,216,219
2022-07-30 01:24:00,50.3,50.3,216,219
2022-07-30 01:26:00,50.4,50.4,218,219
2022-07-30 01:28:00,50.4,50.4,217,219
2022-07-30 01:30:00,50.6,50.6,217,219
2022-07-30 01:32:00,50.4,50.4,216,219
2022-07-30 01:34:00,50.0,50.0,217,219
2022-07-30 01:36:00,50.5,50.5,216,219
2022-07-30 01:38:00,50.4,50.4,216,219
2022-07-30 01:40:00,50.4,50.4,219,221
2022-07-30 01:42:00,50.4,50.4,219,221
2022-07-30 01:44:00,50.3,50.4,216,219
2022-07-30 01:46:00,50.5,50.4,217,219
2022-07-30 01:48:00,50.4,50.4,218,219
2022-07-30 01:50:00,50.3,50.3,216,219
2022-07-30 01:52:00,50.7,50.7,217,220
2022-07-30 01:54:00,50.4,50.2,221,219
2022-07-30 01:56:00,50.3,50.3,219,221
2022-07-30 01:58:00,50.4,50.4,216,219
2022-07-30 02:00:00,50.8,50.7,216,219
2022-07-30 02:02:00,50.2,50.2,218,220
2022-07-30 02:04:00,50.7,50.7,219,221
2022-07-30 02:06:00,50.5,50.5,217,220
2022-07-30 02:08:00,50.4,50.4,219,220
2022-07-30 02:10:00,50.3,50.3,217,219
2022-07-30 02:12:00,50.2,50.2,216,219
2022-07-30 02:14:00,50.4,50.4,216,219
2022-07-30 02:16:00,50.2,50.3,217,219
2022-07-30 02:18:00,50.4,50.4,219,220
2022-07-30 02:20:00,50.2,50.3,216,219
2022-07-30 02:22:00,50.5,50.5,216,219
2022-07-30 02:24:00,50.5,50.5,218,220
2022-07-30 02:26:00,50.4,50.4,217,219
2022-07-30 02:28:00,50.6,50.7,217,220
2022-07-30 02:30:00,50.3,50.3,219,221
2022-07-30 02:32:00,50.4,50.4,219,221
2022-07-30 02:34:00,50.5,50.4,218,220
2022-07-30 02:36:00,50.6,50.7,218,221
2022-07-30 02:38:00,50.3,50.4,219,221
2022-07-30 02:40:00,50.4,50.4,219,221
2022-07-30 02:42:00,50.5,50.4,218,221
2022-07-30 02:44:00,50.4,50.3,220,221
2022-07-30 02:46:00,50.7,50.7,221,222
2022-07-30 02:48:00,50.2,50.2,219,221
2022-07-30 02:50:00,50.4,50.4,219,221
2022-07-30 02:52:00,50.3,50.3,219,221
2022-07-30 02:54:00,50.3,50.3,218,220
2022-07-30 02:56:00,50.3,50.3,216,219
2022-07-30 02:58:00,50.3,50.3,216,219
2022-07-30 03:00:00,50.3,50.4,218,220
2022-07-30 03:02:00,50.3,50.2,217,219
2022-07-30 03:04:00,50.2,50.2,216,218
2022-07-30 03:06:00,50.6,50.5,219,220
2022-07-30 03:08:00,50.3,50.3,218,220
2022-07-30 03:10:00,49.9,50.0,216,218
2022-07-30 03:12:00,50.5,50.5,216,218
2022-07-30 03:14:00,50.3,50.3,219,220
2022-07-30 03:16:00,50.2,50.2,219,221
2022-07-30 03:18:00,50.4,50.4,217,219
2022-07-30 03:20:00,50.4,50.4,217,219
2022-07-30 03:22:00,50.4,50.4,219,221
2022-07-30 03:24:00,50.4,50.3,217,219
2022-07-30 03:26:00,50.6,50.6,216,219
2022-07-30 03:28:00,50.0,50.0,216,219
2022-07-30 03:30:00,50.3,50.3,217,219
2022-07-30 03:32:00,50.3,50.3,216,219
2022-07-30 03:34:00,50.3,50.3,216,219
2022-07-30 03:36:00,50.3,50.3,217,219
2022-07-30 03:38:00,50.1,50.2,216,220
2022-07-30 03:40:00,50.4,50.4,216,219
2022-07-30 03:42:00,50.5,50.4,218,221
2022-07-30 03:44:00,50.3,50.4,219,221
2022-07-30 03:46:00,50.3,50.3,217,220
2022-07-30 03:48:00,50.1,50.1,216,219
2022-07-30 03:50:00,50.4,50.4,216,219
2022-07-30 03:52:00,50.8,50.8,219,221
2022-07-30 03:54:00,50.2,50.2,217,220
