Facility,Period,Voltage (% in +/- 10% of 230V)_x,Frequency (% in +/- 5% of 50Hz)_x,SAIDI,SAIFI,Quality Score,Reliability Score,PQR Score,Voltage (% in +/- 10% of 230V)_y,Voltage (% > 10% of 230V),Voltage (% < 10% of 230V),Voltage (% > 20% of 230V),Voltage (% < 20% of 230V),Frequency (% in +/- 5% of 50Hz)_y,Frequency (% > 5% of 50Hz),Frequency (% < 5% of 50Hz),Frequency (% > 15% of 50Hz),Frequency (% < 15% of 50Hz),Average outage duration,# of outages in the month that were >2 hours,# of days in the month with an outage of at least 2 hours,# of outages in the month that were >8 hours,# of days in the month with an outage of at least 8 hours,Average # of outages per day,# of days in the month with at least one outage,# of days in the month with >=3 outages
CUG Butembo,2024-04-01,0.8681,0.9794,0.0,0.8478,0.9238,1.0,0.9619,86.81,0.25,12.93,0.0,2.27,97.94,0.01,0.69,0.01,0.22,0.56,0.0,0.0,0.0,0.0,0.47,9.0,1.0
CUG Butembo,2024-05-01,0.8335,0.9388,0.0,0.3542,0.8862,1.0,0.9431,83.35,0.01,16.64,0.0,1.59,93.88,0.02,5.3,0.02,1.54,0.39,0.0,0.0,0.0,0.0,0.52,13.0,1.0
CUG Butembo,2024-06-01,0.749,0.9287,0.0,1.0693,0.8388,1.0,0.9194,74.9,0.19,24.9,0.0,4.18,92.87,0.03,3.43,0.03,2.81,5.64,7.0,6.0,6.0,6.0,0.92,12.0,2.0
CUG Butembo,2024-07-01,0.7047,0.8248,0.0,0.0,0.7648,1.0,0.8824,70.47,0.0,29.53,0.0,13.99,82.48,0.04,5.27,0.04,3.88,19.42,29.0,28.0,28.0,28.0,8.75,28.0,1.0
CUG Butembo,2024-08-01,0.8734,0.8941,0.0022,0.2414,0.8838,1.0,0.9419,87.34,0.03,12.63,0.02,1.51,89.41,0.02,9.4,0.01,3.61,0.89,1.0,1.0,1.0,1.0,1.07,19.0,3.0
CUG Butembo,2024-09-01,0.948,0.9192,0.0,0.3846,0.9336,1.0,0.9668,94.8,0.01,5.19,0.0,3.14,91.92,0.01,4.96,0.01,2.11,0.91,3.0,1.0,1.0,1.0,1.43,16.0,5.0
CUG Butembo,2024-10-01,0.9566,0.9602,0.0,0.6786,0.9584,1.0,0.9792,95.66,0.0,4.34,0.0,0.13,96.02,0.0,3.89,0.0,0.48,0.17,0.0,0.0,0.0,0.0,0.13,2.0,0.0
HGR Beni,2022-06-01,0.9642,0.9985,0.0235,0.6198,0.9814,0.9991,0.9903,96.42,0.0,3.58,0.0,0.14,99.85,0.0,0.0,0.0,0.0,,,,,,,,
HGR Beni,2022-07-01,0.9878,0.9924,0.0256,0.2727,0.9901,0.9997,0.9949,98.78,0.03,1.19,0.0,0.65,99.24,0.08,0.0,0.08,0.0,,,,,,,,
HGR Beni,2022-08-01,0.9967,0.994,0.0281,0.8682,0.9954,0.9994,0.9974,99.67,0.0,0.33,0.0,0.2,99.4,0.24,0.0,0.24,0.0,,,,,,,,
HGR Beni,2022-09-01,0.9967,0.9962,0.03,0.5848,0.9964,0.9983,0.9974,99.67,0.0,0.33,0.0,0.32,99.62,0.06,0.0,0.06,0.0,,,,,,,,
HGR Beni,2022-10-01,0.9978,0.9971,0.0298,0.6003,0.9974,0.9984,0.9979,99.78,0.0,0.22,0.0,0.17,99.71,0.06,0.0,0.06,0.0,,,,,,,,
HGR Beni,2022-11-01,0.9976,0.9953,0.0258,0.8653,0.9964,0.9983,0.9973,99.76,0.0,0.24,0.0,0.2,99.53,0.17,0.0,0.15,0.0,,,,,,,,
HGR Beni,2022-12-01,0.9955,0.996,0.0471,0.6277,0.9958,0.9977,0.9967,99.55,0.0,0.45,0.0,0.37,99.6,0.04,0.0,0.02,0.0,,,,,,,,
HGR Beni,2023-01-01,0.9909,0.9954,0.0779,0.6609,0.9932,0.9978,0.9955,99.09,0.0,0.91,0.0,0.35,99.54,0.08,0.0,0.08,0.0,,,,,,,,
HGR Beni,2023-02-01,0.9899,0.9962,0.0759,1.2085,0.993,0.9967,0.9948,98.99,0.12,0.89,0.0,0.38,99.62,0.0,0.0,0.0,0.0,,,,,,,,
HGR Beni,2023-03-01,0.9905,0.9977,0.046,0.629,0.9941,0.9985,0.9963,99.05,0.09,0.86,0.0,0.23,99.77,0.0,0.0,0.0,0.0,,,,,,,,
HGR Beni,2023-04-01,0.8729,0.8893,0.0005,0.5556,0.8811,1.0,0.9405,87.29,0.0,12.71,0.0,11.05,88.93,0.02,0.0,0.02,0.0,,,,,,,,
HGR Beni,2023-05-01,0.1733,0.1683,0.0,0.2963,0.1708,1.0,0.5854,17.33,0.0,82.67,0.0,82.67,16.83,0.0,0.0,0.0,0.0,,,,,,,,
HGR Beni,2023-06-01,0.9894,0.9954,0.0329,0.59,0.9924,0.9999,0.9961,98.94,0.04,1.02,0.0,0.43,99.54,0.05,0.0,0.05,0.0,,,,,,,,
HGR Beni,2023-07-01,0.9516,0.9713,0.0498,0.6637,0.9614,0.9985,0.9799,95.16,0.07,4.77,0.0,2.83,97.13,0.03,0.0,0.02,0.0,,,,,,,,
HGR Beni,2023-08-01,0.7443,0.9895,0.0055,0.3913,0.8669,0.9999,0.9334,74.43,0.0,25.57,0.0,1.02,98.95,0.01,0.0,0.01,0.0,,,,,,,,
HGR Beni,2023-09-01,0.7772,0.9629,0.0293,0.5213,0.87,0.9987,0.9344,77.72,0.01,22.27,0.0,3.8,96.29,0.01,0.01,0.01,0.0,,,,,,,,
HGR Beni,2023-10-01,0.7453,0.7556,0.0316,0.4545,0.7505,0.9999,0.8752,74.53,0.0,25.47,0.0,4.87,75.56,19.95,0.0,0.12,0.0,,,,,,,,
HGR Beni,2023-11-01,0.7403,0.9401,0.0253,0.3186,0.8402,0.9996,0.9199,74.03,0.0,25.97,0.0,5.99,94.01,0.0,0.0,0.0,0.0,,,,,,,,
HGR Beni,2023-12-01,0.6437,0.9875,0.0199,0.0909,0.8156,1.0,0.9078,64.37,0.0,35.63,0.0,1.25,98.75,0.0,0.0,0.0,0.0,,,,,,,,
HGR Beni,2024-01-01,0.5826,0.9809,0.0,0.2342,0.7817,1.0,0.8908,58.26,0.0,41.74,0.0,1.91,98.09,0.0,0.0,0.0,0.0,,,,,,,,
HGR Beni,2024-02-01,0.6459,0.9126,0.0226,0.35,0.7792,0.9992,0.8892,64.59,0.0,35.41,0.0,8.73,91.26,0.01,0.0,0.01,0.0,,,,,,,,
HGR Beni,2024-03-01,0.6319,0.9289,0.0034,0.5263,0.7804,0.9998,0.8901,63.19,0.0,36.81,0.0,7.18,92.89,0.01,0.0,0.0,0.0,,,,,,,,
HGR Beni,2024-04-01,0.7389,0.9333,0.0284,1.1223,0.8361,0.9964,0.9163,73.89,0.0,26.11,0.0,6.7,93.33,0.0,0.0,0.0,0.0,,,,,,,,
HGR Beni,2024-05-01,0.8597,0.93,0.0,0.7397,0.8948,1.0,0.9474,85.97,0.0,14.03,0.0,6.99,93.0,0.01,0.0,0.01,0.0,,,,,,,,
HGR Beni,2024-06-01,0.9015,0.9575,0.0,0.75,0.9295,1.0,0.9648,90.15,0.0,9.85,0.0,4.23,95.75,0.02,0.0,0.02,0.0,,,,,,,,
HGR Beni,2024-07-01,0.8643,0.9289,0.0015,0.7421,0.8966,1.0,0.9483,86.43,0.0,13.57,0.0,7.09,92.89,0.01,0.0,0.01,0.0,,,,,,,,
HGR Beni,2024-08-01,0.8616,0.9309,0.0,0.683,0.8962,1.0,0.9481,86.16,0.0,13.84,0.0,6.91,93.09,0.19,0.12,0.17,0.09,,,,,,,,
HGR Beni,2024-09-01,0.7676,0.9082,0.0,0.3343,0.8379,1.0,0.919,76.76,0.0,23.24,0.0,9.18,90.82,0.05,0.01,0.05,0.01,,,,,,,,
HGR Beni,2024-10-01,0.5137,0.9781,0.0,0.0,0.7459,1.0,0.873,51.37,0.0,48.63,0.0,2.19,97.81,0.0,0.0,0.0,0.0,,,,,,,,
HGR Katwa,2022-06-01,0.6583,0.9483,0.1192,0.3337,0.8033,0.9991,0.9012,65.83,0.0,34.17,0.0,1.83,94.83,4.49,0.01,0.17,0.01,0.33,0.0,0.0,0.0,0.0,0.45,3.0,0.0
HGR Katwa,2022-07-01,0.6278,0.8699,0.1829,0.76,0.7488,0.9824,0.8656,62.78,0.0,37.22,0.0,1.76,86.99,11.61,0.0,0.09,0.0,0.32,0.0,0.0,0.0,0.0,0.58,14.0,0.0
HGR Katwa,2022-08-01,0.7003,0.9279,0.0691,0.4231,0.8141,0.999,0.9066,70.03,0.0,29.97,0.0,0.77,92.79,6.89,0.0,0.0,0.0,0.22,0.0,0.0,0.0,0.0,0.29,7.0,0.0
HGR Katwa,2022-09-01,0.5733,0.9489,0.1094,0.3333,0.7611,0.9996,0.8804,57.33,0.0,42.67,0.0,2.25,94.89,4.65,0.0,0.03,0.0,0.44,0.0,0.0,0.0,0.0,0.2,5.0,0.0
HGR Katwa,2022-10-01,0.7403,0.9398,0.083,1.1257,0.84,0.9981,0.919,74.03,0.0,25.97,0.0,0.68,93.98,5.54,0.0,0.04,0.0,0.23,0.0,0.0,0.0,0.0,0.42,11.0,1.0
HGR Katwa,2022-11-01,0.7441,0.9396,0.0958,0.8213,0.8418,0.9928,0.9173,74.41,0.0,25.59,0.0,0.68,93.96,5.56,0.0,0.1,0.0,0.19,0.0,0.0,0.0,0.0,0.47,11.0,1.0
HGR Katwa,2022-12-01,0.7492,0.9641,0.0903,0.8198,0.8566,0.9914,0.924,74.92,0.01,25.07,0.01,0.41,96.41,3.03,0.0,0.05,0.0,0.21,0.0,0.0,0.0,0.0,0.26,7.0,0.0
HGR Katwa,2023-01-01,0.5873,0.9666,0.1455,0.9868,0.777,0.9927,0.8848,58.73,0.0,41.27,0.0,0.91,96.66,2.61,0.02,0.03,0.0,0.26,0.0,0.0,0.0,0.0,0.42,11.0,0.0
HGR Katwa,2023-02-01,0.651,0.9436,0.2509,1.0013,0.7973,0.9739,0.8856,65.1,0.0,34.9,0.0,1.52,94.36,4.34,0.0,0.13,0.0,0.22,0.0,0.0,0.0,0.0,0.96,16.0,3.0
HGR Katwa,2023-03-01,0.723,0.9322,0.0826,0.7017,0.8276,0.9981,0.9128,72.3,0.01,27.69,0.0,1.52,93.22,5.4,0.76,0.05,0.0,0.35,0.0,0.0,0.0,0.0,0.42,12.0,0.0
HGR Katwa,2023-04-01,0.6644,0.902,0.1037,0.6493,0.7832,0.9977,0.8904,66.44,0.0,33.56,0.0,7.43,90.2,1.14,8.16,0.09,0.03,0.28,0.0,0.0,0.0,0.0,0.4,9.0,1.0
HGR Katwa,2023-05-01,0.632,0.954,0.1049,0.6564,0.793,0.996,0.8945,63.2,0.0,36.8,0.0,2.56,95.4,1.25,2.71,0.03,0.0,0.39,0.0,0.0,0.0,0.0,0.35,11.0,0.0
HGR Katwa,2023-06-01,0.7864,0.9081,0.1588,0.9527,0.8472,0.9891,0.9181,78.64,0.52,20.83,0.02,1.67,90.81,7.45,0.96,0.01,0.02,0.38,0.0,0.0,0.0,0.0,0.6,10.0,1.0
HGR Katwa,2023-07-01,0.9038,0.8287,0.1422,0.5519,0.8662,0.9926,0.9294,90.38,1.69,7.93,0.0,0.89,82.87,14.72,1.25,0.48,0.17,0.27,0.0,0.0,0.0,0.0,0.45,10.0,1.0
HGR Katwa,2023-08-01,0.6563,0.9411,0.0568,0.5525,0.7987,0.9974,0.898,65.63,0.34,34.02,0.0,0.61,94.11,5.12,0.25,0.17,0.03,0.25,0.0,0.0,0.0,0.0,0.19,6.0,0.0
HGR Katwa,2023-09-01,0.6924,0.9688,0.0608,0.5833,0.8306,0.9976,0.9141,69.24,0.06,30.7,0.0,0.54,96.88,2.73,0.13,0.09,0.01,0.19,0.0,0.0,0.0,0.0,0.5,11.0,2.0
HGR Katwa,2023-10-01,0.8093,0.9841,0.0964,0.8893,0.8967,0.9975,0.9471,80.93,0.3,18.76,0.0,0.46,98.41,1.04,0.04,0.02,0.0,0.22,0.0,0.0,0.0,0.0,0.52,11.0,1.0
HGR Katwa,2023-11-01,0.8299,0.994,0.0379,0.4783,0.912,0.9986,0.9553,82.99,0.05,16.97,0.0,0.19,99.4,0.31,0.01,0.03,0.0,0.17,0.0,0.0,0.0,0.0,0.07,1.0,0.0
HGR Katwa,2023-12-01,0.8244,0.9976,0.0518,0.4444,0.911,0.9997,0.9554,82.44,0.0,17.56,0.0,0.25,99.76,0.0,0.01,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.16,5.0,0.0
HGR Katwa,2024-01-01,0.8309,0.9966,0.0454,0.125,0.9138,0.9992,0.9565,83.09,0.02,16.89,0.0,0.2,99.66,0.07,0.0,0.03,0.0,0.19,0.0,0.0,0.0,0.0,0.26,7.0,0.0
HGR Katwa,2024-02-01,0.7495,0.9804,0.0706,1.0691,0.865,0.9966,0.9308,74.95,0.0,25.05,0.0,1.84,98.04,0.22,1.32,0.19,0.01,0.3,0.0,0.0,0.0,0.0,0.17,4.0,0.0
HGR Katwa,2024-03-01,0.7016,0.9979,0.0404,0.7394,0.8498,0.9994,0.9246,70.16,0.04,29.8,0.0,0.42,99.79,0.01,0.0,0.01,0.0,0.17,0.0,0.0,0.0,0.0,0.13,3.0,0.0
HGR Katwa,2024-04-01,0.6734,0.8985,0.0993,0.7607,0.7859,0.9987,0.8923,67.34,0.23,32.43,0.0,5.54,89.85,4.59,5.12,0.06,0.88,0.33,0.0,0.0,0.0,0.0,0.27,6.0,0.0
HGR Katwa,2024-05-01,0.874,0.8849,0.0994,1.0548,0.8794,0.9946,0.937,87.4,0.02,12.58,0.0,0.43,88.49,10.83,0.0,0.08,0.0,0.45,0.0,0.0,0.0,0.0,0.23,7.0,0.0
HGR Katwa,2024-06-01,0.8584,0.9697,0.0288,0.9659,0.914,0.9976,0.9558,85.84,0.01,14.15,0.0,0.13,96.97,2.8,0.0,0.03,0.0,0.19,0.0,0.0,0.0,0.0,0.2,6.0,0.0
HGR Katwa,2024-07-01,0.7864,0.9042,0.1075,0.926,0.8453,0.9957,0.9205,78.64,0.15,21.21,0.0,0.52,90.42,9.03,0.01,0.02,0.0,0.2,0.0,0.0,0.0,0.0,0.55,10.0,2.0
HGR Katwa,2024-08-01,0.6824,0.9045,0.1321,0.7989,0.7934,0.9965,0.895,68.24,0.0,31.76,0.0,0.92,90.45,8.76,0.15,0.01,0.0,0.26,0.0,0.0,0.0,0.0,0.48,11.0,1.0
HGR Katwa,2024-09-01,0.7561,0.9212,0.1177,0.68,0.8386,0.997,0.9178,75.61,0.0,24.39,0.0,0.57,92.12,7.25,0.01,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.53,11.0,0.0
HGR Katwa,2024-10-01,0.7731,0.9554,0.0472,1.5833,0.8642,0.9978,0.931,77.31,0.0,22.69,0.0,0.27,95.54,4.17,0.0,0.0,0.0,0.29,0.0,0.0,0.0,0.0,0.27,4.0,0.0
HGR Kirotshe,2022-06-01,0.7623,0.8163,1.0856,0.9079,0.7893,0.9973,0.8933,76.75,0.19,23.06,0.01,18.24,80.75,5.09,0.03,4.86,0.0,0.46,2.0,2.0,0.0,0.0,4.36,22.0,13.0
HGR Kirotshe,2022-07-01,0.787,0.8395,1.4465,0.7505,0.8132,0.9479,0.8805,78.95,0.08,20.97,0.01,13.14,82.93,7.29,0.0,7.27,0.0,0.37,1.0,1.0,0.0,0.0,4.45,25.0,18.0
HGR Kirotshe,2022-08-01,0.608,0.7515,1.8269,0.9586,0.6798,0.9261,0.8029,62.36,0.02,37.62,0.01,25.98,73.81,4.22,0.33,4.21,0.0,0.52,5.0,4.0,0.0,0.0,7.48,31.0,27.0
HGR Kirotshe,2022-09-01,0.724,0.7549,1.1863,0.8658,0.7394,0.939,0.8392,73.14,0.04,26.82,0.0,19.41,74.95,4.12,3.27,4.12,0.0,0.78,6.0,6.0,1.0,1.0,4.57,28.0,18.0
HGR Kirotshe,2022-10-01,0.7574,0.7594,0.0,0.407,0.7584,1.0,0.8792,75.74,0.0,24.26,0.0,21.04,75.94,2.85,0.22,2.85,0.0,2.82,15.0,11.0,10.0,10.0,4.04,28.0,13.0
HGR Kirotshe,2022-11-01,0.6721,0.69,0.0,0.4706,0.681,1.0,0.8405,67.21,0.0,32.79,0.0,25.94,69.0,4.57,0.64,4.55,0.0,3.15,21.0,20.0,12.0,11.0,4.38,29.0,16.0
HGR Kirotshe,2023-03-01,0.9673,1.0,0.0,,0.9836,,0.9836,96.73,0.0,3.27,0.0,0.0,100.0,0.0,0.0,0.0,0.0,23.75,30.0,30.0,30.0,30.0,30.0,30.0,0.0
HGR Kirotshe,2023-04-01,0.9697,0.9892,0.0,0.9076,0.9794,1.0,0.9897,96.97,0.0,3.03,0.0,0.83,98.92,0.06,0.16,0.05,0.0,0.43,0.0,0.0,0.0,0.0,0.17,3.0,1.0
HGR Kirotshe,2023-05-01,0.9333,0.9524,0.0,0.6463,0.9428,1.0,0.9714,93.33,0.0,6.67,0.0,4.42,95.24,0.14,0.21,0.14,0.0,1.9,2.0,2.0,1.0,1.0,0.39,5.0,2.0
HGR Kirotshe,2023-06-01,0.9015,0.9223,0.0,0.6858,0.9119,1.0,0.956,90.15,0.0,9.85,0.0,8.22,92.23,0.55,0.13,0.55,0.0,2.03,4.0,4.0,1.0,1.0,0.6,8.0,3.0
HGR Kirotshe,2023-07-01,0.9663,0.9728,0.0,0.6126,0.9696,1.0,0.9848,96.63,0.0,3.37,0.0,2.64,97.28,0.17,0.05,0.17,0.0,1.45,2.0,2.0,0.0,0.0,0.32,6.0,0.0
HGR Kirotshe,2023-08-01,0.9298,0.9534,0.0,0.119,0.9416,1.0,0.9708,92.98,0.0,7.02,0.0,3.53,95.34,1.24,0.0,1.23,0.0,0.64,1.0,1.0,0.0,0.0,0.55,10.0,1.0
HGR Kirotshe,2023-09-01,0.8113,0.8509,0.0,0.74,0.8311,1.0,0.9156,81.13,0.0,18.87,0.0,12.83,85.09,2.43,0.01,2.42,0.0,2.2,6.0,6.0,3.0,3.0,1.07,12.0,5.0
HGR Kirotshe,2023-10-01,0.9229,0.9969,0.0,0.4617,0.9599,1.0,0.98,92.29,0.0,7.71,0.0,0.09,99.69,0.17,0.0,0.17,0.0,3.83,1.0,1.0,0.0,0.0,0.03,1.0,0.0
HGR Kirotshe,2023-11-01,0.8825,0.9961,0.0,1.1,0.9393,1.0,0.9696,88.25,0.0,11.75,0.0,0.17,99.61,0.29,0.0,0.29,0.0,,,,,,,,
HGR Kirotshe,2023-12-01,0.8886,0.978,0.0,0.2975,0.9333,1.0,0.9666,88.86,0.0,11.14,0.0,1.86,97.8,0.26,0.0,0.26,0.0,4.1,2.0,2.0,1.0,1.0,0.16,4.0,0.0
HGR Kirotshe,2024-01-01,0.7276,0.9913,0.0,0.2609,0.8594,1.0,0.9297,72.76,0.0,27.24,0.0,0.69,99.13,0.26,0.0,0.26,0.0,,,,,,,,
HGR Kirotshe,2024-02-01,0.974,0.9902,0.0,0.55,0.9821,1.0,0.991,97.4,0.0,2.6,0.0,0.48,99.02,0.35,0.0,0.35,0.0,,,,,,,,
HGR Kirotshe,2024-03-01,0.9988,0.992,0.0,0.3818,0.9954,1.0,0.9977,99.88,0.0,0.12,0.0,0.0,99.2,0.56,0.0,0.56,0.0,,,,,,,,
HGR Kirotshe,2024-04-01,0.9998,0.9927,0.0,0.4118,0.9962,1.0,0.9981,99.98,0.0,0.02,0.0,0.0,99.27,0.52,0.0,0.52,0.0,,,,,,,,
HGR Kirotshe,2024-05-01,0.9999,0.9927,0.0,2.1111,0.9963,1.0,0.9982,99.99,0.0,0.01,0.0,0.0,99.27,0.53,0.0,0.53,0.0,,,,,,,,
HGR Kirotshe,2024-07-01,1.0,1.0,0.0,1.4014,1.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,,,,,,,,
HGR Kirotshe,2024-08-01,1.0,1.0,0.0,0.2965,1.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,,,,,,,,
HGR Kitatumba,2022-06-01,0.4579,0.7141,0.1555,0.2222,0.586,0.9978,0.7919,46.91,0.0,53.09,0.0,5.79,70.69,0.05,28.58,0.05,0.94,0.26,0.0,0.0,0.0,0.0,0.64,7.0,0.0
HGR Kitatumba,2022-07-01,0.4632,0.8355,0.1569,0.6483,0.6494,0.9953,0.8223,46.99,0.0,53.01,0.0,10.38,83.07,0.18,15.68,0.18,0.76,0.25,0.0,0.0,0.0,0.0,0.55,12.0,1.0
HGR Kitatumba,2022-08-01,0.359,0.9158,0.1487,0.4288,0.6374,0.997,0.8172,36.18,0.0,63.82,0.0,23.66,90.27,0.04,8.92,0.04,0.92,0.31,0.0,0.0,0.0,0.0,0.42,12.0,0.0
HGR Kitatumba,2022-09-01,0.2781,0.8983,0.1589,0.7439,0.5882,0.9958,0.792,28.72,0.0,71.28,0.0,33.32,88.46,0.04,6.63,0.04,0.04,0.29,0.0,0.0,0.0,0.0,0.47,11.0,1.0
HGR Kitatumba,2022-10-01,0.3517,0.8951,0.1401,0.2692,0.6234,0.9992,0.8113,36.02,0.0,63.98,0.0,21.36,86.92,0.32,8.85,0.25,0.9,0.29,0.0,0.0,0.0,0.0,0.39,8.0,1.0
HGR Kitatumba,2022-11-01,0.3803,0.8441,0.1214,0.7836,0.6122,0.991,0.8016,40.95,0.01,59.04,0.0,19.58,76.66,0.07,11.04,0.07,0.18,0.2,0.0,0.0,0.0,0.0,0.6,12.0,2.0
HGR Kitatumba,2022-12-01,0.3339,0.879,0.1013,0.4445,0.6064,0.999,0.8027,38.92,0.0,61.08,0.0,20.02,79.61,0.07,7.94,0.05,0.95,0.21,0.0,0.0,0.0,0.0,0.68,14.0,2.0
HGR Kitatumba,2023-01-01,0.3589,0.7873,0.2848,0.7407,0.5731,0.9843,0.7787,35.67,0.0,64.33,0.0,14.73,78.95,1.02,18.54,0.95,1.36,0.28,0.0,0.0,0.0,0.0,0.87,18.0,1.0
HGR Kitatumba,2023-02-01,0.3847,0.6559,0.2516,0.8244,0.5203,0.9853,0.7528,39.59,0.0,60.41,0.0,11.66,65.22,1.85,30.66,1.84,0.13,0.24,0.0,0.0,0.0,0.0,0.89,19.0,0.0
HGR Kitatumba,2023-03-01,0.3304,0.8471,0.0846,0.4842,0.5888,0.9972,0.793,33.52,0.0,66.48,0.0,19.95,84.21,1.01,9.82,0.95,1.67,0.47,1.0,1.0,0.0,0.0,1.39,14.0,2.0
HGR Kitatumba,2023-04-01,0.364,0.7528,0.0995,1.001,0.5584,0.995,0.7767,41.4,0.1,58.51,0.01,20.57,70.65,0.21,16.37,0.21,1.19,0.31,0.0,0.0,0.0,0.0,2.97,16.0,8.0
HGR Kitatumba,2023-05-01,0.4607,0.9204,0.0863,0.8795,0.6906,0.998,0.8443,46.07,0.0,53.93,0.0,5.66,92.04,0.03,7.26,0.03,0.91,0.42,0.0,0.0,0.0,0.0,0.35,10.0,0.0
HGR Kitatumba,2023-06-01,0.4479,0.7977,0.0721,0.1429,0.6228,0.9989,0.8108,44.79,0.0,55.21,0.0,12.6,79.77,0.08,11.12,0.07,1.43,7.08,18.0,15.0,15.0,15.0,3.0,25.0,2.0
HGR Kitatumba,2023-07-01,0.5424,0.6356,0.0262,0.3,0.589,0.9991,0.7941,54.24,0.2,45.56,0.13,8.28,63.56,0.09,34.95,0.04,6.57,0.28,0.0,0.0,0.0,0.0,0.61,16.0,1.0
HGR Kitatumba,2023-08-01,0.4126,0.9067,0.0853,0.7314,0.6596,0.9988,0.8292,41.26,0.8,57.94,0.17,15.49,90.67,0.24,7.74,0.23,2.37,0.23,0.0,0.0,0.0,0.0,0.26,6.0,0.0
HGR Kitatumba,2023-09-01,0.5265,0.9445,0.1049,0.5906,0.7355,0.9976,0.8666,52.65,1.09,46.26,0.71,3.31,94.45,0.13,4.55,0.13,3.66,0.41,0.0,0.0,0.0,0.0,0.43,10.0,0.0
HGR Kitatumba,2023-10-01,0.4709,0.9343,0.0704,0.8847,0.7026,0.9983,0.8504,47.09,0.04,52.88,0.0,4.91,93.43,0.18,5.74,0.12,2.15,0.3,0.0,0.0,0.0,0.0,0.32,9.0,0.0
HGR Kitatumba,2023-11-01,0.3513,0.9336,0.0465,1.3794,0.6424,0.9939,0.8181,35.13,0.0,64.87,0.0,9.65,93.36,0.42,5.63,0.4,0.75,0.21,0.0,0.0,0.0,0.0,0.23,7.0,0.0
HGR Kitatumba,2023-12-01,0.4008,0.9415,0.0485,0.3043,0.6712,0.999,0.8351,40.08,0.06,59.85,0.04,5.12,94.15,0.17,5.25,0.16,0.43,0.22,0.0,0.0,0.0,0.0,0.32,9.0,0.0
HGR Kitatumba,2024-01-01,0.4159,0.9629,0.1344,1.1046,0.6894,0.989,0.8392,41.59,0.0,58.41,0.0,5.33,96.29,0.11,2.84,0.11,0.1,0.42,0.0,0.0,0.0,0.0,0.35,11.0,0.0
HGR Kitatumba,2024-02-01,0.3402,0.8225,0.1793,1.75,0.5814,0.9685,0.775,35.0,0.0,65.0,0.0,18.34,79.91,0.13,6.65,0.13,1.52,4.03,10.0,10.0,8.0,8.0,2.89,20.0,5.0
HGR Kyondo,2022-06-01,0.9674,0.7076,0.1007,0.8,0.8375,0.995,0.9162,96.74,0.0,3.26,0.0,2.35,70.76,23.79,5.01,0.0,4.67,,,,,,,,
HGR Kyondo,2022-07-01,0.9822,0.9612,0.272,0.8852,0.9717,0.9888,0.9803,98.22,0.0,1.78,0.0,1.64,96.12,1.83,0.58,0.0,0.46,,,,,,,,
HGR Kyondo,2022-08-01,0.9799,0.963,0.1837,1.0169,0.9714,0.991,0.9812,97.99,0.0,2.01,0.0,1.33,96.3,0.25,2.53,0.02,1.99,,,,,,,,
HGR Kyondo,2022-09-01,0.966,0.9206,0.2349,1.516,0.9433,0.9764,0.9599,96.6,0.03,3.37,0.0,1.77,92.06,0.66,6.03,0.02,4.39,2.0,0.0,0.0,0.0,0.0,0.03,1.0,0.0
HGR Kyondo,2022-10-01,0.9851,0.9664,0.2124,0.8613,0.9758,0.9907,0.9833,98.51,0.01,1.48,0.0,1.16,96.64,0.49,1.94,0.0,1.09,,,,,,,,
HGR Kyondo,2022-11-01,0.9846,0.9714,0.1547,1.4,0.978,0.9849,0.9815,98.46,0.22,1.32,0.0,0.89,97.14,0.37,1.78,0.0,1.35,10.25,1.0,1.0,1.0,1.0,0.07,2.0,0.0
HGR Kyondo,2022-12-01,0.9912,0.9752,0.1064,0.5085,0.9832,0.9982,0.9907,99.12,0.0,0.88,0.0,0.49,97.52,0.26,1.75,0.0,1.11,,,,,,,,
HGR Kyondo,2023-01-01,0.9935,0.9885,0.0687,1.037,0.991,0.9966,0.9938,99.35,0.0,0.65,0.0,0.52,98.85,0.09,0.56,0.03,0.3,0.5,0.0,0.0,0.0,0.0,0.03,1.0,0.0
HGR Kyondo,2023-02-01,0.9906,0.9795,0.1037,1.1828,0.985,0.9987,0.9918,99.06,0.0,0.94,0.0,0.82,97.95,0.11,1.14,0.0,0.52,,,,,,,,
HGR Kyondo,2023-03-01,0.9543,0.9069,0.481,0.5676,0.9306,0.9879,0.9592,95.43,0.15,4.42,0.0,3.14,90.69,0.22,6.56,0.02,3.69,,,,,,,,
HGR Kyondo,2023-04-01,0.9731,0.9319,0.2657,1.0,0.9525,0.9895,0.971,97.31,0.06,2.63,0.0,1.64,93.19,0.3,5.2,0.0,3.87,,,,,,,,
HGR Kyondo,2023-05-01,0.9699,0.8864,0.3177,1.7982,0.9282,0.9519,0.94,96.99,0.02,2.99,0.0,2.0,88.64,2.59,7.25,1.35,3.7,,,,,,,,
