"Time","Frequency 3E2F4FD3 (Ch Cbca Bethesda Ndosho - laboratoire)","Frequency C30F2E03 (Ch Cbca Bethesda Ndosho - clinique)","Voltage 3E2F4FD3 (Ch Cbca Bethesda Ndosho - laboratoire)","Voltage C30F2E03 (Ch Cbca Bethesda Ndosho - clinique)"
2024-10-08 00:00:00,50.0,50.0,208,219
2024-10-08 00:02:00,50.0,49.9,209,219
2024-10-08 00:04:00,50.2,50.2,207,221
2024-10-08 00:06:00,50.0,50.0,208,221
2024-10-08 00:08:00,50.1,50.0,209,220
2024-10-08 00:10:00,50.0,49.9,205,219
2024-10-08 00:12:00,49.8,49.8,206,220
2024-10-08 00:14:00,50.0,50.0,211,221
2024-10-08 00:16:00,49.7,49.7,207,219
2024-10-08 00:18:00,50.2,50.2,206,223
2024-10-08 00:20:00,50.1,50.1,209,219
2024-10-08 00:22:00,50.1,50.1,207,222
2024-10-08 00:24:00,49.8,49.9,207,220
2024-10-08 00:26:00,50.1,50,208,223
2024-10-08 00:28:00,50.2,50.2,210,222
2024-10-08 00:30:00,50.1,50.1,208,221
2024-10-08 00:32:00,50.0,50.0,208,222
2024-10-08 00:34:00,50.0,50.0,209,223
2024-10-08 00:36:00,50.0,50.0,208,222
2024-10-08 00:38:00,49.8,49.8,209,221
2024-10-08 00:40:00,50.1,50.1,208,221
2024-10-08 00:42:00,49.9,49.8,207,221
2024-10-08 00:44:00,50.0,50.0,210,222
2024-10-08 00:46:00,50.2,50.1,209,222
2024-10-08 00:48:00,50.1,50.1,208,222
2024-10-08 00:50:00,50.2,50.2,210,221
2024-10-08 00:52:00,50.4,50.4,211,222
2024-10-08 00:54:00,50.1,50.1,208,223
2024-10-08 00:56:00,48.6,48.6,209,220
2024-10-08 00:58:00,49.6,49.6,211,223
2024-10-08 01:00:00,49.5,49.5,210,223
2024-10-08 01:02:00,49.6,49.5,211,220
2024-10-08 01:04:00,49.5,49.5,211,221
2024-10-08 01:06:00,49.7,49.7,206,223
2024-10-08 01:08:00,49.6,49.5,208,223
2024-10-08 01:10:00,49.6,49.5,212,225
2024-10-08 01:12:00,49.7,49.7,208,225
2024-10-08 01:14:00,49.9,49.8,210,223
2024-10-08 01:16:00,49.8,49.8,212,222
2024-10-08 01:18:00,49.9,49.9,209,225
2024-10-08 01:20:00,49.8,49.8,210,223
2024-10-08 01:22:00,49.8,49.8,213,223
2024-10-08 01:24:00,49.6,49.5,210,222
2024-10-08 01:26:00,49.7,49.7,210,222
2024-10-08 01:28:00,49.6,49.5,210,222
2024-10-08 01:30:00,49.5,49.5,211,221
2024-10-08 01:32:00,49.5,49.5,207,226
2024-10-08 01:34:00,49.4,49.4,207,224
2024-10-08 01:36:00,49.4,49.4,209,222
2024-10-08 01:38:00,49.4,49.4,211,222
2024-10-08 01:40:00,49.6,49.7,210,222
2024-10-08 01:42:00,49.6,49.7,211,223
2024-10-08 01:44:00,49.7,49.7,209,226
2024-10-08 01:46:00,49.5,49.5,209,226
2024-10-08 01:48:00,49.7,49.8,211,226
2024-10-08 01:50:00,49.6,49.6,210,226
2024-10-08 01:52:00,49.6,49.6,208,227
2024-10-08 01:54:00,49.6,49.5,211,226
2024-10-08 01:56:00,49.5,49.5,207,226
2024-10-08 01:58:00,49.2,49.2,206,227
2024-10-08 02:00:00,49.5,49.5,211,225
2024-10-08 02:02:00,49.5,49.5,206,225
2024-10-08 02:04:00,49.3,49.3,206,223
2024-10-08 02:06:00,49.4,49.4,209,223
2024-10-08 02:08:00,49.7,49.7,209,225
2024-10-08 02:10:00,49.7,49.7,209,226
2024-10-08 02:12:00,49.8,49.8,211,226
2024-10-08 02:14:00,49.7,49.7,208,226
2024-10-08 02:16:00,49.6,49.7,209,225
2024-10-08 02:18:00,49.6,49.7,211,225
2024-10-08 02:20:00,49.7,49.7,211,226
2024-10-08 02:22:00,49.4,49.4,207,226
2024-10-08 02:24:00,49.6,49.6,209,225
2024-10-08 02:26:00,49.3,49.3,209,224
2024-10-08 02:28:00,49.5,49.5,209,226
2024-10-08 02:30:00,49.5,49.5,212,225
2024-10-08 02:32:00,49.6,49.7,211,226
2024-10-08 02:34:00,49.8,49.8,210,226
2024-10-08 02:36:00,50.0,50.0,213,226
2024-10-08 02:38:00,49.8,49.8,212,226
2024-10-08 02:40:00,49.7,49.7,209,227
2024-10-08 02:42:00,49.8,49.8,210,226
2024-10-08 02:44:00,49.8,49.8,212,227
