Time,Frequency 6EF39700 (Hgr Kitatumba - Labo),Frequency D2B9CB2E (Hgr Kitatumba - Mdh office),Voltage 6EF39700 (Hgr Kitatumba - Labo),Voltage D2B9CB2E (Hgr Kitatumba - Mdh office),Generator_ON
1/15/23 0:00,49.9,50,216,223,FALSE
1/15/23 0:02,50,50.1,217,223,FALSE
1/15/23 0:04,49.9,49.9,214,222,FALSE
1/15/23 0:06,49.9,49.9,214,222,FALSE
1/15/23 0:08,50.1,50,217,223,FALSE
1/15/23 0:10,49.8,49.7,216,223,FALSE
1/15/23 0:12,49.7,49.7,216,223,FALSE
1/15/23 0:14,50,49.9,216,222,FALSE
1/15/23 0:16,49.8,49.8,214,222,FALSE
1/15/23 0:18,50,50.1,214,222,FALSE
1/15/23 0:20,49.9,49.9,216,223,FALSE
1/15/23 0:22,49.8,49.7,218,224,FALSE
1/15/23 0:24,50,49.9,218,225,FALSE
1/15/23 0:26,50.1,50.1,218,225,FALSE
1/15/23 0:28,50,50,219,225,FALSE
1/15/23 0:30,50.1,50,219,225,FALSE
1/15/23 0:32,49.8,49.8,213,220,FALSE
1/15/23 0:34,49.9,49.9,213,220,FALSE
1/15/23 0:36,49.9,50,213,220,FALSE
1/15/23 0:38,50,50,214,221,FALSE
1/15/23 0:40,49.7,49.7,211,220,FALSE
1/15/23 0:42,49.9,49.8,210,220,FALSE
1/15/23 0:44,49.9,50,213,221,FALSE
1/15/23 0:46,50,50,213,221,FALSE
1/15/23 0:48,50.1,50.1,212,222,FALSE
1/15/23 0:50,50,50,211,220,FALSE
1/15/23 0:52,50,50,214,220,FALSE
1/15/23 0:54,49.9,49.9,214,220,FALSE
1/15/23 0:56,49.9,49.9,219,226,FALSE
1/15/23 0:58,49.9,49.9,219,226,FALSE
1/15/23 1:00,49.8,49.9,220,226,FALSE
1/15/23 1:02,49.8,49.8,220,226,FALSE
1/15/23 1:04,49.9,49.8,220,226,FALSE
1/15/23 1:06,49.8,49.8,219,226,FALSE
1/15/23 1:08,49.9,49.9,219,226,FALSE
1/15/23 1:10,49.9,49.9,219,226,FALSE
1/15/23 1:12,50,50,218,226,FALSE
1/15/23 1:14,49.9,50,220,226,FALSE
1/15/23 1:16,49.9,49.9,220,227,FALSE
1/15/23 1:18,50,50,221,227,FALSE
1/15/23 1:20,50.1,50.1,221,227,FALSE
1/15/23 1:22,50,50,221,228,FALSE
1/15/23 1:24,50.3,50.1,221,227,FALSE
1/15/23 1:26,50,49.9,221,227,FALSE
1/15/23 1:28,50,50,218,226,FALSE
1/15/23 1:30,49.9,50,218,227,FALSE
1/15/23 1:32,49.9,49.9,221,227,FALSE
1/15/23 1:34,50,50,221,227,FALSE
1/15/23 1:36,49.9,49.9,221,227,FALSE
1/15/23 1:38,49.9,49.9,221,227,FALSE
1/15/23 1:40,50,50,221,227,FALSE
1/15/23 1:42,49.9,49.9,221,227,FALSE
1/15/23 1:44,50,50,221,227,FALSE
1/15/23 1:46,50,50,221,227,FALSE
1/15/23 1:48,50.1,50.1,218,227,FALSE
1/15/23 1:50,49.9,49.9,216,227,FALSE
1/15/23 1:52,49.9,49.9,221,228,FALSE
1/15/23 1:54,50,50,221,227,FALSE
1/15/23 1:56,49.9,49.8,220,227,FALSE
1/15/23 1:58,49.7,49.7,221,226,FALSE
1/15/23 2:00,49.9,49.9,220,227,FALSE
1/15/23 2:02,49.8,49.8,221,228,FALSE
1/15/23 2:04,49.9,49.8,220,228,FALSE
1/15/23 2:06,49.8,49.8,221,228,FALSE
1/15/23 2:08,50.1,50.1,221,228,FALSE
1/15/23 2:10,50.2,50.2,222,228,FALSE
1/15/23 2:12,49.9,49.8,221,227,FALSE
1/15/23 2:14,49.9,49.9,219,228,FALSE
1/15/23 2:16,49.8,49.8,221,228,FALSE
1/15/23 2:18,50,50,221,228,FALSE
1/15/23 2:20,49.9,50,221,228,FALSE
1/15/23 2:22,49.9,49.9,221,228,FALSE
1/15/23 2:24,49.9,49.9,221,228,FALSE
1/15/23 2:26,50.2,50.2,221,228,FALSE
1/15/23 2:28,50.6,50.6,222,228,FALSE
1/15/23 2:30,49.9,50,221,227,FALSE
1/15/23 2:32,50.1,50,218,227,FALSE
1/15/23 2:34,49.9,49.9,217,226,FALSE
1/15/23 2:36,50.1,50.1,221,227,FALSE
1/15/23 2:38,49.9,50,221,227,FALSE
1/15/23 2:40,49.9,49.8,221,227,FALSE
1/15/23 2:42,49.8,49.8,221,227,FALSE
1/15/23 2:44,49.8,49.8,221,227,FALSE
1/15/23 2:46,50,49.9,221,227,FALSE
1/15/23 2:48,50.1,50.1,221,228,FALSE
1/15/23 2:50,49.8,49.8,221,228,FALSE
1/15/23 2:52,50,50,222,228,FALSE
1/15/23 2:54,49.9,49.9,222,228,FALSE
1/15/23 2:56,49.9,49.9,222,228,FALSE
1/15/23 2:58,50,50,222,228,FALSE
1/15/23 3:00,50,50,220,228,FALSE
1/15/23 3:02,50,50.1,220,228,FALSE
1/15/23 3:04,49.9,49.9,221,228,FALSE
1/15/23 3:06,50,49.9,222,228,FALSE
1/15/23 3:08,50.1,50.1,222,229,FALSE
1/15/23 3:10,50.1,50.1,222,230,FALSE
1/15/23 3:12,49.9,49.9,221,228,FALSE
1/15/23 3:14,49.9,49.9,221,228,FALSE
1/15/23 3:16,50.1,50.1,221,228,FALSE
1/15/23 3:18,49.9,49.9,221,228,FALSE
1/15/23 3:20,50.1,50.1,222,228,FALSE
1/15/23 3:22,49.9,50,219,227,FALSE
1/15/23 3:24,49.9,50,219,227,FALSE
1/15/23 3:26,49.8,49.9,221,227,FALSE
1/15/23 3:28,50,50,221,227,FALSE
1/15/23 3:30,49.9,50,221,227,FALSE
1/15/23 3:32,49.9,49.9,221,227,FALSE
1/15/23 3:34,50,50,222,228,FALSE
1/15/23 3:36,50,50,222,228,FALSE
1/15/23 3:38,50.1,50.1,220,228,FALSE
1/15/23 3:40,49.9,49.9,219,228,FALSE
1/15/23 3:42,49.9,49.8,221,228,FALSE
1/15/23 3:44,49.8,49.8,221,228,FALSE
1/15/23 3:46,49.9,49.9,221,228,FALSE
1/15/23 3:48,50,50,219,228,FALSE
1/15/23 3:50,50.1,50,223,228,FALSE
1/15/23 3:52,49.8,49.8,222,228,FALSE
1/15/23 3:54,49.8,49.8,222,228,FALSE
1/15/23 3:56,49.9,49.9,222,228,FALSE
1/15/23 3:58,49.9,50,221,228,FALSE
1/15/23 4:00,50,50,221,227,FALSE
1/15/23 4:02,49.9,49.8,222,228,FALSE
1/15/23 4:04,49.9,50,221,227,FALSE
1/15/23 4:06,49.9,49.9,221,227,FALSE
1/15/23 4:08,50.1,50,221,228,FALSE
1/15/23 4:10,49.9,50,221,228,FALSE
1/15/23 4:12,50,50,221,228,FALSE
1/15/23 4:14,50,49.9,219,228,FALSE
1/15/23 4:16,49.9,49.8,219,227,FALSE
1/15/23 4:18,49.8,49.8,221,228,FALSE
1/15/23 4:20,50.1,50.1,221,228,FALSE
1/15/23 4:22,50,50,219,228,FALSE
1/15/23 4:24,49.9,49.9,219,228,FALSE
1/15/23 4:26,49.8,49.8,222,228,FALSE
1/15/23 4:28,50.1,50,221,228,FALSE
1/15/23 4:30,50,50,221,229,FALSE
1/15/23 4:32,50.1,50,222,228,FALSE
1/15/23 4:34,50,50.1,221,227,FALSE
1/15/23 4:36,49.9,49.8,219,227,FALSE
1/15/23 4:38,49.8,49.9,219,227,FALSE
1/15/23 4:40,50.1,50,221,227,FALSE
1/15/23 4:42,49.9,49.9,221,227,FALSE
1/15/23 4:44,49.9,50,221,227,FALSE
1/15/23 4:46,49.9,49.8,221,227,FALSE
1/15/23 4:48,50.2,50.1,221,228,FALSE
1/15/23 4:50,50,49.9,221,228,FALSE
1/15/23 4:52,49.9,49.9,221,228,FALSE
1/15/23 4:54,50,50,221,226,FALSE
1/15/23 4:56,49.9,50,220,226,FALSE
1/15/23 4:58,50.1,50.1,220,226,FALSE
1/15/23 5:00,49.8,49.8,216,225,FALSE
1/15/23 5:02,50,49.9,218,227,FALSE
1/15/23 5:04,50,50,219,226,FALSE
1/15/23 5:06,49.8,49.8,219,226,FALSE
1/15/23 5:08,49.8,49.8,219,225,FALSE
1/15/23 5:10,49.8,49.9,219,226,FALSE
1/15/23 5:12,50,50,215,224,FALSE
1/15/23 5:14,49.7,49.7,216,225,FALSE
1/15/23 5:16,50,50,218,225,FALSE
1/15/23 5:18,50,50,216,223,FALSE
1/15/23 5:20,50,50,216,223,FALSE
1/15/23 5:22,50.1,50.1,219,225,FALSE
1/15/23 5:24,49.8,49.7,219,225,FALSE
1/15/23 5:26,49.9,49.9,218,223,FALSE
1/15/23 5:28,50.1,50.1,218,224,FALSE
1/15/23 5:30,50.1,50.1,216,223,FALSE
1/15/23 5:32,50,49.9,217,223,FALSE
1/15/23 5:34,50.2,50.2,217,224,FALSE
1/15/23 5:36,50.3,50.3,214,223,FALSE
1/15/23 5:38,49.9,49.9,215,223,FALSE
1/15/23 5:40,50,50,216,223,FALSE
1/15/23 5:42,49.9,49.9,216,223,FALSE
1/15/23 5:44,50,49.9,216,222,FALSE
1/15/23 5:46,49.7,49.8,215,221,FALSE
1/15/23 5:48,49.8,49.8,216,223,FALSE
1/15/23 5:50,49.8,49.8,214,221,FALSE
1/15/23 5:52,50.1,50.1,213,219,FALSE
1/15/23 5:54,50.4,50.3,214,220,FALSE
1/15/23 5:56,49.8,49.8,211,221,FALSE
1/15/23 5:58,49.8,49.8,214,222,FALSE
1/15/23 6:00,49.9,49.8,216,223,FALSE
1/15/23 6:02,50.1,50.1,214,221,FALSE
1/15/23 6:04,50.1,50.1,214,221,FALSE
1/15/23 6:06,50,49.9,214,221,FALSE
1/15/23 6:08,50.1,50.1,213,220,FALSE
1/15/23 6:10,50,50,213,218,FALSE
1/15/23 6:12,50,49.9,211,219,FALSE
1/15/23 6:14,50,50.1,211,219,FALSE
1/15/23 6:16,50.1,50.1,216,224,FALSE
1/15/23 6:18,49.8,49.8,210,219,FALSE
1/15/23 6:20,50.1,50.1,214,223,FALSE
1/15/23 6:22,50.1,50.1,211,219,FALSE
1/15/23 6:24,50,50,215,222,FALSE
1/15/23 6:26,49.8,49.8,209,218,FALSE
1/15/23 6:28,49.7,49.7,215,223,FALSE
1/15/23 6:30,49.8,49.8,216,223,FALSE
1/15/23 6:32,50,50,217,224,FALSE
1/15/23 6:34,50.2,49.9,217,225,FALSE
1/15/23 6:36,49.9,49.8,216,223,FALSE
1/15/23 6:38,50,49.8,214,220,FALSE
1/15/23 6:40,50,50,214,221,FALSE
1/15/23 6:42,50,50,214,223,FALSE
1/15/23 6:44,50,50,215,222,FALSE
1/15/23 6:46,50.1,50.3,212,219,FALSE
1/15/23 6:48,5618,3279,0.707,0,FALSE
1/15/23 6:50,6536,5556,0.707,0,FALSE
1/15/23 6:52,4926,4854,0.707,0,FALSE
1/15/23 6:54,42.9,43.1,197,202,TRUE
1/15/23 6:56,43.1,43.2,193,198,TRUE
1/15/23 6:58,42.9,43,192,199,TRUE
1/15/23 7:00,43.2,43.4,196,199,TRUE
1/15/23 7:02,43.1,43.1,194,198,TRUE
1/15/23 7:04,43.2,43.2,192,197,TRUE
1/15/23 7:06,43.2,43.1,188,196,TRUE
1/15/23 7:08,43,43,187,195,TRUE
1/15/23 7:10,43,85.7,192,197,TRUE
1/15/23 7:12,43.2,42.9,193,197,TRUE
1/15/23 7:14,43.5,43.6,192,198,TRUE
1/15/23 7:16,43.4,43.5,190,196,TRUE
1/15/23 7:18,43.3,43.3,185,193,TRUE
1/15/23 7:20,43.5,43.6,187,194,TRUE
1/15/23 7:22,43.2,43.1,189,198,TRUE
1/15/23 7:24,43.6,43.5,190,194,TRUE
1/15/23 7:26,43.4,43.4,191,195,TRUE
1/15/23 7:28,43.5,43.5,192,196,TRUE
1/15/23 7:30,43.4,43.5,191,194,TRUE
1/15/23 7:32,43.5,43.5,190,194,TRUE
1/15/23 7:34,42.2,42.2,188,192,TRUE
1/15/23 7:36,42.1,42.2,186,190,TRUE
1/15/23 7:38,42.5,84.1,187,192,TRUE
1/15/23 7:40,42.3,42.3,187,188,TRUE
1/15/23 7:42,41.9,41.6,179,188,TRUE
1/15/23 7:44,56.1,42,181,189,TRUE
1/15/23 7:46,42.2,42.2,186,190,TRUE
1/15/23 7:48,42.2,42.2,186,190,TRUE
1/15/23 7:50,84.7,42.5,187,192,TRUE
1/15/23 7:52,42.2,42.2,185,189,TRUE
1/15/23 7:54,43.3,43.1,189,192,TRUE
1/15/23 7:56,43.9,44,186,192,TRUE
1/15/23 7:58,43.7,58.7,185,192,TRUE
1/15/23 8:00,43.7,43.6,190,193,TRUE
1/15/23 8:02,43,42.9,190,194,TRUE
1/15/23 8:04,43.3,43.2,190,194,TRUE
1/15/23 8:06,43.5,42.5,190,194,TRUE
1/15/23 8:08,43.2,43.1,190,194,TRUE
1/15/23 8:10,43.4,43.2,191,194,TRUE
1/15/23 8:12,44,43.8,191,194,TRUE
1/15/23 8:14,43.4,43.6,190,194,TRUE
1/15/23 8:16,41.8,41.8,178,187,TRUE
1/15/23 8:18,82.6,41.9,178,186,TRUE
1/15/23 8:20,42.2,42.3,183,189,TRUE
1/15/23 8:22,42.3,42.3,185,190,TRUE
1/15/23 8:24,42.1,42,187,190,TRUE
1/15/23 8:26,84,41.8,180,188,TRUE
1/15/23 8:28,41.9,42.2,180,187,TRUE
1/15/23 8:30,42.3,42.3,184,190,TRUE
1/15/23 8:32,42.2,42.3,185,190,TRUE
1/15/23 8:34,42.7,42.7,187,191,TRUE
1/15/23 8:36,43.2,43.5,187,190,TRUE
1/15/23 8:38,43.6,43.5,187,191,TRUE
1/15/23 8:40,43.6,43.6,186,190,TRUE
1/15/23 8:42,42.8,42.7,187,191,TRUE
1/15/23 8:44,42.8,42.8,187,192,TRUE
1/15/23 8:46,43,43.1,186,190,TRUE
1/15/23 8:48,43.1,43,187,191,TRUE
1/15/23 8:50,43.1,42.9,187,191,TRUE
1/15/23 8:52,42.9,42.7,180,190,TRUE
1/15/23 8:54,42.7,42.6,181,189,TRUE
1/15/23 8:56,41.3,41.1,173,178,TRUE
1/15/23 8:58,81.7,82.2,179,184,TRUE
1/15/23 9:00,41.5,41.5,173,180,TRUE
1/15/23 9:02,41.9,41.9,179,185,TRUE
1/15/23 9:04,56.2,41.9,178,183,TRUE
1/15/23 9:06,41.8,41.7,178,183,TRUE
1/15/23 9:08,41.3,41.6,178,182,TRUE
1/15/23 9:10,41.5,41.5,180,185,TRUE
1/15/23 9:12,41.6,41.4,179,183,TRUE
1/15/23 9:14,85.5,42.9,185,190,TRUE
