Time,Frequency 6EF39700 (Hgr Kitatumba - Labo),Frequency D2B9CB2E (Hgr Kitatumba - Mdh office),Voltage 6EF39700 (Hgr Kitatumba - Labo),Voltage D2B9CB2E (Hgr Kitatumba - Mdh office),Generator_ON
1/22/23 0:00,49.9,49.8,204,211,FALSE
1/22/23 0:02,49.7,49.7,201,210,FALSE
1/22/23 0:04,50.1,50.1,203,211,FALSE
1/22/23 0:06,50.2,50.2,206,213,FALSE
1/22/23 0:08,50.2,50.2,206,213,FALSE
1/22/23 0:10,49.7,49.7,206,212,FALSE
1/22/23 0:12,49.8,49.8,206,212,FALSE
1/22/23 0:14,49.9,49.9,207,213,FALSE
1/22/23 0:16,50.1,50,207,213,FALSE
1/22/23 0:18,49.9,49.8,207,213,FALSE
1/22/23 0:20,49.9,49.9,207,213,FALSE
1/22/23 0:22,49.9,49.9,205,213,FALSE
1/22/23 0:24,49.7,49.7,204,213,FALSE
1/22/23 0:26,50.3,50.2,207,214,FALSE
1/22/23 0:28,49.7,49.7,207,214,FALSE
1/22/23 0:30,50.2,50.2,208,214,FALSE
1/22/23 0:32,49.9,49.8,208,214,FALSE
1/22/23 0:34,49.8,49.7,207,214,FALSE
1/22/23 0:36,49.8,49.9,207,214,FALSE
1/22/23 0:38,49.9,49.9,207,214,FALSE
1/22/23 0:40,50,50,207,214,FALSE
1/22/23 0:42,50.3,50.3,206,214,FALSE
1/22/23 0:44,49.9,49.9,204,213,FALSE
1/22/23 0:46,49.8,49.8,204,212,FALSE
1/22/23 0:48,49.9,50,206,213,FALSE
1/22/23 0:50,49.8,49.8,205,212,FALSE
1/22/23 0:52,49.8,49.8,207,213,FALSE
1/22/23 0:54,49.9,49.9,206,213,FALSE
1/22/23 0:56,50.1,50,207,214,FALSE
1/22/23 0:58,49.8,49.8,207,214,FALSE
1/22/23 1:00,49.7,49.7,206,213,FALSE
1/22/23 1:02,50,50.1,206,214,FALSE
1/22/23 1:04,49.8,49.8,207,214,FALSE
1/22/23 1:06,50,50.1,208,214,FALSE
1/22/23 1:08,49.9,50,207,214,FALSE
1/22/23 1:10,50,50,207,214,FALSE
1/22/23 1:12,50.2,50.2,207,214,FALSE
1/22/23 1:14,50.1,50.1,208,215,FALSE
1/22/23 1:16,49.9,49.9,205,213,FALSE
1/22/23 1:18,50.2,50.2,204,213,FALSE
1/22/23 1:20,50.1,50.1,206,214,FALSE
1/22/23 1:22,50.1,50.1,208,214,FALSE
1/22/23 1:24,49.9,50,207,214,FALSE
1/22/23 1:26,50.1,50,208,214,FALSE
1/22/23 1:28,49.9,49.9,208,214,FALSE
1/22/23 1:30,50.1,50.1,209,214,FALSE
