Time,Frequency 6EF39700 (Hgr Kitatumba - Labo),Frequency D2B9CB2E (Hgr Kitatumba - Mdh office),Voltage 6EF39700 (Hgr Kitatumba - Labo),Voltage D2B9CB2E (Hgr Kitatumba - Mdh office),Generator_ON
1/8/23 0:00,49.8,50,217,224,FALSE
1/8/23 0:02,49.8,49.8,215,223,FALSE
1/8/23 0:04,49.8,49.8,216,223,FALSE
1/8/23 0:06,50.1,50.1,216,223,FALSE
1/8/23 0:08,50.1,50,217,224,FALSE
1/8/23 0:10,50,50,218,224,FALSE
1/8/23 0:12,49.9,50,217,225,FALSE
1/8/23 0:14,49.9,50,217,224,FALSE
1/8/23 0:16,49.9,49.9,217,224,FALSE
1/8/23 0:18,49.8,49.8,216,223,FALSE
1/8/23 0:20,50,49.9,215,223,FALSE
1/8/23 0:22,49.9,49.9,214,223,FALSE
1/8/23 0:24,50,50,216,223,FALSE
1/8/23 0:26,50,50,216,224,FALSE
1/8/23 0:28,50.1,50.2,218,224,FALSE
1/8/23 0:30,50.1,50.2,218,224,FALSE
1/8/23 0:32,50,50,216,223,FALSE
1/8/23 0:34,50,49.9,216,222,FALSE
1/8/23 0:36,50,50,214,221,FALSE
1/8/23 0:38,50,50,214,222,FALSE
1/8/23 0:40,49.9,49.8,215,222,FALSE
1/8/23 0:42,49.9,49.9,215,222,FALSE
1/8/23 0:44,50,50,216,223,FALSE
1/8/23 0:46,49.8,49.8,216,223,FALSE
1/8/23 0:48,50,50,219,226,FALSE
1/8/23 0:50,49.9,50,216,223,FALSE
1/8/23 0:52,50,50,211,219,FALSE
1/8/23 0:54,50.1,50.1,213,220,FALSE
1/8/23 0:56,49.9,49.9,218,225,FALSE
1/8/23 0:58,50,50,217,224,FALSE
1/8/23 1:00,49.9,49.9,220,227,FALSE
1/8/23 1:02,49.8,49.9,219,226,FALSE
1/8/23 1:04,49.9,49.9,219,226,FALSE
1/8/23 1:06,50,50,219,226,FALSE
1/8/23 1:08,50,50,218,225,FALSE
1/8/23 1:10,49.9,49.9,216,224,FALSE
1/8/23 1:12,49.9,49.9,216,224,FALSE
1/8/23 1:14,50,50,216,224,FALSE
1/8/23 1:16,50,50,216,225,FALSE
1/8/23 1:18,50,50,218,225,FALSE
1/8/23 1:20,49.9,49.9,212,219,FALSE
1/8/23 1:22,49.9,49.8,211,219,FALSE
1/8/23 1:24,49.9,50,212,219,FALSE
1/8/23 1:26,50.1,50.1,210,218,FALSE
1/8/23 1:28,49.9,49.9,210,217,FALSE
1/8/23 1:30,50,49.9,210,217,FALSE
1/8/23 1:32,49.9,49.9,210,218,FALSE
1/8/23 1:34,50.1,50.1,209,216,FALSE
1/8/23 1:36,50,50,211,219,FALSE
1/8/23 1:38,50,49.9,210,219,FALSE
1/8/23 1:40,50,50,212,220,FALSE
1/8/23 1:42,49.9,50,212,219,FALSE
1/8/23 1:44,50.3,50.3,211,218,FALSE
1/8/23 1:46,50.1,50.1,211,218,FALSE
1/8/23 1:48,50,50,211,219,FALSE
1/8/23 1:50,50.1,50.1,216,223,FALSE
1/8/23 1:52,49.9,50,219,226,FALSE
1/8/23 1:54,50.1,50.1,219,226,FALSE
1/8/23 1:56,50,50,219,226,FALSE
1/8/23 1:58,50,50,219,226,FALSE
1/8/23 2:00,49.9,49.9,219,226,FALSE
1/8/23 2:02,49.9,49.9,217,225,FALSE
1/8/23 2:04,49.9,49.9,216,224,FALSE
1/8/23 2:06,49.9,50,216,224,FALSE
1/8/23 2:08,50.1,50,216,224,FALSE
1/8/23 2:10,50,50,217,224,FALSE
1/8/23 2:12,50,50.1,217,225,FALSE
1/8/23 2:14,49.9,49.8,219,226,FALSE
1/8/23 2:16,49.9,50,216,223,FALSE
1/8/23 2:18,50,50,216,223,FALSE
1/8/23 2:20,50,50,215,222,FALSE
1/8/23 2:22,50,50,214,222,FALSE
1/8/23 2:24,50,50,214,222,FALSE
1/8/23 2:26,49.9,49.9,214,223,FALSE
1/8/23 2:28,49.9,49.9,216,223,FALSE
1/8/23 2:30,50,50,217,223,FALSE
1/8/23 2:32,50,50,216,223,FALSE
1/8/23 2:34,50.1,50.1,216,223,FALSE
1/8/23 2:36,50,50,218,224,FALSE
1/8/23 2:38,50.1,50,218,224,FALSE
1/8/23 2:40,50,49.9,217,223,FALSE
1/8/23 2:42,50,50,216,223,FALSE
1/8/23 2:44,50,50,216,223,FALSE
1/8/23 2:46,49.9,49.9,216,223,FALSE
1/8/23 2:48,50.1,50,217,223,FALSE
1/8/23 2:50,49.9,49.9,217,224,FALSE
1/8/23 2:52,50.2,50.2,214,221,FALSE
1/8/23 2:54,50,49.9,214,221,FALSE
1/8/23 2:56,50,50,216,224,FALSE
1/8/23 2:58,50,50,217,224,FALSE
1/8/23 3:00,50,50.1,217,224,FALSE
