Time,Frequency 3E2F4FD3 (Ch Cbca Bethesda Ndosho - laboratoire),Frequency C30F2E03 (Ch Cbca Bethesda Ndosho - clinique),Voltage 3E2F4FD3 (Ch Cbca Bethesda Ndosho - laboratoire),Voltage C30F2E03 (Ch Cbca Bethesda Ndosho - clinique),Generator_ON
2/8/23 0:00,50.6,50.7,222,223,FALSE
2/8/23 0:02,50.7,50.6,217,220,FALSE
2/8/23 0:04,50.8,50.7,221,223,FALSE
2/8/23 0:06,50.6,50.6,218,220,FALSE
2/8/23 0:08,50.7,50.7,216,219,FALSE
2/8/23 0:10,50.6,50.6,221,223,FALSE
2/8/23 0:12,50.6,50.6,221,223,FALSE
2/8/23 0:14,50.7,50.7,219,222,FALSE
2/8/23 0:16,50.8,50.8,221,223,FALSE
2/8/23 0:18,50.5,50.5,220,223,FALSE
2/8/23 0:20,50.6,50.6,220,222,FALSE
2/8/23 0:22,50.6,50.5,219,222,FALSE
2/8/23 0:24,50.6,50.7,220,223,FALSE
2/8/23 0:26,50.7,50.7,219,223,FALSE
2/8/23 0:28,50.6,50.5,221,223,FALSE
2/8/23 0:30,50.5,50.4,221,223,FALSE
2/8/23 0:32,50.3,50.3,220,223,FALSE
2/8/23 0:34,50.5,50.5,222,224,FALSE
2/8/23 0:36,50.4,50.4,222,224,FALSE
2/8/23 0:38,50.4,50.4,221,224,FALSE
2/8/23 0:40,50.2,50.3,223,225,FALSE
2/8/23 0:42,50.2,50.2,223,225,FALSE
2/8/23 0:44,50.1,50.1,221,223,FALSE
2/8/23 0:46,50.3,50.4,222,224,FALSE
2/8/23 0:48,50.3,50.4,223,225,FALSE
2/8/23 0:50,50.2,50.2,221,224,FALSE
2/8/23 0:52,50.3,50.3,223,225,FALSE
2/8/23 0:54,50.5,50.5,223,225,FALSE
2/8/23 0:56,50.4,50.4,221,223,FALSE
2/8/23 0:58,50.5,50.5,223,225,FALSE
2/8/23 1:00,50.6,50.5,223,226,FALSE
2/8/23 1:02,50.3,50.3,222,225,FALSE
2/8/23 1:04,50.2,50.2,224,226,FALSE
2/8/23 1:06,50.4,50.4,225,227,FALSE
2/8/23 1:08,50.4,50.4,223,226,FALSE
2/8/23 1:10,50.5,50.5,225,227,FALSE
2/8/23 1:12,50.4,50.4,225,227,FALSE
2/8/23 1:14,50.5,50.5,223,226,FALSE
2/8/23 1:16,50.4,50.4,225,227,FALSE
2/8/23 1:18,50.5,50.6,223,225,FALSE
2/8/23 1:20,50.4,50.4,221,223,FALSE
2/8/23 1:22,50.2,50.2,221,224,FALSE
2/8/23 1:24,50.2,50.3,221,223,FALSE
2/8/23 1:26,50.4,50.5,223,226,FALSE
2/8/23 1:28,50.2,50.2,223,226,FALSE
2/8/23 1:30,50.5,50.6,225,226,FALSE
2/8/23 1:32,50.4,50.4,223,226,FALSE
2/8/23 1:34,50.2,50.2,223,226,FALSE
2/8/23 1:36,50.4,50.4,225,226,FALSE
2/8/23 1:38,50.3,50.4,223,226,FALSE
2/8/23 1:40,50.3,50.3,224,226,FALSE
2/8/23 1:42,50.3,50.4,225,226,FALSE
2/8/23 1:44,50.4,50.5,223,226,FALSE
2/8/23 1:46,50.4,50.4,225,227,FALSE
2/8/23 1:48,50.4,50.4,226,228,FALSE
2/8/23 1:50,50.6,50.5,223,226,FALSE
2/8/23 1:52,50.2,50.1,224,226,FALSE
2/8/23 1:54,50.3,50.4,224,226,FALSE
2/8/23 1:56,50.4,50.4,223,226,FALSE
2/8/23 1:58,50.2,50.2,225,227,FALSE
2/8/23 2:00,50.3,50.5,221,223,FALSE
2/8/23 2:02,50.5,50.5,220,223,FALSE
2/8/23 2:04,50.3,50.3,221,223,FALSE
2/8/23 2:06,50.3,50.3,221,223,FALSE
2/8/23 2:08,50.5,50.5,223,226,FALSE
2/8/23 2:10,50.4,50.4,225,227,FALSE
2/8/23 2:12,50.4,50.3,224,226,FALSE
2/8/23 2:14,50.3,50.3,223,226,FALSE
2/8/23 2:16,50.3,50.4,224,226,FALSE
2/8/23 2:18,50.4,50.4,223,226,FALSE
2/8/23 2:20,50.5,50.4,223,226,FALSE
2/8/23 2:22,50.3,50.3,224,226,FALSE
2/8/23 2:24,50.4,50.3,224,226,FALSE
2/8/23 2:26,50.4,50.3,223,226,FALSE
2/8/23 2:28,50.5,50.5,225,228,FALSE
2/8/23 2:30,50.4,50.4,226,228,FALSE
2/8/23 2:32,50.3,50.3,223,226,FALSE
2/8/23 2:34,50.4,50.4,225,227,FALSE
2/8/23 2:36,50.4,50.5,221,223,FALSE
2/8/23 2:38,50.5,50.5,221,223,FALSE
2/8/23 2:40,50.4,50.4,226,228,FALSE
2/8/23 2:42,50.6,50.6,223,226,FALSE
2/8/23 2:44,50.5,50.4,224,227,FALSE
2/8/23 2:46,50.3,50.3,226,228,FALSE
2/8/23 2:48,50.4,50.4,224,226,FALSE
2/8/23 2:50,50.4,50.3,224,226,FALSE
2/8/23 2:52,50.5,50.5,225,226,FALSE
2/8/23 2:54,50.2,50.3,223,226,FALSE
2/8/23 2:56,50.3,50.4,223,226,FALSE
2/8/23 2:58,50.4,50.4,225,227,FALSE
2/8/23 3:00,50.3,50.3,223,225,FALSE
2/8/23 3:02,50.4,50.4,223,226,FALSE
