Time,Frequency 3E2F4FD3 (Ch Cbca Bethesda Ndosho - laboratoire),Frequency C30F2E03 (Ch Cbca Bethesda Ndosho - clinique),Voltage 3E2F4FD3 (Ch Cbca Bethesda Ndosho - laboratoire),Voltage C30F2E03 (Ch Cbca Bethesda Ndosho - clinique),Generator_ON
8/19/24 0:00,50,50,209,224,FALSE
8/19/24 0:02,50.2,50.3,209,226,FALSE
8/19/24 0:04,50,49.9,208,226,FALSE
8/19/24 0:06,50.2,50.2,207,223,FALSE
8/19/24 0:08,50,50,209,224,FALSE
8/19/24 0:10,50,50,209,225,FALSE
8/19/24 0:12,50.3,50.3,210,226,FALSE
8/19/24 0:14,50.1,50.1,209,225,FALSE
8/19/24 0:16,50,50,209,225,FALSE
8/19/24 0:18,50,50,208,224,FALSE
8/19/24 0:20,50.3,50.3,209,225,FALSE
8/19/24 0:22,50,50,209,226,FALSE
8/19/24 0:24,50,50,209,226,FALSE
8/19/24 0:26,50.1,50.1,210,228,FALSE
8/19/24 0:28,50.3,50.2,210,228,FALSE
8/19/24 0:30,50.1,50.1,209,228,FALSE
8/19/24 0:32,49.9,49.9,207,225,FALSE
8/19/24 0:34,49.7,49.8,209,226,FALSE
8/19/24 0:36,49.4,49.4,209,227,FALSE
8/19/24 0:38,49.9,49.9,210,228,FALSE
8/19/24 0:40,49.7,49.7,210,228,FALSE
8/19/24 0:42,49.8,49.7,211,228,FALSE
8/19/24 0:44,49.5,49.5,211,228,FALSE
8/19/24 0:46,49.6,49.7,209,225,FALSE
8/19/24 0:48,49.7,49.7,209,226,FALSE
8/19/24 0:50,49.6,49.5,209,226,FALSE
8/19/24 0:52,49.9,49.8,211,226,FALSE
8/19/24 0:54,49.8,49.8,212,228,FALSE
8/19/24 0:56,49.9,49.9,213,229,FALSE
8/19/24 0:58,49.7,49.7,210,227,FALSE
8/19/24 1:00,49.8,49.7,210,226,FALSE
8/19/24 1:02,49.6,49.6,209,226,FALSE
8/19/24 1:04,49.9,49.9,211,228,FALSE
