"Time","Frequency A27FD0AE (Ch Matanda - Control room)","Frequency E62B2EA3 (Ch Matanda - Radiologie)","Voltage A27FD0AE (Ch Matanda - Control room)","Voltage E62B2EA3 (Ch Matanda - Radiologie)"
2023-01-08 04:06:00,50.1,50.1,229,230
2023-01-08 04:08:00,50.0,50.0,227,227
2023-01-08 04:10:00,49.9,49.9,228,228
2023-01-08 04:12:00,50.0,49.9,228,228
2023-01-08 04:14:00,49.9,49.9,227,227
2023-01-08 04:16:00,49.9,49.9,227,227
2023-01-08 04:18:00,49.9,50.0,227,227
2023-01-08 04:20:00,50.0,50.1,227,227
2023-01-08 04:22:00,49.9,49.9,227,228
2023-01-08 04:24:00,49.8,49.8,227,227
2023-01-08 04:26:00,50.0,50.0,228,228
2023-01-08 04:28:00,50.2,50.2,229,229
2023-01-08 04:30:00,49.8,49.8,228,228
2023-01-08 04:32:00,50.1,50.0,231,231
2023-01-08 04:34:00,49.9,49.9,231,231
2023-01-08 04:36:00,50.0,50.1,231,231
2023-01-08 04:38:00,50.2,50.2,231,231
2023-01-08 04:40:00,49.8,49.8,231,231
2023-01-08 04:42:00,50.0,50.1,231,231
2023-01-08 04:44:00,49.9,49.9,230,231
2023-01-08 04:46:00,50.1,50.1,231,231
2023-01-08 04:48:00,49.9,49.9,231,231
2023-01-08 04:50:00,50.0,50.0,231,231
2023-01-08 04:52:00,50.1,50.1,231,231
2023-01-08 04:54:00,50.0,50.0,231,231
2023-01-08 04:56:00,49.8,49.8,229,229
2023-01-08 04:58:00,49.8,49.8,229,229
2023-01-08 05:00:00,50.2,50.2,230,230
2023-01-08 05:02:00,49.8,49.7,229,230
2023-01-08 05:04:00,49.9,49.9,230,230
2023-01-08 05:06:00,49.9,49.9,229,229
2023-01-08 05:08:00,50.1,50.0,227,227
2023-01-08 05:10:00,49.6,49.7,227,227
2023-01-08 05:12:00,50.0,50.0,228,228
2023-01-08 05:14:00,50.1,50,228,228
2023-01-08 05:16:00,50.1,50.1,228,228
2023-01-08 05:18:00,50.0,50.1,228,228
2023-01-08 05:20:00,49.9,49.8,227,227
2023-01-08 05:22:00,49.9,49.8,227,227
2023-01-08 05:24:00,50.2,50.2,227,227
2023-01-08 05:26:00,49.8,49.9,227,227
2023-01-08 05:28:00,50.0,50.0,228,228
2023-01-08 05:30:00,49.9,49.9,230,230
2023-01-08 05:32:00,50.0,50.0,230,231
2023-01-08 05:34:00,50.0,49.9,230,230
2023-01-08 05:36:00,49.9,49.9,230,230
2023-01-08 05:38:00,49.9,49.9,230,230
2023-01-08 05:40:00,49.9,49.8,230,230
2023-01-08 05:42:00,49.9,49.9,230,230
2023-01-08 05:44:00,50.0,50.0,230,230
2023-01-08 05:46:00,50.0,50.0,229,230
2023-01-08 05:48:00,49.9,50.0,229,229
2023-01-08 05:50:00,50.0,50.0,229,229
2023-01-08 05:52:00,49.7,49.7,230,230
2023-01-08 05:54:00,50.0,50.0,229,230
2023-01-08 05:56:00,50.2,50.2,229,229
2023-01-08 05:58:00,49.8,49.8,228,229
2023-01-08 06:00:00,49.8,49.8,227,228
2023-01-08 06:02:00,50.0,50.0,227,228
2023-01-08 06:04:00,50.0,50.0,227,227
2023-01-08 06:06:00,49.8,49.8,227,227
2023-01-08 06:08:00,50.0,50.0,227,227
2023-01-08 06:10:00,50.0,50.0,226,226
2023-01-08 06:12:00,49.9,49.9,226,226
2023-01-08 06:14:00,50.0,50.0,226,226
2023-01-08 06:16:00,50.0,50,226,226
2023-01-08 06:18:00,50.0,49.9,224,224
2023-01-08 06:20:00,50.1,50.1,214,214
2023-01-08 06:22:00,49.6,49.7,213,214
2023-01-08 06:24:00,50.0,50.0,214,214
2023-01-08 06:26:00,50.0,50.0,214,215
2023-01-08 06:28:00,50.0,49.9,215,216
2023-01-08 06:30:00,50.0,50.0,218,218
2023-01-08 06:32:00,49.9,50.0,223,223
2023-01-08 06:34:00,50.0,50.0,222,223
2023-01-08 06:36:00,49.9,49.9,222,222
2023-01-08 06:38:00,50.0,49.9,220,220
2023-01-08 06:40:00,49.9,49.9,219,220
2023-01-08 06:42:00,50.0,50.0,219,219
2023-01-08 06:44:00,50.0,50.0,228,228
2023-01-08 06:46:00,50.0,49.9,223,223
2023-01-08 06:48:00,49.8,49.8,220,220
2023-01-08 06:50:00,49.8,49.8,221,221
2023-01-08 06:52:00,50.1,50.1,219,219
2023-01-08 06:54:00,50.0,50,214,214
2023-01-08 06:56:00,50.2,50.1,214,214
2023-01-08 06:58:00,50.0,50.0,217,218
2023-01-08 07:00:00,49.7,49.8,218,218
2023-01-08 07:02:00,49.7,49.8,218,218
2023-01-08 07:04:00,50.1,50.2,216,216
2023-01-08 07:06:00,49.7,49.8,222,222
2023-01-08 07:08:00,50.0,50.0,223,223
2023-01-08 07:10:00,50.0,50.0,223,223
2023-01-08 07:12:00,50.0,49.9,220,220
2023-01-08 07:14:00,49.9,49.8,221,221
2023-01-08 07:16:00,50.0,49.8,220,220
2023-01-08 07:18:00,50.0,50.1,219,219
2023-01-08 07:20:00,50.1,50.1,221,221
2023-01-08 07:22:00,49.9,49.8,220,221
2023-01-08 07:24:00,49.8,49.8,220,220
2023-01-08 07:26:00,49.8,49.8,220,220
