Time,Frequency A27FD0AE (Ch Matanda - Control room),Frequency E62B2EA3 (Ch Matanda - Radiologie),Voltage A27FD0AE (Ch Matanda - Control room),Voltage E62B2EA3 (Ch Matanda - Radiologie),Generator_ON
1/1/23 3:56,49.8,49.8,231,231,FALSE
1/1/23 3:58,49.8,49.8,231,231,FALSE
1/1/23 4:00,50,49.9,231,231,FALSE
1/1/23 4:02,49.9,49.9,231,231,FALSE
1/1/23 4:04,50.1,50,228,230,FALSE
1/1/23 4:06,50,50,229,229,FALSE
1/1/23 4:08,49.9,49.9,229,229,FALSE
1/1/23 4:10,49.8,49.9,229,229,FALSE
1/1/23 4:12,50,50,229,230,FALSE
1/1/23 4:14,49.9,49.9,228,228,FALSE
1/1/23 4:16,49.8,49.8,226,227,FALSE
1/1/23 4:18,49.8,49.8,229,229,FALSE
1/1/23 4:20,50,50,229,229,FALSE
1/1/23 4:22,50.1,50.1,227,228,FALSE
1/1/23 4:24,49.9,49.9,229,229,FALSE
1/1/23 4:26,49.8,49.9,228,229,FALSE
1/1/23 4:28,50,50.1,227,227,FALSE
1/1/23 4:30,49.9,49.8,228,229,FALSE
1/1/23 4:32,49.8,49.8,228,229,FALSE
1/1/23 4:34,50,50,227,227,FALSE
1/1/23 4:36,49.9,49.9,229,230,FALSE
1/1/23 4:38,50,50,229,230,FALSE
1/1/23 4:40,49.9,50,229,230,FALSE
1/1/23 4:42,49.9,49.9,231,231,FALSE
1/1/23 4:44,50.1,50.1,231,231,FALSE
1/1/23 4:46,50.1,50.1,231,231,FALSE
1/1/23 4:48,49.7,49.8,231,231,FALSE
1/1/23 4:50,50,50,231,231,FALSE
1/1/23 4:52,49.7,49.7,231,231,FALSE
1/1/23 4:54,49.8,49.8,231,231,FALSE
1/1/23 4:56,49.8,49.8,231,231,FALSE
1/1/23 4:58,49.8,49.8,231,231,FALSE
1/1/23 5:00,50.1,50,228,229,FALSE
1/1/23 5:02,50.2,50.2,229,230,FALSE
1/1/23 5:04,49.9,49.9,228,228,FALSE
1/1/23 5:06,49.9,49.9,231,231,FALSE
1/1/23 5:08,50,50,228,229,FALSE
1/1/23 5:10,49.9,49.9,231,231,FALSE
1/1/23 5:12,49.9,49.9,228,228,FALSE
1/1/23 5:14,50,49.9,228,228,FALSE
1/1/23 5:16,50,50,231,231,FALSE
1/1/23 5:18,49.8,49.9,228,228,FALSE
1/1/23 5:20,50,50,228,228,FALSE
1/1/23 5:22,49.7,49.7,231,231,FALSE
1/1/23 5:24,49.8,49.7,227,227,FALSE
1/1/23 5:26,50,50,230,230,FALSE
1/1/23 5:28,49.8,49.8,226,226,FALSE
1/1/23 5:30,49.9,49.8,229,229,FALSE
1/1/23 5:32,49.8,49.8,227,227,FALSE
1/1/23 5:34,49.8,49.9,227,227,FALSE
1/1/23 5:36,50,50.1,228,228,FALSE
1/1/23 5:38,50.2,50.2,226,226,FALSE
1/1/23 5:40,50,50.1,228,228,FALSE
1/1/23 5:42,49.9,49.8,226,226,FALSE
1/1/23 5:44,50,50,225,225,FALSE
1/1/23 5:46,50,50.1,225,225,FALSE
1/1/23 5:48,50,50,225,226,FALSE
1/1/23 5:50,50,50,226,226,FALSE
1/1/23 5:52,49.9,49.9,226,226,FALSE
1/1/23 5:54,49.9,50,226,226,FALSE
1/1/23 5:56,50,50,225,226,FALSE
1/1/23 5:58,50.2,50.2,226,226,FALSE
1/1/23 6:00,49.8,49.8,224,225,FALSE
1/1/23 6:02,50,50,224,225,FALSE
1/1/23 6:04,49.7,49.8,224,224,FALSE
1/1/23 6:06,49.9,49.8,225,225,FALSE
1/1/23 6:08,49.6,49.7,224,225,FALSE
1/1/23 6:10,49.9,50,227,227,FALSE
1/1/23 6:12,49.8,49.9,221,221,FALSE
1/1/23 6:14,50.2,50.3,223,223,FALSE
1/1/23 6:16,49.7,49.6,222,222,FALSE
1/1/23 6:18,50,50,222,222,FALSE
1/1/23 6:20,50,50,222,223,FALSE
1/1/23 6:22,50.1,50.1,223,223,FALSE
1/1/23 6:24,49.9,49.9,227,227,FALSE
1/1/23 6:26,50.3,50.3,223,223,FALSE
1/1/23 6:28,50.1,50.1,220,220,FALSE
1/1/23 6:30,49.7,49.7,221,221,FALSE
1/1/23 6:32,50,49.9,221,221,FALSE
1/1/23 6:34,50,50,228,228,FALSE
1/1/23 6:36,49.8,49.8,228,228,FALSE
1/1/23 6:38,49.9,50,228,228,FALSE
1/1/23 6:40,49.7,49.7,228,228,FALSE
1/1/23 6:42,49.7,49.7,229,229,FALSE
1/1/23 6:44,50.3,50.3,228,229,FALSE
1/1/23 6:46,50.2,50.1,227,227,FALSE
1/1/23 6:48,49.8,49.8,226,226,FALSE
1/1/23 6:50,49.8,49.9,227,227,FALSE
1/1/23 6:52,49.7,49.8,227,227,FALSE
1/1/23 6:54,50.1,50.1,226,226,FALSE
1/1/23 6:56,50.2,50.2,226,226,FALSE
1/1/23 6:58,49.8,49.8,226,226,FALSE
1/1/23 7:00,50.1,50.2,221,221,FALSE
1/1/23 7:02,50,50,225,225,FALSE
1/1/23 7:04,49.6,49.6,222,222,FALSE
1/1/23 7:06,50.1,50.1,223,223,FALSE
1/1/23 7:08,49.9,49.9,222,223,FALSE
1/1/23 7:10,49.7,49.7,220,220,FALSE
1/1/23 7:12,50,50,223,223,FALSE
1/1/23 7:14,50,50,223,223,FALSE
1/1/23 7:16,49.9,49.9,223,223,FALSE
1/1/23 7:18,49.9,50,222,222,FALSE
1/1/23 7:20,49.8,49.8,222,222,FALSE
1/1/23 7:22,50.2,50.1,221,222,FALSE
1/1/23 7:24,50.1,50.1,221,221,FALSE
1/1/23 7:26,50,50,218,219,FALSE
1/1/23 7:28,49.9,49.8,222,222,FALSE
1/1/23 7:30,49.9,49.9,223,223,FALSE
1/1/23 7:32,49.7,49.7,222,223,FALSE
1/1/23 7:34,50.2,50.2,221,222,FALSE
1/1/23 7:36,49.9,49.9,220,221,FALSE
1/1/23 7:38,49.7,49.7,223,223,FALSE
1/1/23 7:40,49.6,49.6,224,224,FALSE
1/1/23 7:42,50.2,50.2,224,225,FALSE
1/1/23 7:44,50,49.9,215,215,FALSE
1/1/23 7:46,50.1,50.1,219,219,FALSE
1/1/23 7:48,50.3,50.2,225,225,FALSE
1/1/23 7:50,49.9,49.9,217,217,FALSE
1/1/23 7:52,50.2,50.2,226,226,FALSE
1/1/23 7:54,49.8,49.9,223,223,FALSE
1/1/23 7:56,50.4,50.4,223,223,FALSE
1/1/23 7:58,50.1,50.1,225,225,FALSE
1/1/23 8:00,50.1,50.1,225,225,FALSE
1/1/23 8:02,50,49.9,224,225,FALSE
1/1/23 8:04,49.9,49.7,223,223,FALSE
1/1/23 8:06,50,50,223,223,FALSE
1/1/23 8:08,50.3,50.2,223,223,FALSE
1/1/23 8:10,50.2,50.2,225,226,FALSE
1/1/23 8:12,49.9,49.8,221,221,FALSE
1/1/23 8:14,49.8,49.8,222,222,FALSE
1/1/23 8:16,50.2,50.2,221,221,FALSE
1/1/23 8:18,49.8,49.8,221,221,FALSE
1/1/23 8:20,49.7,49.7,222,223,FALSE
1/1/23 8:22,50.2,50.2,221,222,FALSE
1/1/23 8:24,49.7,49.7,223,223,FALSE
1/1/23 8:26,49.9,49.8,223,223,FALSE
1/1/23 8:28,49.7,49.7,225,225,FALSE
1/1/23 8:30,50.3,50.3,223,223,FALSE
1/1/23 8:32,50.2,50.3,223,223,FALSE
1/1/23 8:34,49.8,49.9,223,223,FALSE
1/1/23 8:36,49.9,49.8,222,223,FALSE
1/1/23 8:38,49.9,49.9,223,223,FALSE
1/1/23 8:40,49.8,49.8,221,221,FALSE
1/1/23 8:42,50,50,220,221,FALSE
1/1/23 8:44,49.9,49.9,221,221,FALSE
1/1/23 8:46,50.2,50.2,222,222,FALSE
1/1/23 8:48,50.1,50,221,222,FALSE
1/1/23 8:50,49.9,49.9,222,222,FALSE
1/1/23 8:52,49.7,49.7,223,224,FALSE
1/1/23 8:54,50,49.9,223,224,FALSE
1/1/23 8:56,49.7,49.7,224,224,FALSE
1/1/23 8:58,49.8,49.9,223,223,FALSE
1/1/23 9:00,50,50,221,221,FALSE
1/1/23 9:02,50,50,219,219,FALSE
1/1/23 9:04,49.9,49.9,219,219,FALSE
1/1/23 9:06,50,50.1,220,220,FALSE
1/1/23 9:08,50,50,222,223,FALSE
1/1/23 9:10,49.7,49.7,221,222,FALSE
1/1/23 9:12,50.3,50.3,220,221,FALSE
1/1/23 9:14,49.9,49.9,221,222,FALSE
1/1/23 9:16,49.8,49.8,221,222,FALSE
1/1/23 9:18,50.2,50.2,223,224,FALSE
1/1/23 9:20,49.6,49.7,221,222,FALSE
1/1/23 9:22,49.9,49.8,223,223,FALSE
1/1/23 9:24,49.7,49.7,219,220,FALSE
1/1/23 9:26,49.9,50,222,222,FALSE
1/1/23 9:28,49.9,49.9,221,221,FALSE
1/1/23 9:30,50,50,223,224,FALSE
1/1/23 9:32,50.1,50,223,223,FALSE
1/1/23 9:34,50.2,50.2,219,219,FALSE
1/1/23 9:36,49.9,49.8,217,217,FALSE
1/1/23 9:38,49.9,50,223,223,FALSE
1/1/23 9:40,50,50.1,223,224,FALSE
1/1/23 9:42,49.9,50,223,224,FALSE
1/1/23 9:44,49.9,49.9,223,224,FALSE
1/1/23 9:46,49.9,50,223,223,FALSE
1/1/23 9:48,50.2,50.2,225,225,FALSE
1/1/23 9:50,50,50,220,220,FALSE
1/1/23 9:52,49.7,49.7,223,224,FALSE
1/1/23 9:54,49.8,49.8,223,223,FALSE
1/1/23 9:56,50,50,223,223,FALSE
1/1/23 9:58,50,50,224,224,FALSE
1/1/23 10:00,50,50,217,217,FALSE
1/1/23 10:02,49.9,49.9,221,221,FALSE
1/1/23 10:04,49.7,49.7,223,223,FALSE
1/1/23 10:06,50.3,50.3,221,221,FALSE
1/1/23 10:08,50.1,50.1,216,216,FALSE
1/1/23 10:10,49.7,49.7,215,215,FALSE
1/1/23 10:12,49.9,49.8,219,220,FALSE
1/1/23 10:14,50,49.9,217,218,FALSE
1/1/23 10:16,49.8,49.7,215,215,FALSE
1/1/23 10:18,49.9,49.9,219,220,FALSE
1/1/23 10:20,49.8,49.8,222,222,FALSE
1/1/23 10:22,49.9,50,218,219,FALSE
1/1/23 10:24,49.6,49.6,221,222,FALSE
1/1/23 10:26,49.8,49.8,219,219,FALSE
1/1/23 10:28,49.8,49.8,216,216,FALSE
1/1/23 10:30,49.8,49.8,220,220,FALSE
1/1/23 10:32,50.4,50.4,219,219,FALSE
1/1/23 10:34,49.8,49.9,221,221,FALSE
1/1/23 10:36,50,50.1,219,219,FALSE
1/1/23 10:38,49.9,49.8,214,215,FALSE
1/1/23 10:40,49.9,49.9,219,219,FALSE
1/1/23 10:42,50.1,50.1,219,219,FALSE
1/1/23 10:44,49.8,49.9,219,219,FALSE
1/1/23 10:46,50.1,50.1,219,219,FALSE
1/1/23 10:48,50.2,50.2,216,216,FALSE
1/1/23 10:50,49.8,49.8,221,221,FALSE
1/1/23 10:52,49.8,49.8,219,219,FALSE
1/1/23 10:54,50,50,221,221,FALSE
1/1/23 10:56,49.8,49.8,219,219,FALSE
1/1/23 10:58,49.8,49.9,221,221,FALSE
1/1/23 11:00,50.1,50.1,221,221,FALSE
1/1/23 11:02,50.1,50,223,223,FALSE
1/1/23 11:04,50,50,222,223,FALSE
1/1/23 11:06,49.7,49.6,220,219,FALSE
1/1/23 11:08,50.1,50.1,223,224,FALSE
1/1/23 11:10,49.9,50,219,219,FALSE
1/1/23 11:12,49.8,49.8,220,222,FALSE
1/1/23 11:14,49.9,49.9,223,223,FALSE
1/1/23 11:16,50.1,50.1,223,222,FALSE
1/1/23 11:18,49.9,49.8,222,221,FALSE
1/1/23 11:20,49.8,49.8,223,222,FALSE
1/1/23 11:22,50,50,223,222,FALSE
1/1/23 11:24,49.7,49.8,223,222,FALSE
1/1/23 11:26,49.7,49.7,222,221,FALSE
1/1/23 11:28,49.7,49.9,222,222,FALSE
1/1/23 11:30,50,50,223,222,FALSE
1/1/23 11:32,50.3,50.3,223,223,FALSE
1/1/23 11:34,50.1,50.1,223,223,FALSE
1/1/23 11:36,50,49.9,223,222,FALSE
1/1/23 11:38,49.7,49.7,222,221,FALSE
1/1/23 11:40,49.8,49.8,223,223,FALSE
1/1/23 11:42,49.9,49.9,226,226,FALSE
1/1/23 11:44,50,50,226,226,FALSE
1/1/23 11:46,50,50,226,227,FALSE
1/1/23 11:48,49.9,49.9,228,229,FALSE
1/1/23 11:50,49.6,49.6,225,225,FALSE
1/1/23 11:52,49.7,49.8,226,226,FALSE
1/1/23 11:54,49.8,49.8,226,226,FALSE
1/1/23 11:56,50.1,50,227,228,FALSE
1/1/23 11:58,49.8,49.9,227,228,FALSE
1/1/23 12:00,49.7,49.7,223,223,FALSE
1/1/23 12:02,50,50,226,226,FALSE
1/1/23 12:04,49.7,49.7,221,222,FALSE
1/1/23 12:06,49.7,49.6,224,224,FALSE
1/1/23 12:08,50,49.9,221,222,FALSE
1/1/23 12:10,49.9,49.8,221,222,FALSE
1/1/23 12:12,50,50,222,222,FALSE
1/1/23 12:14,49.9,49.9,223,223,FALSE
1/1/23 12:16,49.8,49.8,221,222,FALSE
